Cognate_ID	AbbekerkNH	AduardGn	Aldomirovcislivnica	AlmkerkNB	Amami	AmeideZH	AmericanEnglish	Apolobamba	Arconciel	Arnex	Asparuhovolom	Asparuhovoprov	Assery	AustralianEnglishPerth	AvrysurMatran	Ayent	B	Babjakrazl	Bachkovoasgr	Bagrencikjust	Balgaricarev	Banishtebrezn	Banskorazl	Beglezhluk	Beijing	Belenesvisht	BelgianDutch	Belicarazl	BilzenBeLb	Bistricablgr	Bjrnevatn	Bogdanovdolpern	BollezeeleFrVl	Borisovoelh	Borre	Boudry	Bovsvog	Brashljanmtarn	Brekke	BrielleZH	Brnnysund	BrouckerqueFrVl	BrouwershavenZe	Bryne	Buchinprohodgod	Bulgarian	BurenFr	BuurmalsenGl	Bygstad	Cajamarca	CallantsoogNH	CanadianEnglish	Caparevosand	Caraz	CentralGermanCologne	CentralGermanHonigberg	CentralGermanLuxembourg	CentralGermanMurrhardt	Cerlatez	CerneuxPequignot	Cerovicakjust	Champery	Changsha	Charnex	ChateaudOex	ChauxduMilieu	Chavin	Chengdu	Chepelareasgr	Chernogorovopaz	Chernomorecbs	Chevroux	Chimborazo	Chukovecradom	Cochabamba	Collex	Collombey	Commugny	Conthey	Corcelles	Corongo	CoteauxFees	Court	Courtedoux	Courtepin	Cuzco	Czech	Danish	Dashi	DenHoornNH	Dermanciluk	Develier	Devenciluk	Devesilicakrgr	Dichinvtarn	Dinevohask	Divaslatinamont	Divdjadovoshum	Dobarskorazl	Dobroselectopgr	Dobroslavcisof	Dobrotinogd	Dokka	Dolnabeshovicavrach	Dolnadikanjaradom	Dolnamelnatran	Dolnariksamont	Dolnasrudenabel	Dolnibogrovsof	Dolnolevskipan	Dompierre	Dorkovovelgr	Dovre	Drabishnaivgr	Dragizhevovtarn	Dragodanovosliv	Dragoevopresl	Dragojchincikjust	Dutch	DutchAntwerp	DutchLimburg	DutchOstend	Ega	Eggesbneset	Elnesvagen	Elovdolpk	English	EnglishBuckie	EnglishLindisfarne	EnglishLiverpool	EnglishLondon	EnglishNorthCarolina	EnglishSingapore	EnglishTyrone	Eninakaz	Enqi	Eryuan	Evolene	Ezerovoparvom	Fagerhaug	Faroese	Flate	FoldvikBrunlanes	French	Fully	Furenvrach	Fuzhou	Fyllingsdalen	Fyresdal	Gabarebslat	Gabraelpel	Galatatetev	Ganchovecdrjan	Garmengd	Garvansil	Gegapetr	German	Gjra	Glozheneorjah	Golemarakovicaelpel	Golemomalovosliven	Golicavarn	Goljamazheljaznatetev	Goljamoshivachevosliv	Gongxing	Gornarosicasevl	Gornivarpishtadrjan	GouderakZH	Govedarcisam	Gradecvd	Grimentz	Grone	Guangzhou	Guiyang	HaamstedeZe	Hachijo	Hafrsfjord	Haikou	Halden	Hangzhou	Harbin	Hefei	Heqing	Hermance	HighGermanBiel	HighGermanBodensee	HighGermanGraubuenden	HighGermanHerrlisheim	HighGermanNorthAlsace	HighGermanOrtisei	HighGermanTuebingen	HighGermanWalser	Hisy	Hohhot	HolwerdFr	Huancane	Huancavelica	Huancayo	Huhlaivgr	HumbeekBeBr	Hundvag	Hvojnaasgr	Icelandic	IndianEnglishDelhi	Indzhevojvodamtarn	IngenGl	Inkawasi	Italian	Ivanskishum	Izvorovoharm	Jaqaru	Javorovoasgr	Jianchuan	Jianou	Jinan	Jinman	Jinxing	JuganKhanti	Kagoshima	Kaldfarnes	Kalipetrovosil	Kalojanovoplov	KantensGn	Karaisenpavl	Karanovoajt	Kaspichannp	Kawki	KazimKhanti	KerkradeLb	KnokkeBeWv	Kochi	KoedijkNH	KoekelareBeWv	Koljumarinovochirp	KondaKhanti	KondaMansi	Konskabrezn	Kopilovcimont	Koprivshticapird	Kortennzag	KortrijkBeWv	Kosteneciht	Kovachevcisam	Kozichinopom	Kramolinsevl	Kraveniksevl	Kretavrach	Kristiansand	Krivnjarazgr	KrogtoftBorge	Kunming	Kyoto	LAuberson	Laconnex	Ladino	Lamboing	Landeron	Lanping	Lanzhou	LeSentier	LeermensGn	Levunovosand	LiesFr	Ligurian	LikrisovskojeKhanti	Liljachevr	Lillehammer	Lipnicabotgr	Ljubenovamahalanzag	Loboshrad	LombardEast	LombardWest	Lomnes	Longirod	Lourtier	LowGermanAchterhoek	LowGermanBargstedt	LowerLozvaMansi	Lozensof	Luobenzhuo	Malomirovoelh	MalyjJuganKhanti	Mandal	Marchaevosof	Marikostinovopetr	Markovoshum	Martigny	Mazhelong	MeerbeekBeBr	Meixian	Merdanjavtarn	Merichlerichirp	MiddleLozvaMansi	MidslandFr	Miege	Mihalcipavl	Milchinalakakul	Miyako	Molde	Momchilovcismol	Mominabanjapl	Mominaklisurapz	Momkovosvgr	Montalchez	Montbovon	Montpreveyres	MoorsledeBeWv	MouscronBe	Mrkved	Mugladev	Murist	MusselGn	NaasEide	Nanchang	Nanjing	Nanning	NazarethBeOv	Nendaz	NewZealandEnglishAuckland	NieurletFrVl	NigerianEnglishIgbo	NijeholtpadeFr	NijmegenGl	Nikolovohask	Nikolovolipnikrus	NizjamKhanti	Noevcibrezn	Noiraigue	Nordstrand	NorthMansi	NorwegianStavanger	Novalovchagd	Novanadezhdahs	Novoselotrojan	ObdorskKhanti	Occitan	Ognenkarn	Oki	Omarchevonzag	OoikeBeOv	OostendeBeWv	OosterendFr	Opanstzag	Orkanger	OrmontDessus	Orsieres	Oruro	Orvin	Osenecrazgr	OudeschootFr	Panagjurishtegd	Paskalevecpavl	Pavelskoasgr	Pelatikovokjust	PelimkaMansi	Petarnicaplev	Pevectarg	PiershilZH	Pingyao	Plagne	Plakovovt	Podviskarn	Polish	PoperingeBeWv	Pozharevotutr	Prahins	ProtoGermanic	Puno	Qiliqiao	Qingdao	Rabishabelgr	Radovenevr	Rakevovr	Rakovicakul	Ranilugtryn	RaundalenFagnastl	Razboishtegod	RenkumGl	Roche	Russian	Russland	Ruzhincibelgr	Sadinapop	Sado	Sandnessjen	Saparevodup	Savagnier	Saviese	SchagenNH	ScheveningenZH	SchinnenLb	Scottish	Sekirovoplov	Selfors	Semsalves	Senokosblgr	Serbian	Sestrinopetr	Shanghai	Shantou	SherkaliKhanti	Shexian	Shipkakaz	Shirokalakadev	Shirokidolsam	Shtipskoprov	Shuri	SilvoldeGl	SinjaKhanti	SintAnnenGn	Skobelevosliv	Slaveinosmol	Slavjanovoplev	SlotenFr	SmildeDr	Smochevodupn	Smolskopird	Solishtadev	Sombeval	Sortland	SouthAfricanEnglishJohannisburg	Sredeczlgr	Srkjosen	StGingolph	Sta	Stakevciblgr	Stambolovohask	Stange	Stanghelle	Starmenbel	Stjrdal	Stjrdalshalsen	Stoilovomt	Straldzhajamb	Stre	Stroevoplov	Sucre	Sugiez	Suhindolvtarn	Sushicablgr	Suzhou	Svetlinatopgr	Svirkovoharm	SwedishSkane	SwedishStockholm	Taibei	Taiyuan	Taoyuan	Taquile	TavdaMansi	Tena	TerApelGn	Tianjin	Tihomirkrgr	Tihomirovostzag	Tiwanaku	Tjtta	Tokyo	Topolchanesliv	Trancovicanik	Trastenikplev	TremjuganKhanti	Troms	Trondheim	Tunxi	Tuoluo	Tynsetsentrum	UlftGl	Undheim	UpperDemjankaKhanti	Urumqi	Ustovosm	Vabelnik	VakhKhanti	Vaklinovogd	Valchepolesvgr	Vallorbe	ValthermondDr	Varbicapresl	Varbovoblgr	Varduntarg	VarsseveldGl	VartovskojeKhanti	Varvarapaz	Vasiljovotetev	VasjuganKhanti	Vaugondry	Velkovcipk	Venetian	VerkhneKalimskKhanti	Vermes	Vernier	Veyrier	VillarsleTerroir	Vinarovovid	Vinishtemont	Vladinjalov	Vodenelh	Vojnjagovokarl	Vracheshbotgr	Vranilovcigabr	Vresovoajt	Vullierens	WalshoutemBeBr	WaregemBeWv	WateringenZH	Wenzhou	WestFrisianGrou	WestTerschellingFr	WierumFr	WorkumFr	Wuhan	Xiamen	Xian	Xianggang	Xiangtan	Xiangyun	Xining	YiddishNewYork	Yinchuan	Yunlong	Zabardoasgr	Zabernovomt	Zamfirovoberk	Zanozheneberk	Zdravkovecgabr	Zelenigradtran	ZevenaarGl	Zhaltushaard	Zheglicavid	Zhelensvog	Zheljazkovosred	Zhengzhou	Zheravnakot	Zhoucheng	ZutendaalBeLb	ZuydcooteFrVl	ra
100_72_classifierclothes																																																																																									kʰ o ŋ ⁵⁵																																		kʰ o ⁵⁵													kʰ o ²⁴	kʰ ɔ ⁵⁵																												kʰ o ŋ ⁵⁵																		kʰ ɔ w ⁵⁵																														kʰ õ ⁵⁵			kʰ õ ⁵⁵	kʰ õ ⁵⁵																																									kʰ ɔ̃ ⁵⁵																						kʰ ɤ̃ ⁵⁵																																																																																									kʰ o ⁵⁵																																																																																																	kʰ o ŋ ⁵⁵																																																			kʰ ã ⁵⁵				kʰ ɔ ⁵⁵														kʰ o w ⁵⁵			
101_73_toclose																																																																																									m e ³⁵																																															m i ²⁴	m i ³⁵																												m i ⁵⁵																		m e ³⁵																														m e ⁵⁵				m e ⁵⁵																																									m ĩ ⁵⁵																														m i ⁵⁵																																																																																	m e ³⁵																																																																																																	m i ⁵⁵																																																			m i ³⁵				m i ³⁵																	
102_74_cloth																																																																																									sʰ e ⁴⁴																																		s ɛ ⁴⁴													s ɛ ⁵⁵																													s ɛ ²⁴																		sʰ e ⁴⁴																														s e ⁴⁴			s e ⁵⁵	s e ⁴⁴																																									s e ⁴⁴																						s æ ⁵⁵																																																																																																																																																																																										s ɛ ⁴²																																																																								
103_75_cold																																																																																									k ɯ ⁰ k a ²¹																																		k ɯ ⁵⁵													k ɯ ²⁴	k ɯ ³⁵																												g a ¹²																		k ɯ ⁵⁵																														k ɯ ⁵⁵			k ɯ ⁵⁵	k ɯ ⁵⁵																																									k ɯ ⁴⁴																						k ɯ ⁵⁵								k ɯ ⁵⁵																																																																																	k ɯ ³⁵																																																																																																	k ɯ ⁵⁵																																																			k ɯ ³⁵				k ɯ ³⁵														k ɯ ³⁵			
104_76_comb																																																																																									ʂ ɤ ³⁵																																		ɕ y ⁵⁵													ɕ u ²⁴	ʂ ɤ ³⁵ p e ²¹																												s w a ⁵⁵																		s u ⁵⁵ tsʰ ɿ ³³																														s ɤ ⁵⁵			ɕ u ⁵⁵	s ɤ̃ ⁵⁵																																									s u ⁵⁵																						ɕ u ³³ t ɯ ³¹								s u ⁵⁵																																																																																	kʰ ɔ ⁵⁵ s ɤ ³⁵ pʰ i ²¹																																																																																																	ʂ ɤ ⁵⁵																																																			ɕ ɛ ³⁵ tsʰ ɿ ³³				ʃ ɤ ³⁵ p e ²¹														s ɤ ³⁵			
105_77_tocomb																																																																																																																																									s ɤ ³¹																																														s w ɔ ³¹																														s ɤ̃ ³¹																																													s u ³¹																						ɕ u ³³																																																																																									s ɤ ³¹																																																																																																																																																				ɕ ɛ ²¹				ʃ ɤ ³¹																	
106_78_tocry																																																																																																																											qʰ u ⁴⁴													qʰ u ⁵⁵	kʰ ɔ ⁴⁴																												qʰ u ²²⁴																		xʰ ɛ ⁵⁵ k w ɔ ⁵⁵																														kʰ o w ⁴⁴			qʰ o ⁵⁵	kʰ o w ⁴⁴																																									kʰ u ³³																						qʰ o ⁵⁵								kʰ o ⁴⁴																																																																																	kʰ o ⁴⁴																																																																																																	qʰ o ⁴²																																																			kʰ ɔ w ⁴⁴				kʰ u ⁴⁴														kʰ ɑ ⁴⁴			
107_79_tocut																																																																																									ʂʰ ɚ ⁴⁴																																		ɕ a ⁴⁴													ɕ j æ ⁵⁵	ʂ ɛ ⁴⁴																												s æ ²⁴																		sʰ ɛ ⁴⁴																														s ɛ ⁴⁴			ɕ a ⁵⁵ q a ²¹	s a ⁴⁴																																									s ɛ ⁴⁴																						ɕ a ⁵⁵								s ɚ ⁴⁴																																																																																	s ɛ ⁴⁴																																																																																																	ɕ a ⁴²																																																			s ɛ ⁴⁴				s ɛ ⁴⁴														s ɛ ⁴⁴			
108_80_tocutup																																																																																									ʦʰ w ã ³³																																															ʨʰ ɥ ɛ ²²	ʦʰ w a ³³																												ʦʰ w a ŋ ²²																		ʦʰ w ã ³³																														ʦʰ w ã ³³				ʦʰ w ɑ̃ ³³																																									ʨʰ w ã ⁴⁴																						ɕ o ⁴⁴								ʦʰ w e n ³³																																																																																	tʃʰ w a ³³																																																																																																	ʦʰ o ŋ ³³																																																			ʦʰ w ã ³³				ʦʰ w a ³³														ʦʰ w a ³³			
109_81_daughter																																																																																									j ũ ³³																																		ɲ i w ²²													ɲ i w ²²	ɲ ɤ ³³																												ɲ j õ ²²																		j ɔ̃ ³³																														j ɤ̃ ³³			ɲ i w ²²	j ɤ̃ ³³																																																															ɲ ʊ̃ ³³								ɲ õ ³³																																																																																	n ɤ ³³																																																																																																	j ɤ ŋ ³³																																																			n ɛ̃ ³³				ɲ ɤ ³³														ɲ j ɤ ³³			
10_9_nine								ɪ s q o ŋ																																														ɪ s q ɔ ŋ													e s q o n						i s k u n		h i s ɢ o ŋ						ɪ s q o n					i s q ɔ ŋ																																																																																																															ɪ s χ ʊ ŋ	ɪ s ʔ ʊ ŋ													i s q o ɲ a																i s q o ɲ a																																																																																																																																													ɪ s q o ŋ																																																																					ɪ s q o ŋ												ɪ s q o ŋ		ɪ s k ʊ n																																																																																							
110_43_day																																																																																									j e n ³³																																															ɲ i ²²	ɲ i ⁴⁴																												ɲ i ²²																		j ĩ ⁴⁴																														j ĩ ⁴⁴			ɲ i ⁵⁵																																										j ĩ ⁴⁴																						ɲ i ³³								n i ⁴⁴																																																																																	ɲ i ⁴⁴																																																																																																																																																				n i ⁴⁴																		ɲ j e ⁴⁴			
111_82_todie																																																																																									ɕ i ³³																																		s i ²²													s i ²²	ɕ i ³³																												ɕ i ²²																		ɕ i ³³																														ɕ i ³³			ɕ i ²²	ɕ i ³³																																									ɕ i ⁴⁴																						s i ⁴⁴								ɕ i ³³																																																																																	ɕ i ³³																																																																																																	ɕ i ³³																																																			ɕ i ³³				ɕ i ³³														ɕ i ³³			
112_37_dog																																																																																									kʰ w a ŋ ³³																																		qʰ w a ²²													qʰ w a ²²	kʰ ɔ ³³																												qʰ w a ŋ ²²																		kʰ w ã ³³																														kʰ w ã ³³			qʰ õ ²²	kʰ w ɑ̃ ŋ ³³																																									kʰ w ã ⁴⁴																						qʰ õ ³³								kʰ w a ŋ ³³																																																																																	kʰ w a ³³																																																																																																	qʰ w a ŋ ³³																																																			kʰ w ã ³³				kʰ w a ³³														kʰ w a ³³			
113_83_door																																																																																									m e ²¹																																		m ɛ ²¹													m ɛ ²¹	m e ²¹																												m ǝ n ¹²																		m e ²¹																														m e ²¹			m e ²¹	m e ²¹																																									m ẽ ²¹ s ẽ ²¹																						m æ ²¹								m e ²¹																																																																																	m e ²¹																																																																																																	m ɛ ³⁵																																																			m e ²¹				m ɛ ²¹														m e ²¹			
114_84_dragon																																																																																									l õ ²¹																																		l u ²¹													l u ²¹	n ɤ ²¹																												l õ ¹²																		n u ²¹																														n ɤ ²¹			l u ²¹	l ɤ̃ ²¹																																									n ɔ ²¹																						l u ³¹								l o ŋ ²¹																																																																																	n ɤ ²¹																																																																																																	l o ŋ ³⁵																																																			n ɤ̃ ²¹				n ɤ ²¹														l ɤ ²¹			
115_85_bamboo																																																																																									t͡ʂ o ³³																																		tɕʰ u ⁴⁴													tɕʰ o ⁵⁵	t͡ʂ ɤ ⁴⁴																												tsʰ w a ²⁴																		tsʰ w ɔ ⁴⁴																														tsʰ ɤ ⁴⁴			tɕʰ u ⁵⁵	tsʰ ɤ ⁴⁴																																									tsʰ w a ⁵⁵ tsʰ ɯ ³³																						tɕʰ o ⁵⁵ ɖ ɯ ³¹								tsʰ u ⁴⁴																																																																																	tsʰ ɤ ⁴⁴																																																																																																	t͡ʂ ɤ ⁴²																																																			tsʰ ɛ ⁴⁴				tsʰ ɤ ⁴⁴														tsʰ ɤ ⁴⁴			
116_86_todrink																																																																																									ǝ̃ ³³																																		ɯ̃ ²²													ɯ ²²	ɯ ³³																																														ɯ ³³																														ɯ̃ ³³			ɯ̃ ²²	ǝ̃ ³³																																									ɯ̃ ⁴⁴																						ɯ̃ ³³								o ŋ ³³																																																																																	ɯ ³³																																																																																																	ɯ̃ ³³																																																			ẽ ³³				ʔ ɯ ³³														ɯ ³³			
