ID,Form_ID,Form,Cognateset_ID,Doubt,Cognate_Detection_Method,Source,Alignment,Alignment_Method,Alignment_Source
Kkhalqabad1-i-1-1,Kkhalqabad1-i-1,mʲen,i-a,False,expert,,,,
Kkhalqabad1-animal-1-1,Kkhalqabad1-animal-1,hajwɒn,animal-b,False,expert,,,,
Kkhalqabad1-ashes-1-1,Kkhalqabad1-ashes-1,kʉl,ashes-a,False,expert,,,,
Kkhalqabad1-autumn-1-1,Kkhalqabad1-autumn-1,gʉz̥,autumn-a,False,expert,,,,
Kkhalqabad1-back-1-1,Kkhalqabad1-back-1,arqa,back-a,False,expert,,,,
Kkhalqabad1-bad-1-1,Kkhalqabad1-bad-1,ʒaman,bad-a,False,expert,,,,
Kkhalqabad1-bark-1-1,Kkhalqabad1-bark-1,qaβɨq,bark-a,False,expert,,,,
Kkhalqabad1-belly-1-1,Kkhalqabad1-belly-1,qarɨn,belly-a,False,expert,,,,
Kkhalqabad1-big-1-1,Kkhalqabad1-big-1,ʉlken,big-a,False,expert,,,,
Kkhalqabad1-bird-1-1,Kkhalqabad1-bird-1,qʊs,bird-a,False,expert,,,,
Kkhalqabad1-black-1-1,Kkhalqabad1-black-1,qara,black-a,False,expert,,,,
Kkhalqabad1-blood-1-1,Kkhalqabad1-blood-1,qan,blood-a,False,expert,,,,
Kkhalqabad1-bone-1-1,Kkhalqabad1-bone-1,sʉjøk,bone-a,False,expert,,,,
Kkhalqabad1-breast-1-1,Kkhalqabad1-breast-1,kukrøk,breast-b,False,expert,,,,
Kkhalqabad1-butterfly-1-1,Kkhalqabad1-butterfly-1,gʊbʲelʲɛk,butterfly-a,False,expert,,,,
Kkhalqabad1-child-1-1,Kkhalqabad1-child-1,bala,child-a,False,expert,,,,
Kkhalqabad1-cloud-1-1,Kkhalqabad1-cloud-1,bʊlt,cloud-a,False,expert,,,,
Kkhalqabad1-cold-1-1,Kkhalqabad1-cold-1,sʊːq,cold-a,False,expert,,,,
Kkhalqabad1-correct-1-1,Kkhalqabad1-correct-1,drs,correct-a,False,expert,,,,
Kkhalqabad1-day-1-1,Kkhalqabad1-day-1,kʉn,day-b,False,expert,,,,
Kkhalqabad1-dirty-1-1,Kkhalqabad1-dirty-1,patas,dirty-c,False,expert,,,,
Kkhalqabad1-dog-1-1,Kkhalqabad1-dog-1,it,dog-a,False,expert,,,,
Kkhalqabad1-dry-1-1,Kkhalqabad1-dry-1,qurɣaq,dry-a,False,expert,,,,
Kkhalqabad1-dull-1-1,Kkhalqabad1-dull-1,wʉtpɪs,dull-b,False,expert,,,,
Kkhalqabad1-dust-1-1,Kkhalqabad1-dust-1,ʃaŋ,dust-a,False,expert,,,,
Kkhalqabad1-ear-1-1,Kkhalqabad1-ear-1,qulaq,ear-a,False,expert,,,,
Kkhalqabad1-earth-1-1,Kkhalqabad1-earth-1,ʒʲer,earth-a,False,expert,,,,
Kkhalqabad1-egg-1-1,Kkhalqabad1-egg-1,majik,egg-b,False,expert,,,,
Kkhalqabad1-eye-1-1,Kkhalqabad1-eye-1,kwøz̥,eye-a,False,expert,,,,
Kkhalqabad1-far-1-1,Kkhalqabad1-far-1,ɒlɜs,far-b,False,expert,,,,
Kkhalqabad1-fat-1-1,Kkhalqabad1-fat-1,maj,fat-a,False,expert,,,,
Kkhalqabad1-father-1-1,Kkhalqabad1-father-1,akʲe,father-a,False,expert,,,,
Kkhalqabad1-feather-1-1,Kkhalqabad1-feather-1,pær,feather-d,False,expert,,,,
Kkhalqabad1-fire-1-1,Kkhalqabad1-fire-1,ʒaːlən,fire-b,False,expert,,,,
Kkhalqabad1-fish-1-1,Kkhalqabad1-fish-1,balɜq,fish-a,False,expert,,,,
Kkhalqabad1-five-1-1,Kkhalqabad1-five-1,bʲes,five-a,False,expert,,,,
Kkhalqabad1-flower-1-1,Kkhalqabad1-flower-1,gʉl,flower-a,False,expert,,,,
Kkhalqabad1-fog-1-1,Kkhalqabad1-fog-1,tuman,fog-a,False,expert,,,,
Kkhalqabad1-forest-1-1,Kkhalqabad1-forest-1,tɔɣɔj,forest-b,False,expert,,,,
Kkhalqabad1-four-1-1,Kkhalqabad1-four-1,tørt,four-a,False,expert,,,,
Kkhalqabad1-fruit-1-1,Kkhalqabad1-fruit-1,miβø,fruit-b,False,expert,,,,
Kkhalqabad1-full-1-1,Kkhalqabad1-full-1,tɔlɜq,full-a,False,expert,,,,
Kkhalqabad1-good-1-1,Kkhalqabad1-good-1,Zaxs1,good-a,False,expert,,,,
Kkhalqabad1-grass-1-1,Kkhalqabad1-grass-1,ʃøp,grass-a,False,expert,,,,
Kkhalqabad1-green-1-1,Kkhalqabad1-green-1,kwøk,green-b,False,expert,,,,
Kkhalqabad1-hair-1-1,Kkhalqabad1-hair-1,ʃaʃ,hair-a,False,expert,,,,
Kkhalqabad1-hand-1-1,Kkhalqabad1-hand-1,qɔl,hand-a,False,expert,,,,
Kkhalqabad1-he-1-1,Kkhalqabad1-he-1,wɔl,he-a,False,expert,,,,
Kkhalqabad1-head-1-1,Kkhalqabad1-head-1,bas,head-a,False,expert,,,,
Kkhalqabad1-heart-1-1,Kkhalqabad1-heart-1,ʒyrøk,heart-a,False,expert,,,,
Kkhalqabad1-heavy-1-1,Kkhalqabad1-heavy-1,awər,heavy-a,False,expert,,,,
Kkhalqabad1-horn-1-1,Kkhalqabad1-horn-1,ʃaq,horn-b,False,expert,,,,
Kkhalqabad1-how-1-1,Kkhalqabad1-how-1,qalaj,how-a,False,expert,,,,
Kkhalqabad1-husband-1-1,Kkhalqabad1-husband-1,jer,husband-d,False,expert,,,,
Kkhalqabad1-ice-1-1,Kkhalqabad1-ice-1,mʊz̥,ice-a,False,expert,,,,
Kkhalqabad1-knee-1-1,Kkhalqabad1-knee-1,dzʲe,knee-a,False,expert,,,,
Kkhalqabad1-lake-1-1,Kkhalqabad1-lake-1,kwøl,lake-b,False,expert,,,,
Kkhalqabad1-leaf-1-1,Kkhalqabad1-leaf-1,ʒaprak,leaf-a,False,expert,,,,
Kkhalqabad1-left-1-1,Kkhalqabad1-left-1,ʃɪp,left-b,False,expert,,,,
Kkhalqabad1-leg-1-1,Kkhalqabad1-leg-1,ajaq,leg-a,False,expert,,,,
Kkhalqabad1-liver-1-1,Kkhalqabad1-liver-1,bawʊr,liver-a,False,expert,,,,
Kkhalqabad1-louse-1-1,Kkhalqabad1-louse-1,bit,louse-a,False,expert,,,,
Kkhalqabad1-man-1-1,Kkhalqabad1-man-1,jer,man-b,False,expert,,,,
Kkhalqabad1-meat-1-1,Kkhalqabad1-meat-1,gʉʃ,meat-b,False,expert,,,,
Kkhalqabad1-moon-1-1,Kkhalqabad1-moon-1,aj,moon-a,False,expert,,,,
Kkhalqabad1-mother-1-1,Kkhalqabad1-mother-1,ana,mother-a,False,expert,,,,
Kkhalqabad1-mountain-1-1,Kkhalqabad1-mountain-1,taʊ,mountain-a,False,expert,,,,
Kkhalqabad1-mouth-1-1,Kkhalqabad1-mouth-1,awɨz,mouth-a,False,expert,,,,
