Cognate_ID	Apurina	Inapari	ProtoPurus	Yine
100_worm1	ts o m i	t o m í/i	ts o m i	ts o m i
101_worm2	k ẽ tʃ i	u r i + h é/e n i	k e n ɨ	ç n ɨ + tʃ i
102_fishgeneric	ʃ i m a + k ɨ	h i m á/a	s i m a	ʃ i m a
103_piranafishsp	o m a	h u m á/a	h u m a	h o m a
104_crab		j u t ú/u r o	j u t ú/u r o	j o t l o
105_bat	ʃ i j o + k ɨ	h i j ú/u + h ɨ	s i j u	ʃ j o
106_birdsp1	m a j o r ɨ	m a j ú/u r i	m a j u r ɨ	m a j l ɨ
107_birdsp2	i r ẽ k a	h i r é/e ʔ a	h i r e k a	h i j e k a
108_birdsp3		h i tʃ i tʃ í/i	h i t i t i	h i c/tʃ i c/tʃ i
109_hummingbird		h i w e j ú/u r i	s i w e j ú/u r ɨ	ʃ w e j l ɨ
10_nose	k i r i	h i r í/i + t i	k i r i	h i + ç r i
110_duck	o p a i	h u p a í/i	h u p a i	h o p ʃ i
111_eagle	k o k o i	u ʔ u í/i	k u k u i	
112_owl	m u s a	m u ã́/ã	m u s a	m o s a
113_tree	ã a m ɨ n a	h a á/a m ɨ n a	h a h a + m ɨ n a	h a h m ɨ n a
114_palmsp	k o n a + k ɨ	ú/u n a	k u n a	k o n a
115_cane		a t a r í/i	k a ts a r ɨ	k a ts l ɨ
116_branch	p o r ɨ	p u r í/i	p u r ɨ	h i + p l ɨ
117_woodstick	k e	a n o + h e + t í/i	k e	h i + ç e
118_seed	k ɨ	r a n á/a + h ɨ	k ɨ	h i + ç i
119_shellhusk		p á/a tʃ a	p a t a	h i + p a t a
11_bone	a p ɨ	a p ɨ + t í/i	h a p ɨ	h i + h a p ɨ
120_flower	ɨ̃ɨ̃/ɨ̃ w ɨ	a á/a w ɨ́/ɨ r ɨ	h ɨ w ɨ	h i + hw/hʷ ɨ
121_leaf		a ɨ r e r i	k a + s ɨ r e + r ɨ	h i + s ɨ r e
122_coca	k a ts u p a r ɨ	a t u p a r í/i	k a ts u p a r ɨ	
123_sweetpotato	k ɨ p a r ɨ	h ɨ p á/a r i	k ɨ p a r ɨ	ç i p a l ɨ
124_bittermanioc		a n ɨ r ɨ́/ɨ	k a n ɨ r ɨ	k a n r ɨ
125_manioc		h i m e ʔ á/a	k i m e k a	ç i m e k a
126_maize		h i s í/i	s i + k ɨ	ʃ i ç i
127_smokedmeat		h u r ú/u tʃ i	h u r u t ɨ	h o l o t ɨ
128_pepper		u m a r í/i	k u m a r ɨ	k o m l ɨ
129_achiote	ã p ɨ k ɨ r ɨ	h a p í/i s í/i r i	h a p ɨ k ɨ r ɨ	h a p i ç r ɨ
12_back		tʃ a h ɨ́/ɨ + t i	t a k ɨ	h i + t ç i
130_medicine	p i ɲ i	p i n i + t í/i + r i	p i n i	p i n + r e
131_sun	a t o k a tʃ i	t u ʔ a t í/i	a t u k a ts i	t k a tʃ i
132_moon	k a s ɨ r ɨ	a ɨ r ɨ́/ɨ	k a s ɨ r ɨ	k s ɨ r ɨ
133_night		j á/a t i	j a ts i	j e tʃ + n o
134_yesterday		a p e tʃ á/a	k a p e t a	k a p e t + h o h n e
135_wind	i	h i tʃ í/i m a	h i t i m a	
136_rainbow	k ɨ s i		k ɨ s i	k ʃ i
137_lake	ɨ p o w ã	h i p u ã	h ɨ p u + h a	h i p o wh/w̥ a
138_water		h u n í/i	h u n ɨ	h o n ɨ
139_rain		h i n á/a	h i n a	h i n a
13_breast	t e n ɨ	tʃ i n i	t e n ɨ	t n ɨ + tʃ i
140_firefirewood		t i t í/i	ts i ts i	tʃ i tʃ i
141_firefirewood2		p á/a w a	p a w a	n o + p a w a
142_hole		a + p ɨ n a + r í/i	p ɨ n a	h i + p n a
143_stone		h u tʃ á/a r í/i + s í/i	s u t a r ɨ	s o t l ɨ
144_pain		a t i n u + r í/i	k a ts i n u	k a tʃ i n o + l ɨ
145_tobehave	a w a	r + a w a + m a	a w a	r + a w a
146_toarrive	a p o k a	r + a p ú/u ʔ a + m a	a p u k a	h a p o k + l ɨ
147_tocome	ɨ n a	r + ɨ n a + m a	ɨ n a	r + ɨ n a
148_toreturn		i + a t u ʔ a + p a + m á/a	s a t u k a	s a t o k + l ɨ
149_towalk	j a n a	i + j a n á/a + m a	j a n a	j a n + r ɨ
150_topass		r ɨ + ʔ u n ṹ a + m a	k u n u h a	r ɨ + k n o h a
151_tostep		r + a ʔ a p a + á/a + m a	a k a p a	h + a k a p + ʃ o + l ɨ
152_togrow		i + t e r í/i + tʃ a + m a	ts e r ɨ + t a	i + ts e r ɨ + w a + t a
153_tosing	ʃ i k a		s i k a	ʃ i k a + l + w a + t a
154_toeat	ɲ i k a	i + n i ʔ á/a + m a	n i k a	n i k a
155_toswallow		i + n i ʔ u r u ʔ a + m á/a + r i	n i k u r u + k a	n i k l o k + l u
156_tosay		i + t i n á/a + m a	ts i n a	tʃ i n + r ɨ
157_tospeak		r i + t u ʔ á/a n a + m a	t u k a n V/ə	t o k a n ɨ + w a + t a
158_tocommand		i + j u ʔ a n a + m á/a + r i	j u k a n a	j o k a n + r ɨ
159_tocall		i + t u m áá/aː + r i	t u m a + h a	t o mh/m̥ a + l ɨ
15_chest	t o r o + t a	t u r ú/u + tʃ a + t i	t u r u	
160_tobreathe		i + n a n í/i + m a	n a n i	h i + n n i
161_towash1	k i p a	i + h i p á/a + m a + r i	k i p a	
162_towash2	e r o k a		e r O/o k a	t + e r k a + l ɨ
163_toswim	n o ã + t a	r + a n o + ʔ a + m á/a	h a n o + h a	h a n o h + l ɨ
164_tobath		i + ʔ áá/aː + m a	k a	k a + w a
165_toplantput	t a k a	r ɨ + tʃ a ʔ a + m a	t a k a	r ɨ + t a k + l ɨ
166_todig		i + h ɨ t ú/u + m a	s ɨ t u	s i t o + t + l ɨ
167_topeel		i + tʃ a r aː + m á/a + r i	t a r a h a	t a lh/l̥ a + l ɨ
168_tohear	k e m a + k o	i + h a m a + m á/a	k e m a	ç e m a
169_tosee	e t a m a	r + e tʃ á/a + r a + m a	e t a	r + e t + l ɨ
16_heart	ã k ɨ + p a	a h ɨ́/ɨ + p a + t i	h a k ɨ	h a ç + tʃ i
170_tolearn		r + ɨ m a + tʃ a	ɨ m a + t a	r + ɨ m a + t a
171_tofear	p i k a	i + p i ʔ á/a + m a	p i k a	p i k a
172_tosleep	ɨ m a k a	r + ɨ m ɨ ʔ á/a + m a	ɨ m a k a	r + ɨ m k a
173_toliedown		r ɨ + ʔ u r i + a + m a	k u r ɨ + h a	h i + k l ɨ h + l ɨ
174_todie	ɨ p ɨ̃/ɨ̃ + p e	r + ɨ p ɨ n á/a + m a	ɨ p ɨ n a	h i p n a + l ɨ
175_tokill	o k a		h O/o k a	r ɨ + h k a + l ɨ
176_tocook		r ɨ + w a r a + m á/a + r i	w a r a	h i + w l a + l ɨ
177_toroast		i + ʔ u tʃ a + m á/a + r i	k u t a	k o t a + ç i + t + l ɨ
178_togrind		j u h i + r í/i	j u k i	j o ç + r ɨ
179_tofetch	a p a	r + a p a + tʃ í/i + m á/a + r i	a p a	r + a p a + t + l ɨ
17_liver	o p a n a	u p a n á/a + t i	h u p a n a	h i + h o p n a
180_tosew		i + j u t ãː + r á/a + m a	j u ts a + h a	j o tsʰ a + l ɨ
181_pregnant	m i ʃ i	a m i r ú/u	m ɨ s i	k a + m ʃ i + r o
182_hungry	n a tʃ i	n a t í/i	n a ts i	n a tʃ i
183_shy	p a t e + t a	a + p a t e + r í/i	p a t e	p a t e + w a + t a
184_hot		h a m e + m á/a + r i	h a m e	h a m e + t + l ɨ
185_cold	tʃ ĩ k a r e		k a + tʃ i k a r e	k a + tʃ i k l e + r ɨ
186_wet		p o t e j á/a + m á/a + r i	p o ts e j a	p o ts j a + l ɨ
187_dry		p u p e r í/i + m á/a + r i	p u p e r i	p o p r i + r i
188_new		h e r ú/u tʃ i	h e r u t ɨ	h e r o t ɨ
