Cognate_ID	Achagua	Baniwa	Kabiyari	Piapoco	Resigaro	Tariana	Warekena	Yukuna
100_who	t á/a n a	k ó/o a k a	m i kʰ a	k à/a i n á/a	k é/e e n í/i	k w a n a		n a h l o
101_woman	í/i i n e t oo	í/i i n a r o	n a n á/a w í/i	i n a n á/a i	i n á/a a d ó/o			i n a n a ɾ u
102_yellow	m e r ee k ii	é/e e w a	k a r a w a r i	é/e e w a	d o g í/i i g a ʔ é/e ʔ			j e w a n i
10_blood	ii r a i	ii r a n aa	í/i ʔ i r a	i ɾ á/a i	ii d ú/u			í/i ɾ a h i
11_bone	j a h i ʃ i	á/a a p i	j a p i	a p i	a á/a p í/i			a pʰ i n á/a m i h i
12_breast1		í/i i n i		ì/i n i				
13_breast2	k u t a ʃ i		j i	u k u t a	ó/o ʔ k ó/o t á/a a p í/i g ú/u			tʃ u ʔ u tʃ ú/u
14_burn1		h aa k a						k á/a r a ʔ a k a h e
15_burn2	e: m a i r i	m a	k a h e m a	e m á/a k a	h oo kʰ ú/u		m é/e n i k e t a	
16_claw	j u b a w i a ʃ i	ts ó/o t a	u ʔ u p a	y ú/u u b a	h i ʔ t á/a v í/i			u ʔ u p a
17_cloud	s aa n a i	ee n ó/o t o n a		a k a l è/e e	i í/i tsʰ ú/u			h u n i + h u w á/a k a ʔ a l a
18_cold	k a s a l i n i:	h á/a p e	p e ʔ e	k a s a l í/i n í:/iː ɾ i	h i ʔ p íí/iː ʔ			i p e ʔ e n í/i
19_come	i: n u e r i	n o	m i r a a n i	n ù/u a k a w a + n é/e e s e	ts a ʔ n ú/u		w í/i n a	i pʰ a k a h e
1_i	n u j a	ɲ ó/o a	ɲ ú/u	n ú/u a	ó/o	n u h a		n u k á/a
20_die	m a: n a l i:	m a l í/i o m e	m i k uu	é/e t á/a k a w a	k a i n é/e e + dʒ ú/u			t a k a ʔ a k a h e
21_dog	a u l i	ts ii n o	t ʃ aa w i	j à/a l i d u	í/i i n í/i	tʃ í/i n u		w a l ú/u
