Cognate_ID	Aha	Dzawinai	Ehe	Hohoodene	Kowaidakenai	Kumadene1	Kumadene2	Mauliene	Moliwene	Name	Oho	Tariana	Waliperi	Werekena
Chacon-2019-220-100_louse	t oː i d a	t u i d a	t u i d a	t u i d a	t u i d a		iː tʰ e a k a	t u i d a	t u i d a	t u i d a	t u i d a	i n i s i	t u i d a	ts u i t a
Chacon-2019-220-101_hear	h i m i k a d a	h i m a	h i m a k e t i	wʰ eː m a	h i m a k a		h i m a	wʰ iː m a k a	i h m ɛ̃ ts ɯ	h i m i k e t i	h i m a k e t i	ã ũ h e m ã n i p ɛ	h j ũ m a k a	
Chacon-2019-220-102_heart	l i k a o l e	ɽ i k a ɽ e	l i k aː l e	n u k aː ɽ ɛ	ɽ i k aː ɽ e	w a k a ɾ ɛ	n u k a u ʐ a i	n u k a ɽ e	n u k a ɽ ɛ	l i k a o l e	l i k aː l e	p a k a ɾ e d a		n u m ẽ t u ɐ n a
Chacon-2019-220-103_heavy	h a m i j a d a l i		h a m e ɾ u	h a w i j̃ a d a ɽ i			h a m i a	h a m n a ʐ o		h a m i j a d a l i	h a m i j a d a l e	h a m i a p e ɾ i	h a m i j̃ a d a ɽ i	j a b ɛ m a ɽ i
Chacon-2019-220-104_here	a h a i t e		aː h a	a i j a h ã			aː h i	a j a h ã	a j a h ɐ̃	a j a h e	l i p e dz a	h a ĩ mʰ a d e n u k i u h a k ə n i	a j a h ɐ̃	w ɐ n i h i
Chacon-2019-220-105_hit	iː n o k a d a	p ĩ a n i	i t o d a k a i t a	p a t u d a k ɐ n i	p i p e j d e p e n i		n u j aː k a ã	n u i p a t u i t a k a n i	p ɐ̃ h j̃ a k a n i	i ɲ aː k e t i	i ɲ aː k e t i	n ã ɲ ã n ĩ p ɛ		p i p ɛ t ɛ
Chacon-2019-220-106_hold	h i p a k a d a k a i d a	pʰ i p aː n i	h i p aː kʰ e tʰ i	n u t a ʐ a w a t a k ɐ n i	p i p i t a s u k a n i		h ĩ p a k ã ŋ	n u a p o a ɽʰ i o p a n i	k i p ɐ n i	h i p a k e t i	h i p a k e t i	i h e t a n a p e i k u		p i d a k u i t a h ə
Chacon-2019-220-107_horn		ɽ i ts u a		ɽ i ts o w a	ɽ i ts u a		ɽ i tʃ i w a	ɽ i ts u a	ɽ i ts u a			l i ts a w i	i t u a	ts o w a
Chacon-2019-220-108_hot	h a m o d a l i	h a m o	h aː m u	h ɐ̃ m u k a n i	h a m u k a n i		h a m u k a	h a m u k a n i	h a m ũ d a ɽ i	h a m o d a l i	h a m o d a l e	h a m ũ m ã wʰ ã	h a m õ	a t a l i
Chacon-2019-220-109_how		kʷ a m e		k o a m ɛ	t e dz u		kʷ a mʰ eː	k ɔ a mʰ ɛ	k ɔ a m ɛ			k o e nʰ ã ɾ ã	k o a m ɛ	i s i d ɛ m a h ã
Chacon-2019-220-10_sand	h i p a i p e	k a i d a	k a i d a k u a	k a j d a	k a i d u k o a	k a i d a kʷ a	k a i d a	k a j d a	k a j d a	k a i d a	k a i d a	k a i d a kʷ a	k a j d a	j a tʃ i n a h a
Chacon-2019-220-110_hunt	i k u p e ɾ e t a k a d a		iː ts a l a t a k e t i							k a s aː k e t i	i k a s aː k e t i			
Chacon-2019-220-111_husband	ɾ o i n i ɾ i		ɾ u i n i ɾ i	n u i n i ʐ i		j o s a n i ɾ i	ɽ u i n i ʐ i	n u i n i ʐ i	ʐ u i n i ʐ i	ɾ u i n i ɾ i	ɾ u i n i ɾ i	d u ts a n i ɾ i	n u i n i ɽ i	n ũ m ĩ h ĩ
Chacon-2019-220-112_i	nʰ o a		nʰ u a				nʰ o a	nʰ o a	nʰ o a	nʰ o a	nʰ u a	n u h ã	nʰ u ɐ̃	
