Cognate_ID,Achagua,Baniwa,Baniwa_Dzawinai,Baniwa_Dzurema,Baniwa_Hohoodene,Baniwa_Kowaidakenai,Baniwa_Mauliene,Baniwa_Waliperidakenai,Bare,Kabiyari,Kauixana,Koripako_Kumadene,Koripako_aha,Koripako_ehe,Koripako_name,Koripako_oho,Passe,Piapoco,Resigaro,Tariana,Tariana_Bruzzi,Tariana_Kumadene,Warekena,Werekena_Baniva,Yukuna,Yumana
0_14_come,,,,,,,,,,,,,,,,,,,,,,,,,,a w oɨ
0_20_earthsoil,,,,,,,,,,,,,,,,,p a p u/w a k a ʔ,,,,,,,,,
0_21_eat,,,,,,,,,,,,,,,,,s u + n au,,,,,,,,,
0_25_foot,,,,,,,,,,,,,,,,,,,,,,,,,,eɨ
0_30_hairhead,,,,,,,,,,,,,,,,,n tʃ oi,,,,,,,,,
0_32_head,,,,,,,,,,,,,,,,,oː p á/a,,,,,,,,,s + o m a + ʃ u m i
0_34_hear,,,,,,,,,,,,,,,,,oɨ,,,,,,,,,a tʃ á/a
0_47_many,,,,,,,,,,,,,,,,,,,,,,,,,,j a ɨ o l e
0_52_neck,,,,,,,,,,,,,,,,,,,,,,,,,,m á/a r p iː
0_54_night,,,,,,,,,,,,,,,,,,,,,,,,,,w a l a j e k a h
0_5_big,,,,,,,,,,,,,,,,,,,,,,,,,,k a tʃ u j u j u
0_62_rock,,,,,,,,,,,,,,,,,w a r i,,,,,,,,,
0_8_black,,,,,,,,,,,,,,,,,k e s e,,,,,,,,,tʃ í/i k a + j u
100_27_give,,,,,,,,p i a n ũ h i u m e,,,,,,,,,,,,,ɾ i a n ʊ k a,,,,,
1012_48_moon,,,,,,,,,,,,,,,,,,,,,,,a ʃ í/i t a,a s i t a,,
1028_49_mountain,,,,,,,,,,,,,a w a k a d a,a w a k a d a,,,,,,,,,,,,
1033_49_mountain,,h í/i i p a n a,,,,,,,,,,h iː p a n a,,,h iː p a n a,,,,,,,,,,,
1039_49_mountain,,h i dz á/a p a,h i dz a p a,h i dz a p a,h i dz a p a,h i dz a p a,h i dz a p a,h i dz a p a,,,,,,,,h i dz a p a,,,,,h i a p a,,h i d á/a p a,j̃ a p a,,
104_66_say,,,,,,,,,,,,n u a k u,,,k aː k o k a,,,,,,,,,,,
1068_46_man,w a ʃ i a l i k u e r i,a ts í/i a n l i,ã tʃ i a ɽ i,a tʃ i a ɽ i,a tʃ i a ɽ i,a tʃ i n a ɽ i,tʃ i a ɽ i,a tʃ i/j ã ɽ i,h e n a r i,t̪ i j á/a r i,ts í/i n a,aː t i a,aː ts i a,a ts i n a l i,aː ts i a,aː ts i a,,a s ì/i a l i,a ts á/a a g í/i,c̃/c i/j ã ɾ i,ã tʃ i a ɾ i,a tʃ ĩ ã ɾ i,,,a tʃ i ɲ á/a,a s i/j a h
1068_51_name,,,,,,,,a tʃ i/j ã ɽ i,,,,,,,,,,,,,,,,,,
106_23_fatorganicsubstance,,,,,,,,,,,,,,,,,,,,,,,ʃ i p a,a s iː p a,,
107_23_fatorganicsubstance,,,,,,,,,,,,,,l i t a v a n a,,,,,,,,,,,h i l a h i,
