Cognate_ID,Barasano,Desano,Karapan,Koreguahe,Kubeo,Kueretu,Maihiki,Piratapuyo,Prototucanoan,Sekoya,Siona,Tanimuka,Tukano,Tuyuka,Wanano,Yupua
1-3rdpersonmasculine,m ĩ,m ĩ,,,b i,,,,p i,p i,,,m ĩ,,,
10-blackink,w e i,,,,w e i,,,,w e ʔ e,,,,,,,
100-pot,tʃ o t ɨ,s o d o,h o t ɨ,tʰ o tʰ o,h o d o,,t o t o,,s o t,s o t o,s o t o,h o t o,s ɨ t ɨ,s o t ɨ,s i t u,
101-pupunha,ɨ̃ n ẽ,ɨ̃ n ĩ,ɨ̃ n ẽ,ɨ n e,ɨ̃ n ẽ,ɨ ˀn e,,ɨ̃ n ẽ,ɨ n e,,ɨ n e,ĩ ɾ ẽ,ɨ̃ n ẽ,,ɨ̃ n ẽ,
102-red,tʃ ũ ã,,h õ a,,h ũ ã,,,,s õ ʔ a,,,h ũ ã,s õ ʔ ã,s õ ã,s õ ʔ ã,
103-river,ɾ i a,d i a,ɾ i a,j i a,h i a,ɾ a,j i a,,tsˀ i a,sˀ i a,sˀ i a,ɾ i a,d i a,d i a,d i a,
104-root,,n ũ ŋ ũ,n ɨ̃ ˀk õ,,n ɨ̃ õ,,,,tˀ ɨ̃ kˀ o,,,ɾ ĩ k õ,n ɨ̃ ˀk õ,n ɨ̃ k õ,n ɨ̃ ˀk õ,
105-rub,tʃ ĩ ŋ ẽ,,h ĩ k ẽ,,h ĩ h ũ,,,,s ĩ kˀ e,,,,s ã ˀk ẽ,t u u + s ã k ẽ,tʰ u + s a ˀk a,
106-sleep,k ã n ĩ,k ã n ĩ,k ã n ĩ,k ã,k ã,,k ã,,k ã,k ã,k ã,k ã ɾ ĩ,k ã n ĩ,k ã n ĩ,kʰ ã n ĩ,
107-snake,ã ɲ ã,ã ɲ ã,ã ɲ ã,ã ɲ ã,ã ɲ ã,h a j a,ã ɲ ã,ã ɲ ã,ã j a,ã ɲ ã,ã ɲ ã,ã ɲ ã,ã ɲ ã,ã ɲ ã,ã ɲ ã,
108-spider,b ɨ h ɨ,b ɨ p ɨ,b ɨ p ɨ,h ɨ̃ h ɨ̃,p ɨ̃ p ɨ̃,h e h e,h ɨ̃ h ɨ̃,,pˀ ɨ p ɨ,,h ɨ̃ h ɨ̃,,b ɨ p ɨ,b ɨ p ɨ,w ɨ p ɨ,b ɨ b ɨ
109-squeeze,b u h e,b i p i,,,p i p o,,,,pˀ i p o,,,,b i p e,w̃ ã j ĩ ã,w i p e,
11-blood,ɾ i i,d i i,ɾ i i,j i e,h i w e,ɾ i e ɾ i,,,tsˀ i e,sˀ i e,sˀ i e,ɾ i b e,d i i,d i i,d i,
110-stone,ŋ ɨ̃ t ã,ɨ̃ t ã,ɨ̃ t ã,k a tʰ a,,,,k ɨ̃ t ã,kˀ ɨ̃ t a,k ɨ n a,kˀ a t a,ã t a,ɨ̃ t ã,ɨ̃ t ã,,g ɨ ɾ ɨ
