ID,Form_ID,Form,Cognateset_ID,Doubt,Cognate_Detection_Method,Source,Alignment,Alignment_Method,Alignment_Source
LencaSalvador-1_agua-1-1,LencaSalvador-1_agua-1,wal,1,False,expert,Constenla2005,,,
LencaHonduras-1_agua-1-1,LencaHonduras-1_agua-1,was,1,False,expert,Constenla2005,,,
Cacaopera-1_agua-1-1,Cacaopera-1_agua-1,li,2,False,expert,Constenla2005,,,
Mayangna-1_agua-1-1,Mayangna-1_agua-1,was,1,False,expert,Constenla2005,,,
Ulwa-1_agua-1-1,Ulwa-1_agua-1,was,1,False,expert,Constenla2005,,,
Miskito-1_agua-1-1,Miskito-1_agua-1,li,2,False,expert,Constenla2005,,,
Pech-1_agua-1-1,Pech-1_agua-1,àsò,3,False,expert,Constenla2005,,,
Rama-1_agua-1-1,Rama-1_agua-1,si:,4,False,expert,Constenla2005,,,
MalekuJaika-1_agua-1-1,MalekuJaika-1_agua-1,ti:,4,False,expert,Constenla2005,,,
Boruca-1_agua-1-1,Boruca-1_agua-1,díʔ,4,False,expert,Constenla2005,,,
Bribri-1_agua-1-1,Bribri-1_agua-1,dǐʔ,4,False,expert,Constenla2005,,,
Cabecar-1_agua-1-1,Cabecar-1_agua-1,díkɺʊ́,4,False,expert,Constenla2005,,,
Teribe-1_agua-1-1,Teribe-1_agua-1,dí,4,False,expert,Constenla2005,,,
Ngabere-1_agua-1-1,Ngabere-1_agua-1,ɲɤ,4,False,expert,Constenla2005,,,
Buglere-1_agua-1-1,Buglere-1_agua-1,tʃi,4,False,expert,Constenla2005,,,
Dorasque-1_agua-1-1,Dorasque-1_agua-1,yi,4,False,expert,Constenla2005,,,
SanBlasKuna-1_agua-1-1,SanBlasKuna-1_agua-1,ti:,4,False,expert,Constenla2005,,,
Cogui-1_agua-1-1,Cogui-1_agua-1,ni,4,False,expert,Constenla2005,,,
Arhuaco-1_agua-1-1,Arhuaco-1_agua-1,dʒe,4,False,expert,Constenla2005,,,
Malayo-1_agua-1-1,Malayo-1_agua-1,'dʒiɾa,4,False,expert,Constenla2005,,,
Chimila-1_agua-1-1,Chimila-1_agua-1,ditake:,4,False,expert,Constenla2005,,,
Chibcha-1_agua-1-1,Chibcha-1_agua-1,sie,4,False,expert,Constenla2005,,,
CentralTunebo-1_agua-1-1,CentralTunebo-1_agua-1,'riʔa,4,False,expert,Constenla2005,,,
