ID,Form_ID,Form,Cognateset_ID,Doubt,Cognate_Detection_Method,Source,Alignment,Alignment_Method,Alignment_Source
Anonimo-1_one-1-1,Anonimo-1_one-1,huc,661,False,expert,valera1586,h u k,False,expert
Apuri-1_one-1-1,Apuri-1_one-1,huk,661,False,expert,shimelman2017,h u k,False,expert
Apurimac-1_one-1-1,Apurimac-1_one-1,huk,661,False,expert,camacho2007,h u k,False,expert
Apurimac-1_one-2-1,Apurimac-1_one-2,huj,661,False,expert,camacho2007,h u χ,False,expert
Apurimac-1_one-3-1,Apurimac-1_one-3,huq,661,False,expert,camacho2007,h u q,False,expert
Arma-1_one-1-1,Arma-1_one-1,huk,661,False,expert,galvez2003,h u k,False,expert
Atalla-1_one-1-1,Atalla-1_one-1,huk,661,False,expert,heggarty2005,h u k,False,expert
Ayacucho-1_one-1-1,Ayacucho-1_one-1,huk,661,False,expert,soto1976,h u k,False,expert
Bobonaza-1_one-1-1,Bobonaza-1_one-1,shuj,661,False,expert,orrwrisley1981,ʃ u x,False,expert
Cacra-Hongos-1_one-1-1,Cacra-Hongos-1_one-1,huk,661,False,expert,shimelman2017,h u k,False,expert
Chachapoyas-1_one-1-1,Chachapoyas-1_one-1,suj,661,False,expert,taylor2006,s u x,False,expert
Chacpar-1_one-1-1,Chacpar-1_one-1,huk,661,False,expert,heggarty2005,h u k,False,expert
Chetilla-1_one-1-1,Chetilla-1_one-1,suχ,661,False,expert,heggarty2005,s u χ,False,expert
Chipaya-1_one-1-1,Chipaya-1_one-1,zinta,662,False,expert,heggarty2005,z i n t a,False,expert
Curva-1_one-1-1,Curva-1_one-1,ux,661,False,expert,heggarty2005,- u x,False,expert
Cuzco-1_one-1-1,Cuzco-1_one-1,huχ,661,False,expert,heggarty2005,h u χ,False,expert
CuzquenoAntiguo-1_one-1-1,CuzquenoAntiguo-1_one-1,huc,661,False,expert,holguin1608,h u k,False,expert
Huallaga-1_one-1-1,Huallaga-1_one-1,huk,661,False,expert,heggarty2005,h u k,False,expert
Huanca-1_one-1-1,Huanca-1_one-1,suk,661,False,expert,cerron1976,s u k,False,expert
