Cognate_ID,Anonimo,Apuri,Apurimac,Arma,Atalla,Ayacucho,Azuay,Bobonaza,Cacra-Hongos,Chachapoyas,Chacpar,Chetilla,Chipaya,Curva,Cuzco,CuzquenoAntiguo,Huallaga,Huanca,Huancane,Huangascar,HuarazHuailas,Imbabura,Inkawasi,Iruhito,Jaqaru,Jauja,Kawki,Lamas,Laraos,Lincha-Tana,Maragua,Napo,Pacaraos,Pastaza,Pocona,Puki,Puno,Putumayo,Raimondi,SanPedro,Santiagueno,SantoTomas,Serena,Sullkatiti,Taquile,Tarma,Troje,Tsimu,Wari,Yanac
0_109_besick,,,,,,,u n g u + k u + n a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0_133_biteto,,,,,,,k a n i + n a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000_105_youngfemale,,,,,,,,,,,,,,,,,,w a m l a,,,,,,,,w a m l a,,,,,,,,,,,,,,,,,,,,,,,,
1000_106_youngmale,,,,,,,,,,,,w a m r a,,,,,,,,,,,,,,,,,,,,,w a m ɾ a,,,,,,,,,,,,,,,,,
1002_106_youngmale,w ai n a,,w ai n a,,,,,,,w ai n a,,,,w ai n a,w ai n a,w ai n a,,,,,,,,,,,,w ai n a,,,w ai n a,,,w ai n a,w ai n a,,w ai n a,,,,w ai n a,w ai n a,,,w ai n a,,,,,
1003_105_youngfemale,,,,,,,,m a l t a,,,,,,,,,,,,,,,,,,,,,,,,m a l t a,,,,,,,,,,,m a l t a,,,,,,,
1003_106_youngmale,,,,,,,,m a l t a,,,,,,,,,,,,,,,,,,,,,,,,m a l t a,,,,,,,,,,,m a l t a,,,,,,,
1006_106_youngmale,,,,,,,,,,,,,,,,,,w a l a ʂ,,,,,,,,w a l a ʂ,,,,,,,,,,,,,,,,,,,,w a l a ʃ,,,,
1007_82_cloud,,,,,,,,,p u k u t ai,,p u k u t eː,p u k u t ai,,,,,p u k u t ai,p u k u t ai,,,p u k u t ai,,p u k t ai,,,p u k u t ai,,,p u k u t ai,p u k u t ai,,,p u k u t ai,,,,,,p u k u t ai,,,,,,,p u g u t ai,,,p u k u t ai,p u k u t eː
1010_100_green,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,k i ʎ u,,,,,,,,,,,,,,,,
1010_101_yellow,k e ʎ ɔ,,q i ʎ u,χ i ʎ u,χ i ʎ u,χ e ʎ u,k i ʎ u,k i ʎ u,,k i dʑ u,,,,qʼ i ʎ u,qʼ i ʎ u,χ i ʎ u,,,,,,k i ʎ u,,,,,,k i dʑ u,,,qʼ i ʎ u,k i ʎ u,,k i ʎ u,qʼ i ʎ u,,qʼ i ʎ u,x i ʎ u,,,q ɪ ʒ u,q i ʎ o,k i ʎ u,,qʼ i ʎ u,,k i ʒ u,,,
1011_118_cold,tʃ i r i,tʃ i ɾ i,tʃ i r i,tʃ i ɾ i,tʃ i r i,tʃ i ɾ i,tʃ i ɾ i,tʃ i r i,,tʃ i r i,,tʃ i r i,,tʃ i r i,tʃ i r i,tʃ i r i,,,,tʃ i ɾ i,,tʃ i ɾ i,,,,,,tʃ i r i,,tʃ i ɾ i,tʃ i r i,tʃ i r i,,tʃ i r i,tʃ i r i,,tʃ i r i,tʃ i r i,,tʃ i ɾ i,tʃ i ɾ i,tʃ i r i,tʃ i r i,,tʃ i r i,,tʃ i r i,,,
1012_118_cold,,a l a l ai,,,,,,,a l a l ai,,a l a,,,,,,,a l a l a ʔ,,a l a l ai,a l aː l ai,,,,,a l a l a ʔ,,,a l a l a,a l a l ai,,,a l a l ai,,,,,,a l aː l ai,a l a l ai,,,,,,a l a l a,,,a l aː l ai,a l a l a
1013_118_cold,,,,,,,,,,,,,,,,,,,,,,,,h iː p uː,,,,,,,,,,,,,,,,,,,,,,,,k iː p uː,,
1016_102_big,,,,,,,,,,,,,,,,,,,h a tʃʼ a,,,,,,a x tsʼ a,,a s ʈʂʼ a,,,,,,,,,h a tʃʼ a,,,,,,,,h a tʃʼ a,,,,,,
1018_104_small,,,,,,,,,,,,,,,,,,,,,,,,,u t j i t j a,,i t j i t j a,,,,,,,,,,,,,,,,,,,,,,,
1019_124_cometo,h a m u + n i,h a m u,h a m u,h a m u,h a m u,h a m u,ʃ a m u + n a,ʃ a m u + n a,h a m u,ʃ a m u,ʃ a m u,ʃ a m u,,h a m u,h a m u,h a m u + n i,ʃ a m u,ʂ a m u,,h a m u,ʃ a m u,ʃ a m u + n a,ʃ a m u,,,,,ʃ a m u,h a m u,h a m u,h a m u,ʃ a m u + n a,ʃ a m u,ʃ a m u + n a,h a m u,,h a m u,s a m u,ʃ a m u,h a m u,a m u,χ a m u + n i,ʃ a m u,,h a m u,ʃ a m u,ʃ a m u,,ʃ a m u,ʃ a m u
101_113_empty,,,,,,,,,,,,,,,,,h aː k u + χ,h a l k u + ʂ a,,,,,,,,h a l k u + ʂ a,,,,,,,,,,,,,,,,,,,,,,,,
1020_103_highup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p a t a,,,,p a t a,,,,,,,,,,,,,,,
1021_104_small,,t a k s a,t a k s a,t a k s a,t a k s a,t a k s a,,,t a k s a,,,t a k ʃ a,,,,,,t a k ʂ a,,t a k s a,t a k ʃ a,,t a k ʃ a,,,t a k ʂ a,,t a k ʃ a,,t a k s a,,,,,,,,,t a k ʃ a,t a k s a,,,,,,t a k ʃ a,,,t a k ʃ a,
1023_104_small,,,tʃ i k i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1024_105_youngfemale,,,,,,,w a m b ɾ a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,w a m b r a,,,
1024_106_youngmale,,,,,,,w a m b ɾ a,,,,,,,,,,,,,,,x a t u n + w a m b ɾ a,,,,,,,,,,,,,,,,,,,,,,,,,w a m b r a,,,
1026_105_youngfemale,,,,p a s ɲ a,,p a s ɲ a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1026_106_youngmale,,,p a s ɲ a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1027_135_lickto,,,l au q a,,,,,ʎ au k a + n a,,,,,,,,,,,,,,,,,,,,,,,,ʎ au k a + n a,,l au k a + n a,,,,,,,,,ʎ au k a,,,,,,,
1027_63_sistermans,,,,,,,,,,,,,k u ʎ a k a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1028_146_cryto,w a k a + n i,w a q a,w a q a,,w a χ a,w a χ a,w a k a + n a,w a k a + n a,w a q a,w a k a,w a ʁ a,w a ʁ a,,w a q a,w a q a,w a k a + n i,w a q a,w a ʔ ai,,w a q a,w a q ai,w a k a + n a,w a ʁ a,,,w a ʔ ai,,w a k a,w a q a,w a q a,w a q a,w a k a + n a,w a ʁ a,w a k a + n a,w a ʁ a,,w a q a,w a k a,w a q ai,w a q a,w a χ ai,w a k a + n i,w a k a,,w a q a,w a χ a,w a k a,,w a q ai,w a q a
1029_135_lickto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ʎ a w a + n a,,,
1029_61_brothermans,,,,,,,,,,,,,h i l a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102_101_yellow,,,,,,,,,,,,,,,,,,t u n ʔ u ʂ,,,,,,,,t u n ʔ u ʂ,,,,,,,,,,,,,,,,,,,,,,,,
1030_107_oldman,,,,,,,,,au k i ʃ,,,,,,,,au k i s,au k i ʃ,,,au k i s,,,,,au k i ʃ,,,au k i ʃ,au k i ʃ,,,au k i ŋ,,,,,,au k i s,,,au k i,,,,au g i s,,,au k i s,au k i s
1031_92_leaf,r a p i,,r a p i,,r a p i,ɾ a p i,,,,,,,,r a pʰ i,r a pʼ i,r a p i,,,,,,,,,,,,,,,l a qʰ i,,,,l a qʰ i,,l a pʰ i,,,,,r a p i,,,l a pʰ i,,,,,
