Cognate_ID,ClassicalNahuatl,JalupaNahuat,MecayapanNahuat,NorthPueblaNahuatl,PajapanNahuat,Pipil,Pochutec,ProtoAztecan,TetelcingoNahuatl
100_yellow,k o s + t i k,j u k s i k,k o s t i ʔ,k o s t i k,g o s t i k,t u l t i k,,k o s + t ɨ + k,k o s t iː k
10_bone,o m i + tɬ,u m i + t,o m i + ʔ,o h m i + tɬ,o m i + t,uː m i + t,o + t,oː m ɨ + tɬ,m iː m iː t e + tɬ
11_breast,tʃ iː tʃ iː w a l,tʃ i tʃ i,tʃ iː tʃ i w a l,tʃ i tʃ i w a l,tʃ i tʃ i w a l,tʃ iː tʃ i h,n o,tʃ iː tʃ iː w a l,tʃ i tʃ iː w a l
12_burntr,tɬ a t i aː,t a t i,t a t i á/a,t i t i ts a,t a t a,t a t i a,t a t í/i,tɬ a + t ɨ + h a,tɬ a t i a
13_clawnail,i s t e + tɬ,i s t i,i s t i,i s t + n,i s t i,i s t i + t,o x + t,ɨ s t ɨ,i s t e
14_cloud,m i x + tɬ i,,m i x + t i,m e x + tɬ i,m iː x + t i,m i x + t i,p i x + t,m i x + tɬ ɨ,m e x + tɬ iː
15_cold,iː ts + t i k,s e s e k,s e s eː ʔ,i ts + t i k,s e s eː k,s e s e k,p i n á/a,s e s e + k,i ts + t iː k
16_come,w i ts,ɲ o ts,w iː ʔ,w i ts,w iː ts,w iː ts,w i ts,w iː ts,i b i ts
17_die,m i k,m i k i,m i k i,m i k i,m i g i,m i k i,m o k,m ɨ k i,m iː k iː
18_dog,tʃ i tʃ i,tʃ u tʃ u,p eː l o,tʃ i tʃ i,p e l o,p eː l u,t a tʃ ó/o m,,tʃ iː tʃ iː + t u
19_drink,o n + iː,x i + k,o n + i + á/a,o n + i,o n + i,u n + i,t e m + í/i,i h i,o n + i
1_alltodos,m o tʃ i + n,m u tʃ i,n o tʃ i,n o tʃ i + n,n o tʃ i,m u tʃ i,n o tʃ ó/o,m o tʃ ɨ + m,n o tʃ iː
20_dry,w aː k + k i,w a k + t u k,w aː k + t o ʔ,w a h + k i,w aː k + t o k,w aː k + t u k,w a k,w aː k,w a h + k iː
21_ear,n a k a s + tɬ i,n a k a s,n a k a s,n a k a s,n a g a s,n a k a s,n e k é/e s + t,n a k a s + tɬ ɨ,n a k a s
22_earth,tɬ aː l + l i,t a h l i,t aː h l i,tɬ a l i,t aː h l i,t aː l,t a l,tɬ aː l + l ɨ,tɬ ø l iː
23_eat,k w aː,b w aː,k w a,k w a,b aː,k w a,k w a,k w a + h aː,k w a
24_egg,t oː t o l + t e + tɬ,p i l + ts i n,t e k s i s,t o t o l + t e + tɬ,t e k s i s,t e k s i s + t i,t i + t ó/o + t,,t u t o l + t e tɬ
25_eye,iː x + t e l o l o ʔ,iː x,iː x,i x + t e l o l o,iː x + t o l o l o,iː x,i x + t o t o l ú/u + t,iː x,i x + t e l o l o
26_fatn,tʃ i j aː w i s + tɬ i,m a n t e k a,t o m a h k a,tʃ i a k + tɬ i,m a n t e g a,,,,m a n t e k a
27_feather,i h w i + tɬ,i j + u h w i + j u,ts o h m i + ʔ,i h w i + tɬ,ts o h m i + t,u h m i + j u,,ɨ w ɨ,t o h m i tɬ
28_fire,tɬ e + tɬ,t i + t,t i ʔ + t i,tɬ e + tɬ,t i + t,t iː + t,t e + t,tɬ a h i + tɬ,tɬ e + ts i n + tɬ iː
29_fish,m i tʃ + i n,x eː n e h,t oː p o h,m i tʃ i,t oː p o h,m i tʃ i n,m i tʃ ó/o m,m ɨ + tʃ ɨ + m,m iː tʃ iː
2_ashes,n e x + tɬ i,k ó/o + n e x + t i,k w a + n eː x,tɬ e k o + n e x + tɬ i,b a + n eː x,n e x + t i,n o x + t,n ɨ x + tɬ ɨ,tɬ a k o + n e x + tɬ iː
30_fly,p a tɬ aː n,p a r a n i,p a t aː n i,p a tɬ a n i,p a t aː n i,p a t aː n i,p a t á/a n k,p a tɬ aː n i,p a tɬ ø n i
31_foot,kx i + tɬ,i kx i,i kx i,i kx i,i kx i,kx i,n o,ɨ kx ɨ,i kx iː
32_full,t eː n + t o k,n eː + t i k,t eː n + t o ʔ,t e n + t o k,t eː n + t o k,t eː n + t u k,,t eː n + t o k,t i e n + t iː k a
33_givetr,m a k a,m a,m a k a,m a k a,m a g a,m a k a,m e k á/a,m a k a,m a k a
34_good,k w a l + l i,j e k + t i,j eː k + t i,k w a l i,j e k + t i,j eː k,u l í/i k,j eː k + tɬ ɨ,k w a l iː
35_green,x o x o k + t i k,x u x u í/i + k,x o x o k + t i ʔ,x o x o k + t i k,x o x o k + t i k,x u x u w i + k,x w i,,x o x o k + t iː k
36_hair,ts o n + tɬ i,ts u n + t i,ts o n + k a l,ts o n + tɬ i,ts o n + g a l,ts u n + k a l,ts o n,ts o m,ts o n + tɬ iː
37_hand,m aː,m aː + n,m a j i ʔ,m a + n,m aː,m e j,m a í/i,m a h,m ø
38_head,k w aː + tɬ,ts u n + t e k o n,ts o n + t e k o n,ts o n + t e k o,ts o n + t e g o n,ts u n + t e k u m a + t,k w a í/i + t,k w a h,ts o n + t e k o
39_hear,k a k,k a i,k a k i,k a k i,g a g i,k aː k i,k e k í/i,k a k i,k a k iː
3_bark,eː w a + tɬ,s u l + k o i,k w a + k a h l oː + ʔ,j e w a + j o,b a + g a h l o,eː w a + j u,,ɨ w aː + j oː + tɬ,j e w a + j u + tɬ
40_heart,j oː l + l i,j u h + l u,j aː l m a h,j o l + o,a l m a,j u l,n,j oː l,j u l o h + tɬ iː
41_horn,k w aː k w a w + tɬ,k o k o i t,k w aː k w a,k w a k o w,b aː b aː,k a tʃ o h,,,
42_i,n e ʔ w aː + tɬ,n e h e,n e h,n e h w a + tɬ,n e h a,n a,n e n,n a h a,n a h a
43_kill,m i k iː + t i aː,m i k + t i,m i k + t i a,m i k + t i a,m i k + t i a,m i k + t i a,m o k t í/i,m ɨ k + t ɨ + h a,m iː k + t iː a
44_knee,tɬ a n + k w a i,t a m + b w a + n,t a n + k w aː + ʔ,tɬ a n + k w a,t a m + b a,t e w a h k a,,tɬ a n + k w a h,tɬ a n + k w a t e
45_know,m a t,m a,m a t i,m a t i,m a t i,m a t i,m e t í/i,m a t i,m a t iː
46_leaf,i s w a + tɬ,i s w a + t,i s w a ʔ,x i w i + tɬ,i s w a + t,i s w a + t,x u t,ɨ s w a + tɬ,x iː b iː tɬ
47_lie,m o + t eː k a,m u + r e k a + k,m o + t eː c a,m o + t e k a,m o + t e g a,m u + t eː k a,t e k é/e,m o + t eː k a,m o + t i e k a
48_liver,eː l + l i,,j oː l,j e l + tɬ a p a tʃ,,e l + t a p a tʃ,,,
49_long,w eː i j a k,w e j a k,w eː j a k t i ʔ,w e j a k,w eː j a k,w e j a k,,w e h e j a + k,b e j a k
4_belly,i ʔ t e,i h t i,t a l a x,i h t e,i h t i,i h t i,,ɨ h t ɨ,i h t e
50_louse,a t e m i + tɬ,aː t i n,a t i m i ʔ,p i o h o,aː t i n,a t i m e + t,a t ó/o m + t,a t ɨ m ɨ + tɬ,a t iː m iː + tɬ
51_man,t aː k a + tɬ,t aː k a + t,t aː g a + ʔ,tɬ a k a tɬ,t aː g a + t,t aː k a + t,o k ó/o x + t,tɬ aː k a + tɬ,u m b r e
52_many,m i a k iː n,m i a k p a,m i a ʔ,m i a k,m i a k,m i j a k,a s ó/o k,m ɨ j a k,m e j a k
53_meat,n a k a + tɬ,n a k a + t,n a k a + ʔ,n a k a + tɬ,n a g a + t,n a k a + t,n e k é/e + t,n a k a + tɬ,n a k a + tɬ
54_moon,m eː ts + tɬ i,m eː ts + t i,m eː ts + t i,m e ts + tɬ i,m eː s + t i,m eː ts + t i,m e s + t,m eː ts + tɬ ɨ,m i e ts + tɬ iː
55_mountain,t e p eː + tɬ,,t e p eː + ʔ,t e p e + tɬ,t e p eː + t,t e p eː + t,,t ɨ p eː + tɬ,t e p i e + tɬ
56_mouth,k a m + tɬ,t eː n,t eː n,k a m a + k,t eː n,t eː n,t e n,t eː n + tɬ ɨ,k a m a + k
57_name,t oː k aː + tɬ,t u w a + n,t oː k aː + ʔ,t o k a h + tɬ i,t o g a,t uː k e j,k u l,t oː k aː h ɨ + tɬ,t u k ø
58_neck,k e tʃ + tɬ i,k e tʃ,k e tʃ,k e tʃ,g eː tʃ,k e tʃ + k uː j u,k o x + t,k ə tʃ + tɬ ɨ,k e tʃ + k o tʃ tɬ a
59_new,j a n k w i + k,j a m b w i + k,j a m k w i + ʔ,j a n k w i + k,j a m b i + k,j a n k w i + k,,j a n k w i + k,j a n k w iː + k
5_big,w eː,w e j,w e j i,w e j i,w eː j,w eː j,h u h i ó/o m,w e h e j,b i e j iː
60_night,j o w a l + l i,t a + j u w a + k,j o w a l,j o w a l i,t a + j o á/a,t a + j u w a,o w é/e l,j o w a l + l ɨ,j o w a l iː
61_nose,j a k + tɬ,j a k,j a k + t i,j e k a + k,j a g a + t,j a k,j e k é/e + t,j a k a + tɬ,j e k a + ts o l
62_not,a ʔ m oː,t e,a j aː ʔ,a h m o,a m ó/o,t eː + t e s u,a s,,a m o
63_one,s eː,s e,s eː,s e j a,s e,s eː,s e,s eː,s i e
64_person,tɬ aː k a + tɬ,j o h o m e h,h e n t e,,k r i s t i a n o h,k r i s t a n u h,,,h i e n t e
65_rain,k i j a w + tɬ,tʃ i m aː + t,k i a h u aː + ʔ,k i j a w i + tɬ,aː + ts o n a + t,aː + t,j e k + t,,k iː j a b iː + tɬ
66_red,tʃ iː + tʃ iː l + t i k,t r a i k,tʃ iː l + t i ʔ,tʃ i + tʃ i l + t i k,t a + t a w i + k,tʃ iː l + t i k,,tʃ iː l + t ɨ + k,tʃ i + tʃ i + l t iː k
67_road,o ʔ + tɬ i,u h + t i,o h + t i,o h + tɬ i,o h + t i,u h + t i,o tʼ k á/a n,o h + tɬ ɨ,o h + tɬ iː
68_root,n e l w a + tɬ,t a l w a + t,n e l w a + ʔ,n e l w a + tɬ,b a + t a k s o n,n e l w a + t,,n e l w a + tɬ,n e l w a + j u + tɬ
69_round,j a w a l + t i k,t u l u ts + t i k,j a w a l + t i ʔ,j e w a l + t i k,m o n s o,j a w a l + n a h,,j a w a l + t ɨ + k,j e w a l + t iː k
6_bird,t oː t oː + tɬ,t uː r u + t,t oː t oː + ʔ,t o t o + tɬ,t oː t o + t,t uː t u + t,,t oː t oː + tɬ,t u t u + tɬ
70_sand,x aː l + l i,x aː h l i,x aː h l i,x a l i,x aː h l i,aː + x aː l,,x aː l + l ɨ,x ø l iː
71_say,ʔ t o aː,i h l i,k + i h t o a,i h t o a,i h t o a,i l w i a,i t í/i,,ʰt o a
72_see,t t a,i r a,i t a,i t a,i t a,i t a,i t á/a,ɨ h t a,ʰt a
73_seed,a tʃ + tɬ i,j u h l u,j oː l,a tʃ tɬ i,j oː l,iː x,a x + t,aː tʃ + tɬ ɨ,x iː n + ø tʃ + tɬ iː
74_sit,m o + tɬ aː l i aː,m u + r a l i h + t u k,m o + t aː l i á/a,m o + tɬ a l i a,m o + t aː l i,m u + t aː l i a,m e ts á/a,m o + tɬ a l ɨ + h a,m o + tɬ ø l iː a
75_skin,eː w a + tɬ,b w é/e r a x t i,k a h l oː + ʔ,j e w a j o,b e t a x,eː w a j u,k w e t é/e x + t,eː w a + tɬ,j e w a j o
76_sleep,k o tʃ,k u tʃ i,k o tʃ i,k o tʃ i,g o tʃ i,k u tʃ i,k o tʃ í/i,k o tʃ ɨ,k o tʃ iː
77_small,t e p i + t oː n,ts i r i + t u k,a l iː m + p a,k i ts i n i n,tʃ i h tʃ i n t i + ts i n,a tʃ i h + tʃ i n,n i x t ú/u n,,ts i ts iː k iː + ts i
78_smoke,p oː k + tɬ i,p uː k + t i,p oː k + t i,p o k + tɬ i,p oː k + t i,p u k + t i,a + p o t ó/o k + t,p oː k + tɬ ɨ,p u k + tɬ iː
79_stand,m o + k e ts a,i h k a t u k,m o + k e ts a,m o + t e l + k e ts a,m o + g e ts a,m u + k e ts a,x + m o + k ts é/e,k ɨ ts a,m o + k e ts a
7_bite,k e ʔ ts o m,,t a n + k w a,tɬ a n + k e tʃ i j a,t a m + b a,t a n + k w a,,k ɨ h + ts o m a,k e ts o m a
80_star,s iː tɬ a l + i n,s iː t a l,s iː t a l i n,s i tɬ a l i,l u s e r o,s iː t a l,,s i tɬ a l ɨ + m,s i tɬ a l iː
81_stone,t e + tɬ,x aː l + t e + t,t e ʔ + t i,t e + tɬ,t e + t,t e + t,t o + t,t ə + tɬ,t i e + t e + t u
82_sun,t oː n a + t i w,r o n t i n,t o + t a h + ts iː n,t o n a l + ts i n + tɬ i,t oː n a t i,t uː n a l,t u n é/e l,,t u n a l iː
83_swim,aː + w i l aː n,,aː + p a t aː n i,m + a l + t i j a,aː h k i a,,,,m + ø + b iː l ø n a
84_tail,k w i tɬ a p i l + l i,b w i r a p i l,k w i t a p iː l,k w i tɬ a p i l,b i t a p i l,k w i tɬ a p i l,,k w i tɬ a + p ɨ l,k w iː tɬ a p iː l
85_that,i n + oː n,h uː n i,i n + eː p a,i n + o n,h oː n,u n i,n a m é/e l,oː n,iː n + u
86_this,i n + iː n,h iː n i,i n + iː n,i n + i n,h iː n,i n i,i n á/a,i n,i n + i
87_thou,t e ʔ w aː + tɬ,t e h e,t e h,t e h w a,t e h a,t a,m w e n,t ə h a,t a h a
