Cognate_ID	BanPaw	ChaYeQing	ChuDongGua	GuangKa	HtanHsan	KhunHawt	ManLoi	MangBang	MengDan	NamHsan	NanSang	NoeLae	NyaungGone	PangKham	PongNuea	XiangZhaiTang
100_yousg	m ɛ	m ai̯	m ɔːi̯	m ai̯	m iː	m iː	m ai̯	m ai̯	m əi̯	m iː	m ai̯	m ɛ	m ɛ	m ai̯	m ɛː	m ɛː
10_earthsoil	k a + d ai̯	k a + d aːi̯	k a + ɗ aːi̯	k a + t aːi̯	k a + ɗ ei̯	k ə n + d ɛi̯	k a + ɗ aːi̯	k a + t aːi̯	k ə + d ai̯	k ə + ɗ ɛː	k a + t aːi̯	k a + d ai̯	k a + d ai̯	k a + ɗ aːi̯	k a + d aːi̯	k a + d ɛːi̯
11_stone	m au̯	m aːu̯	m aːu̯	m aːu̯	m oːu̯	m oːu̯	m aːu̯	m aːu̯	m ɛːu̯	m oː	m aːu̯	m au̯	m au̯	m aːu̯	m aːu̯	m aːu̯
12_mountain	n ɔ n	n oː	k ə + d i/j a ŋ	k o ŋ	s u r̥	s o r	ŋ au̯ ʔ	n ɔː	s u l	s u r	k ɔ ŋ	n ɔ n	n ɔ n	ŋ ɔː t	n ɔː n	n ɔ n
13_tree	h e	h ɔːi̯	h i	t a ŋ + h ɔːi̯	ɗ ɨ ŋ + h ei̯	ɗ ə ŋ + h ei̯	d a ŋ + h eː	t a ŋ + h ɔːi̯	h i	ɗ ɨ ŋ + h eː	t a ŋ + h ɔi̯	h e	h e	h ei̯	h ei̯	d a ŋ + h ei̯
14_root	r i/j a h	ɣ ə h + h ɔi̯	r i/j a h + h i	ʐ ə h + h ɔːi̯	r i/j a h + h ei̯	r i/j a h	r i/j a h + h ei̯	ɣ ə h	r i/j a h + h iː	r i/j a h	r ə h + h ɔi̯	r i/j a h	r i/j a h	r i/j a h	r i/j a h	r i/j a h + h ei̯
15_leaf	l̥ a	l̥ aː	l̥ aː + h iː	l̥ aː + h ɔːi̯	l̥ aː	l̥ aː + h eːi̯	l̥ ɛː	l̥ aː + h ɔːi̯	l̥ ɛː + h i	l̥ aː	l̥ aː	l̥ a	l̥ a	l̥ aː	l̥ ɛa	l̥ aː
16_flower	b ou̯ h	b o x	ɓ o h	p o h	ɓ o h	ɓ o h	ɓ o h	p o h	ɓ o h	ɓ o h	p o h	b ou̯ h	b ou̯ h	b o h	b ou̯ h	b o h
17_fruit	b l e	ɓ l ɔːi̯	ɓ l iː	p l ɔːi̯	ɓ l ei̯	p l ei̯	b l ei̯	p l ɔːi̯	b l iː	ɓ l eː	p l ɔːi̯	b l e	b l e	b l eː	b l ei̯	b l ei̯
18_grass	p ə̆ t	b j ai̯	ɓ r ai̯	b a t	b r ei̯	k ə r + b aː n	p r ai̯	b ə t	p r ai̯	k ə r + b aː n	b a t	p ə̆ t	p ə̆ t	p r ai̯	p ə t	p ə t
19_salty	s ɔ ŋ	tɕ eː m	tɕ eː m	tɕ ɛː m	s ɔ ʔ + s a ŋ	s a ŋ	s ɛ ʔ + s a ŋ	tɕ eː m	s a ŋ	tɕ ɛː m	s ɔ ŋ	s ɔ ŋ	s ɔ k	j ɛː m	s ɔ ŋ	s ɛ ʔ + s ɔ ŋ
1_sun	s a + ŋ ɛ	kʰ a + ŋ ai̯	s ə + ŋ ɔi̯	s a + ŋ ai̯	s a + ŋ iː	s a + ŋ iː	s a + ŋ ai̯	s a + ŋ ai̯	ŋ əi̯	s a + ŋ iː	s a + ŋ ai̯	s a + ŋ ɛ	s a + ŋ ɛ	s a + ŋ ai̯	s a + ŋ ɛi̯	s a + ŋ ɛː
20_dog	m a + s o	m a + ʔ o ʔ	ʔ a + ʔ o ʔ	s au̯	ʔ a + ʔ o ʔ	ʔ a + ʔ o ʔ	ʔ a + ʔ o ʔ	s au̯	ʔ a + ʔ u ʔ	ʔ a + ʔ o ʔ	s ou̯	m a + s o	m a + s o	ʔ a + ʔ o ʔ	m a + s ou̯	s ou̯
21_bite	k au̯ ʔ	g a k	g a ʔ	g a k	g a ʔ	g a ʔ	k a k	g ɔ k	k i/j a ʔ	g a ʔ	k ɔ k	k au̯ ʔ	k au̯ ʔ	g a k	k au̯ ʔ	k ɔ ʔ
22_horn	n ɨ ŋ	n ɨ ŋ	n u ŋ	n ɨ ŋ	n u k	n ə ŋ	n u ŋ	n ɨ ŋ	n u ŋ	n u ŋ + k r a ʔ	n ɨ ŋ	n ɨ ŋ	n ɨ k	n ɨ ŋ	n ɨ ŋ	n ɨ ŋ
23_tail	s a + d a	kʰ a + ɗ aː	s a + d aː	s a + t aː	s a + ɗ aː	s a + ɗ aː	s a + ɗ ɛː	s a + t aː	k ə + ɗ ɛː	s a + ɗ aː	s a + t aː	s a + d a	s a + d a	s a + ɗ aː	s a + d ɛa	s ə + d aː
24_bird	m a + s i m	s iː m	s i m	s iː m	s i m	s i m	s i m	s iː m	s i m	s i m	s iː m	m a + s i m	m a + s i m	s i m	m a + s iː m	s iː m
25_fly	b ə̆ n	ɓ ai̯	pʰ r uː	p ɨː h	ɓ ə r	b ə r	b ə r	p ɨː	pʰ r uː	p ə r	p ɨː	b ə̆ n	b ə̆ n	m i n	b ə n	b ə n
26_egg	p ə n + ʔ i/j a n	b əː n	g r aːu̯ + ʔ i/j a r	b əː n	k a + ɗ a m	k a + ɗ a m	k l au̯ + kʰ ai̯	b əː n	g l ɛːu̯	k a + d a m + ɓ e ʔ	b əː n	p ə n + ʔ i/j a n	p ə n + ʔ i/j a n	g l au̯	p əa n	p əː n
27_fish	m a + g a	k aː	k aː	k aː	k aː	k aː	g ɛː	k aː	k ɛː	k aː	k aː	m a + g a	m a + g a	g aː	m a + g ɛa	g aː
28_snake	m a + h ă ɲ	h a n	h ɔ ɲ	h a n	h e ɲ	h e ɲ	h a n	h a n	h ɔ n	h a ɲ	h a n	m a + h a ɲ	h a n	h a ɲ	m a + h a ɲ	h a ɲ
29_louse	m a + s ɛ	m a + s ai̯	s aːi̯	s ai̯	s ei̯	s iː	s ai̯	s ai̯	k ə + b r a n	s iː	s ai̯ ʔ	m a + s ɛ	m a + s ɛ	s ai̯	m a + s ɛː	m a + s ɛː
