Cognate_ID	Amharic	Argobba	Chaha	Endegagn	Ezha	Geez	Gogot	Gumer	Gura	Gyeto	Harari	Inor	Kistane	Mesqan	Muher	Oromo	Silte	Tigre	Tigrigna	Wolane	Zway
100_15_bread																		b a n i	b a n i		
101_17_brother																		ħ u	ħ a w		
106_21_came	m ə ťť/tʼː a	m ə ťť/tʼː a		m ə ʔ a		m ə ś/s ʔ a						m ə ʔ a	m ə ťť/tʼː a				m ə ť/tʼ a	m ə ś/s a	m ɨ ś/s a ʔ	m ə ť/tʼ a	m aː t aː
107_22_camel	g ɨ m ə l	g a m e l a	g a m e r a	g ɨ m ə l	g a m e r a	g ə m ə l	g i m ə l	g a m e r a	g a m e r a	g a m e r a	g aː m ə l a	g a m e r a	g i m ə l	g a m e l a	g a m e l a	g aː l a	g aː m eː l a	g e m ə l	g ɨ m ə l	g aː m eː l a	g aː l a
108_23_cat	d ɨ mː ə t	d ɨ m ə t				d ɨ mː ə t												d ɨ mː u	d ɨ mː u		
109_24_cheek	g u n ć/tʃʼ	g u n tʃ e									ć/tʃʼ aː ć/tʃʼ u	g u n ć/tʃʼ ə	g u n ć/tʃʼ ə		g u n ć/tʃʼ ə		g u n ć/tʃʼ o		n u n ć/tʃʼ i		
10_10_black	ť/tʼ ɨ ќ/kʼ u r	ť/tʼ ɨ ќ/kʼ u r	ť/tʼ ɨ ќ/kʼ u r				ť/tʼ ɨ ʔ u r	ť/tʼ ɨ k w ɨ r	ť/tʼ ɨ ќ/kʼ u r	l ɨ ќ/kʼ u r			ť/tʼ ɨ ќ/kʼ u r	ť/tʼ ɨ ќ/kʼ u r	ť/tʼ ɨ ќ/kʼ u r						
110_25_chest	d ə r ə t		d a t a	d a tː ə	d a dː a		d ə r ə t	d a tː a		d a tː ə		d a t a	d ə r ə t		d a dː a						
111_26_child	l ɨ ğ/dʒ	l ɨ ğ/dʒ																		w e ğ/dʒ	
112_27_cloud	d a mː ə n a	d ə m ə n a	d a b ə r a	d a w ə n ə	d a b ə r a	d ə mː ə n a	d a b ə n a	d a b ə r a	d a b ə r a	d a m ə r a	d aː n a	d a m ə r a	d a m ə n a	d a b ə n a	d a b ə n a	d uː m e sː a	d ə b ə n a	d ə b n a	d ə b ə n a	d a b ə n a	d aː b aː n aː
113_28_coffee	b u nː a	b u nː			b u n a	b u nː a	b u nː a			b u n o	b u n		b u n a			b u n a	b u n o	b u n	b u n	b u n o	b u n a
114_29_concealed	d ə bː ə ќ/kʼ ə					d ə b ə ќ/kʼ ə															
115_30_cow	l a m	l a m	ʔ ə r a m	ʔ a n a w	ʔ ə r a m	l a h m	ʔ ɨ nː a m	ʔ ə r a m	ʔ ə r a m		l aː m	ʔ ə r a m	ʔ ə l a m	ʔ ə r a m	ʔ ə nː a m		l a m		l a m	l a m	l a m
116_25_chest		g ə n g a d				ʔ ɨ n g ɨ d ʔ a															
118_21_came			tʃ ə n ə		tʃ ə n ə			tʃ ə n ə	tʃ ə n ə	tʃ ə ň/ɲ ə				tʃ ə ňň/ɲː ə							
119_23_cat			ʔ a n g a tʃ a	ʔ a n g a tʃː ə	ʔ a n g a tʃː a		ʔ a n g a tʃː a	ʔ a n g a tʃː a	ʔ a n g a tʃ a	ʔ a n g a tʃ a		ʔ a n g a tʃ a	ʔ a n g a tʃ a	ʔ a n g a tʃ a	ʔ a n g a tʃ a						
120_24_cheek			d a n g a	d a n g ə	d a n g ə		d a n g a	d a n g a	d a n g a	d a n g a				d a n g a							
121_26_child			t ɨ k ə	t ɨ k ə	t ɨ k ə		t ɨ k ə	t ɨ k ə	t ɨ k ə	t ɨ k ə		t ɨ k ə		t ɨ x ə	t ɨ k ə						
122_28_coffee			ќ/kʼ a w a	ќ/kʼ ə w a				ќ/kʼ a w a	ќ/kʼ a w a			ќ/kʼ a w a		ќ/kʼ a w a	ќ/kʼ a w a						
123_29_concealed			ʃ e m ə		ʃ e m ə m		ʃ e m ə m	ʃ e m ə m	ʃ e m ə ʔ	ʃ e m ə	ʃ eː m ə ќ/kʼ a		s ə ť/tʼ ə	ʃ e m ə	ʃ ə m ə m		ʃ eː m e			ʃ e m e	ʃ i m i
