Cognate_ID	Amonda	Anambe	Apiaka	Arawete	Asurini	AsuriniXingu	AvaCanoeiro	Aweti	Chiriguano	Emerillon	Guaja	Guajajara	GuaraniAntigo	GuaraniMbya	GuaraniParaguay	Guarayo	Guayaki	Kamayura	Kayabi	Kokama	Mawe	Nheengatu	Omagua	Parakana	Parintintin	Siriono	Surui	Tapirape	Tembe	Tenharim	Tupi	UrubuKaapor	Urueuwauwau	Warazu	Wayampi	WayampiJ	Xeta	Yuki
100_hide	m i m					m i m	j e m i m		ñ o m i	m i m	m ĩ n	m i m	n o m i	ɲ e m e	ɲ o m i			j e m i m	m i m	j a m i m i	w e m i ŋ	j u m i m i	j a m ia m a	m i m	m i m	t͡ʃ i m ĩ		m i m	m i m	m i m	ɲ o m i m		m i m	ð o m i	j e m i			j i m i
101_hit	n u p ã	n u p ɨ̃	n u p ã	n o p ĩ	n o p o	n o p i ŋ	n u p ã		n ũ p a	n o p ã	m e t e k	n u p ã	n u p ã	u n g a		kʷ a		n u p ã	n u p ã	i n u p a	a h i k	n u p a	i n u p a	n o p o	n u p ã		n u p o	n o p ɨ̃	n u p ə	n u p ã	n u p ã	n u p ã	n u p ã	n u p ə	n u p ã	n u p ã	ɲ u p a	k u t o r a
102_hole	kʷ a r	kʷ ã		k õ		kʷ a r	kʷ a r	kʷ a t	ɨ v ɨ kʷ a	kʷ a t	i kʷ a	kʷ a r	kʷ a	kʷ a	kʷ a r a	kʷ a r		kʷ a t	kʷ a t	kʷ a r a		kʷ a r a		kʷ a r	kʷ a r				kʷ a r	kʷ a r	kʷ a r	kʷ a r	kʷ a r	kʷ a	kʷ a	kʷ a r	gʷ a	
103_hot	a k o β	a k u		a k u	a k o m	a k o p	a k u p	a k u p	a k u	a k u	a k u	a k u	a k u	a k u	a k u	t͡s a k u	a k u	a k u p	a k u p	t͡s a k u	a k u p	s a k u	s a k u	a k o m	a k u β	a k u	a k u w	ã k o p	a k u	a k u β	a k u β	a k u	a k o β	a k u	a k u	a k u	a k u	j a k j u
104_house	o k	a p ɨ	ʔ o g	a ʔ	a ŋ	a k	o k	o k	o o	a p i d͡ʒ	i p á	a p u z	o g	o ʔ o	o g	o ɨ		o k	ʔ o g	u k a	ɨ a t	u k a	u k a	o g	a p ɨ j	t͡ʃ u t͡ʃ u a	o g	a k a n	ʔ o k	a p ɨ j	o k	o k	o ŋ	o i	o k a	o k a	a k	s u j a
105_howlermonkey		a k ɨ k ɨ	a k ɨ k ɨ	a t͡ʃ i t͡ʃ i	a k ɨ k ɨ		w a l e w		k a r á j a	a k ɨ k ɨ	w a r í	w a r i w	k a r a j á	k a r a dʒ á	k a r a j a	k a r á j a	k r a j á	a k ɨ k ɨ	a k ɨ k ɨ	w a r í w a	a w ɨ k ɨ	w a r í w a		a k ɨ k ɨ	a k ɨ k ɨ						a k ɨ k ɨ	w a r i		k a r a ð a	a k ɨ k ɨ			
106_husband	m e n	e r e kʷ ã	m e n	e r e k ũ	m e n	e r a kʷ a t	m e n	m e n	m e	m e n	m e n	m e n	m e	m e	m e n	m ẽ r	i m e	i r ũ	m e n	m e n a		m e n a	m ɪ n a	m e n	e mb i r e k o	r u		m e n	m e n	e mb i r e k o	m e n	s a w a ʔ e	m e n	m e	m ẽ	m e n		r u
107_jacarecaimancrocodile		j a k a r a	s a k a r e	ɲ e t͡ʃ e r e	s a k a r e	dʒ a k a r e	j a k a r e	t o p e p ɨ r i t	j a k a r e	dʒ a k a r e	j a k a r e	z a k a r e	j a k a r e	dʒ a k a r e	j a k a r e			j a k a r e	j a k a r e	j a k a r e	j a k a r e	j a k a r e		dʒ a k a r e	j a k a r e	n i k a r e		t͡ʃ ã k ã r e	z a k a r e		j a k a r e	j a k a r e		ð a k a r e	j a k a r e	j a k a r e		j i k i a r e
108_jaguar	j a ʔ gʷ a r	j a w ã	s a w a r	ɲ ã	s a w a r	dʒ a w a r	j a w a r a e t e u h u	t a w a t	j a w a	dʒ a w a t	j a w a r	z a w a r u h u		a gʷ a r a	j a gʷ a r e t e	d͡ʒ a kʷ a	j a w a	j a w a t	j a w a	a ɨ m a n t a	a w ɨ a t o	j a w a r e t e		t͡ʃ a w a r a	j a ʔ gʷ a r	t͡ʃ a kʷ a	s a w a r	t͡ʃ ã w ã r	z a w a r	j a ʔ gʷ a r	j a gʷ a r	j a w a r e t e	j a ʔ gʷ a r	ð a w a	j a w a r	j a w a r	ɲ a g w a	j a g w a
109_kill	ɲ u k a	j u k a		ʒ u k ə	s o k a	dʒ o k a	j u k a	k ɨ̃ j	j u k a	dʒ i k a	i k a	z u k a	j u k a	dʒ u k a	j u k a	j u k a	j u k a	j u k a	j u k a	u m a n u t a	a u k a	j u k a	u m a n u t a	t͡ʃ o k a	ɲ u k a	ɨ k j a		t͡ʃ o k ã	z u k ə	ɲ u k a	j u k a	j u kʷ a	ɲ u k a	ð u k a	j u k a	j u k a	dʒ u g a	j u k j a
