ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile,English_Gloss_in_Source,French_Gloss_in_Source
Afade-11_bealone-1,b49be59a-4143-43b4-b095-30ef685c97b6,Afade,11_bealone,sˈa,sˈa,s ʔ a,,allisonnd,19207,,^ s ˈ a $,default,(be) alone,"(être) seul, solitaire"
Buduma-11_bealone-1,bf460a42-6055-44c6-bb81-32fdde3cbb65,Buduma,11_bealone,kəte; muh,kəte,k ə t e,,mckone2009,19207,,^ k ə t e $,default,(be) alone,"(être) seul, solitaire"
Buwal-11_bealone-1,691095de-99fa-4886-90d9-ca1183f2a327,Buwal,11_bealone,mbelew,mbelew,m b e l e w,,viljoenproga,5551,,^ m b e l e w $,default,(be) alone,"(être) seul, solitaire"
Cuvok-11_bealone-1,c0d45296-db38-4bfe-b1cd-188fd9844a0f,Cuvok,11_bealone,malay,malay,m a l a j,,ndokobaiproga,14113,,^ m a l a y $,default,(be) alone,"(être) seul, solitaire"
Dugwor-11_bealone-1,3ac16b78-d6d8-479b-9fa5-7f0473859c19,Dugwor,11_bealone,"maliyaray, bebek",maliyaray,m a l i j a r a j,,gravina2004,13659,,^ m a l i y a r a y $,default,(be) alone,"(être) seul, solitaire"
Gavar-11_bealone-1,9f8790ab-2279-43b2-a97c-9c6c0cae93be,Gavar,11_bealone,ŋtɑguleŋ,ŋtɑguleŋ,ŋ t ɑ g u l e ŋ,,viljoenprogb,3594,,^ ŋ t ɑ g u l e ŋ $,default,(be) alone,"(être) seul, solitaire"
Gemzek-11_bealone-1,b57e55a9-c134-4a33-a4b9-21900a3aa7e3,Gemzek,11_bealone,mendze habayak ŋa,mendze_habayak_ŋa,m e n d z e + h a b a j a k + ŋ a,,gravinanda,16523,,^ m e n d z e _ h a b a y a k _ ŋ a $,default,(be) alone,"(être) seul, solitaire"
GizigaMarva-11_bealone-1,30d92d9b-ed9b-425e-9881-83d5f346e03f,GizigaMarva,11_bealone,i pal,i_pal,i + p a l,,gravina2004,12928,,^ i _ p a l $,default,(be) alone,"(être) seul, solitaire"
Lagwan-11_bealone-1,0b1ccd5e-3003-4734-a163-13055054e1a2,Lagwan,11_bealone,sa,sa,s a,,shryocknd,19207,,^ s a $,default,(be) alone,"(être) seul, solitaire"
Mbudum-11_bealone-1,4afc090f-819e-4fdf-b284-0c77dfbb3a05,Mbudum,11_bealone,tataɗ,tataɗ,t a t a ɗ,,ndokobaiprogb,2314,,^ t a t a ɗ $,default,(be) alone,"(être) seul, solitaire"
Merey-11_bealone-1,739c0d12-d82f-4d9c-8678-f7698ba69c9e,Merey,11_bealone,seguk,seguk,s e g u k,,gravinaetalprog,18419,,^ s e g u k $,default,(be) alone,"(être) seul, solitaire"
Mpade-11_bealone-1,8a45a816-32fa-4edb-a11b-889ad44d6df7,Mpade,11_bealone,sˈà,sˈà,s ʔ a,,allisonnd,19207,,^ s ˈ à $,default,(be) alone,"(être) seul, solitaire"
Mser-11_bealone-1,d53209ea-3b2c-4cce-95ae-5bad5e12bbde,Mser,11_bealone,kɨ ya; sˈeku; sˈelu,kɨ_ya,k ɨ + j a,,allisonnd,19207,,^ k ɨ _ y a $,default,(be) alone,"(être) seul, solitaire"
Nyimatli-11_bealone-1,daf7b320-7ff8-48d6-bc18-826ef36a5516,Nyimatli,11_bealone,ɗyenda,ɗyenda,ɗ j e n d a,,,12560,,^ ɗ y e n d a $,default,(be) alone,
Zina-11_bealone-1,8d8fc6c0-d5fc-46a0-8f76-06dcaae7341d,Zina,11_bealone,cálálá; cáláné,cálálá,c a l a l a,,schmidtetal2002,19207,,^ c á l á l á $,default,(be) alone,"(être) seul, solitaire"
Afade-38_beangry-1,b0d361b1-85e1-4890-97a4-2f4e3a0141e5,Afade,38_beangry,bo wagɨ,bo_wagɨ,b o + w a g ɨ,,allisonnd,2306,,^ b o _ w a g ɨ $,default,(be) angry,"(être) fâché, en colère"
Cuvok-38_beangry-1,835a7adc-c2e0-425e-8b92-f09c976d9224,Cuvok,38_beangry,zam rav,zam_rav,z a m + r a v,,ndokobaiproga,4399,,^ z a m _ r a v $,default,(be) angry,"(être) fâché, en colère"
Dugwor-38_beangry-1,627c1fa8-34fc-4b15-b080-5984d223c644,Dugwor,38_beangry,megey mevel,megey_mevel,m e g e j + m e v e l,,gravina2004,19970,,^ m e g e y _ m e v e l $,default,(be) angry,"(être) fâché, en colère"
Gavar-38_beangry-1,296b61d0-00df-4eae-b860-e556602f8f49,Gavar,38_beangry,ghwɑɗek,ghwɑɗek,gʷʱ ɑ ɗ e k,,viljoenprogb,251,,^ ghw ɑ ɗ e k $,default,(be) angry,(être) fâché
Gemzek-38_beangry-1,72747043-fab1-488c-ae8d-7aab2816b4bd,Gemzek,38_beangry,matsəɓɓatsəɓ,matsəɓɓatsəɓ,m a ts ə ɓː a ts ə ɓ,,gravinanda,18737,,^ m a ts ə ɓɓ a ts ə ɓ $,default,(be) angry,"(être) fâché, en colère"
GizigaMarva-38_beangry-1,d0036e43-857f-433d-bd82-314623f7ea17,GizigaMarva,38_beangry,ji mevel,ji_mevel,j i + m e v e l,,gravina2004,297,,^ j i _ m e v e l $,default,(be) angry,"(être) fâché, en colère"
Lagwan-38_beangry-1,c1116e7f-9fc8-4e5c-8f4b-8f027d5b4b27,Lagwan,38_beangry,msˈakwa ya,msˈakwa_ya,m s ʔ a kʷ a + j a,,shryocknd,2306,,^ ms ˈ a kw a _ y a $,default,(be) angry,"(être) fâché, en colère"
Malgbe-38_beangry-1,4bc6afa6-96c3-4a8d-9fd5-9e7612747c45,Malgbe,38_beangry,ledɨ ɨrfɨ a,ledɨ_ɨrfɨ_a,l e d ɨ + ɨ r f ɨ + a,,allisonnd,2306,,^ l e d ɨ _ ɨ r f ɨ _ a $,default,(be) angry,"(être) fâché, en colère"
Mbudum-38_beangry-1,327eddb9-a4a3-434e-91b3-8352f98adcfa,Mbudum,38_beangry,kəzum nəf,kəzum_nəf,k ə z u m + n ə f,,ndokobaiprogb,10429,,^ k ə z u m _ n ə f $,default,(be) angry,"(être) fâché, en colère"
Merey-38_beangry-1,a3b9240c-8517-41aa-9073-47121de6859b,Merey,38_beangry,ndza tete,ndza_tete,n d z a + t e t e,,gravinaetalprog,15404,,^ n d z a _ t e t e $,default,(be) angry,"(être) fâché, en colère"
Mpade-38_beangry-1,9086d6f8-fe6b-4b14-92e7-f0d844143e9b,Mpade,38_beangry,ɗɨ̀ wógɨ̀,ɗɨ_wógɨ,ɗ ɨ + w o g ɨ,,allisonnd,2306,,^ ɗ ɨ _ w ó g ɨ $,default,(be) angry,"(être) fâché, en colère"
Mpade-38_beangry-2,987e6bf1-0474-40b1-8015-7bab7232b693,Mpade,38_beangry,jáfàl,jáfàl,j a f a l,,allisonnd,2536,,^ j á f à l $,default,(be) angry,(être) furieux
Mser-38_beangry-1,8b169351-add2-42c4-846a-b5fbce86514f,Mser,38_beangry,msˈako; ɨrvi a so,msˈako,m s ʔ a k o,,allisonnd,2306,,^ ms ˈ a k o $,default,(be) angry,"(être) fâché, en colère"
Nyimatli-38_beangry-1,9fa836f6-7f27-4a24-8c67-346d176e611d,Nyimatli,38_beangry,shokhna,shokhna,ʃ o kʰ n a,,,20546,,^ sh o kh n a $,default,(be) angry,
ShoaArabic-38_beangry-1,6480ee7f-54d0-47e1-abec-ba9fde4140f4,ShoaArabic,38_beangry,jafal,jafal,j a f a l,,,2536,,^ j a f a l $,default,(be) angry,(être) furieux
Afade-42_bebeautiful-1,f0b91ce6-4045-4b72-afc5-142c1eed2cf8,Afade,42_bebeautiful,samya,samya,s a m j a,,allisonnd,17051,,^ s a m y a $,default,(be) beautiful,(être) beau
Buduma-42_bebeautiful-1,d39d5f24-275d-4340-ba8e-9046daf65fb4,Buduma,42_bebeautiful,"aci, dəci",aci,a c i,,mckone2009,17051,,^ a c i $,default,(be) beautiful,(être) beau
Buwal-42_bebeautiful-1,2e53760e-fee6-483a-accb-f1b99fa136a9,Buwal,42_bebeautiful,tuwɑh,tuwɑh,t u w ɑ h,,viljoenproga,6781,,^ t u w ɑ h $,default,(be) beautiful,(être) beau
Buwal-42_bebeautiful-2,77968599-c764-41fa-9996-28df9aed80d1,Buwal,42_bebeautiful,dɑdɑɓ,dɑdɑɓ,d ɑ d ɑ ɓ,,viljoenproga,4028,,^ d ɑ d ɑ ɓ $,default,(be) beautiful,(être) beau
Cuvok-42_bebeautiful-1,d4efc789-351b-4c93-8ab0-31b1703641e3,Cuvok,42_bebeautiful,tehey,tehey,t e h e j,,ndokobaiproga,9254,,^ t e h e y $,default,(be) beautiful,(être) beau
