Cognate_ID,Afade,Bata,Buduma,Buwal,Cuvok,Dghwede,Dugwor,Fulfulde,Ga,Gavar,Gemzek,GizigaMarva,GizigaMoutourwa,Hausa,Hwana,KamweFutu,Kanuri,Kilba,Lagwan,Lamang,Malgbe,Maltam,Margi,MargiS,Mazera,Mbara,Mbazla,Mbudum,Mbuko,Merey,MofuGudur,Moloko,Mpade,Mser,Musgum,Muyang,Nyimatli,Ouldeme,Psikye,Sharwa,ShoaArabic,Sukur,Vame,Zina
10003_487_rain,a m e + d i + ɬ u,,x ə,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ʃ u,m ʃ i,,,,,,,,,,
10020_118_chin,m ɓ ɨ r o l g a,,,,,,,w a kː u d e,,,,,,,,,n g u m i,,gʱ a d a g a,,g b ɨ m d ɨ,,,,ɨ ŋ b ɨ z m a,,,,,,,,k u m d u,k u m u t u,,,,,,,h a n a k,,,
10032_516_sand,s e n,,,,,,,,,,,,,,,,c e s a,,s e e n,,j a r a,,,,s a g u m,,,,,,,,s e r o + k i a s a,s e n,,,,,,,,,,i s a k i n a
10061_318_honey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a m ə m a k,
10061_46_bee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a m ə m a k,
10066_587_stool,,,b a m b a r,,,,,,,,,,,,,,,,p l a m,,k a r a u,,,,,,,,,,,,m b o l o,n k i l i o,,,,,,,,,,
10076_678_watch,,,,,,,,,,,,,,,,,,,ɗ e l + a n g a l + l ɨ + g e,,f i d ɨ + s a g a,,,,,,,,,,,,n d ɨ + l ɨ + g a + j o,v o + l i + s ɨ + g e,,,,,,,,,,
10098_636_toad,g ɨ l u m b i,,,,,,,,,,,,,,,,a r j a j a,,g u d ɨ g e,,a r s l a ɬ a,a r ts a ts a,,,kʷ a r a r a,,,,,,,,t a ɓ e,b ɨ r t i t i,,,,,,,,,,
10099_319_hoof,,,,,,,,k o l o ŋ g i,,,,,,,,,k o l o r a m,,,,n k ʔ ɨ n,,,,,,,,,,,,k o r l o m,n k ʔ a b e,,,,,,,k u fː,,,
10108_414_mountain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n gʷ a,,
10108_505_rock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a ŋ gʷ a,,,,,,,,,,,,,
10114_423_napeofneck,,,,,,,,,,,,,,,,,d a n g a l,,x u s e + k aː,,g e g b r i,,,,kʷ a t kʷ a ŋ,,,,,,,,g e j + k u r e,j i g u r i,,,,,,,,,,
10119_414_mountain,,,,,,,g ə m a,,,,g ə m a,,,,,gʱ u m o,,,,,,,,,,,,,,,,,,,,h ə m ɑ,,,,,,,,
10132_427_necklace,,,,,,,,,,,,,,,,,,,gʷʱ e + i + gʷʱ a e,,,,,,,,,,,,,,t a r j i,t a m r a + t ɨ + w a,,,,,,,,,,
10139_26_ashes,,,,,m e lʷ e c + m ə r w e c,,,,,,,,,,,,,,,,,,,,,,,,m ə r w e c,,,,,,,,,,,,,,,
