Cognate_ID	Gangwon	Gyeonggi	Hwanghae	Jeju	MKorean	NChungcheong	NGyeongsang	NHamgyong	NJeolla	NPyongan	SChungcheong	SGyeongsang	SHamgyong	SJeolla	SPyongan
100_onethousand		tɕʰ ə n			tɕ ɨ + m ɨ n										
101_other		t a + ɾ ɨ			t a + ɾ a										
102_painfulsick	a + p ɨ	a l			a l	a + p u	a l		a l		a l	a l		a l + ɾ ɨ n	
103_personhumanbeing	s aː + ɾ a m	s aː + ɾ a m	s aː + ɾ a m	s aː + ɾ a m	s a + ɾ ɨ m	s aː + ɾ a m	s aː + ɾ a m	s aː + ɾ a m	s aː + ɾ a m	s aː + ɾ a m	s aː + ɾ a m	s aː + ɾ a m	s aː + ɾ a m	s aː + ɾ a m	s aː + ɾ a m
104_rain	tɕ u l + m e + i	p i	p i	p i	p i	p i	p i	p i	p i	h ɨ l + ɾ i m	p i	p i	h ɨ l + ɾ i m	p i	p i
105_rat	tɕ w i	tɕ w i	tɕ w i	tɕ w i ŋ + i	tɕ w i	k͈ o l + b a ŋ + ɟ i	tɕ w i	n o + s ɨ ŋ	s ə + s ɛ + w o n	s o ŋ + k u	s ə + s ɛ + w o ŋ	s ə + s ɛ + w o ŋ	n o + s ɨ ŋ	s ə + s e + o n	tɕ w i
106_red	p͈ a l + k a t	p͈ a l + g a			p ɨ l + k ɨ	p͈ a l + g a	p͈ a l + g a		p͈ a l + k a t		p͈ a l + g a	p a l + g a		p ə l + k ə t	
107_right	p a + ɾ ɨ n + tɕ͈ o k	o + ɾ ɨ n + tɕ͈ o k		o + ɾ ɨ n + p e n		o + ɾ ɨ n + tɕ͈ o k	p a + ɾ ɨ n + p dʑ e n		o + ɾ ɨ n + tɕ͈ o k		o + ɾ ɨ n + tɕ͈ o k	p a + ɾ ɨ n + p dʑ e n		o + ɾ ɨ n + tɕ͈ o k	
108_river		k a ŋ		g a + m u l	k a ŋ									k͈ a ŋ + k ɛ	
109_road	k i l	k i l	k i l	tɕ i l	k i l	tɕ i l	k i l		tɕ i l	k i l	k i l	tɕ i l	tɕ i l	tɕ i l	k i l
10_because	t͈ ɛ + m i	t͈ ɛ + m u n									t͈ ɛ + m i			t͈ a m	
110_root	p͈ u + ɾ ə n + g ə + ɟ i	p͈ u + ɾ e ŋ + i		p͈ u l + l i	s p u l + h w i	p͈ u + ɾ i ŋ + i	p͈ u + ɾ ə + g i	p͈ u + ɾ e + g i	p͈ u + ɾ i ŋ + i	p͈ u + ɾ ə k + ɟ i	p͈ u + ɾ ə ŋ + i	p͈ u + ɾ i ŋ + i	p͈ u + ɾ e + g i	p͈ u + ɾ ɛ ŋ + i	p͈ u + ɾ ə k + ɟ i
