Cognate_ID	Bichom	Bulu	Chayangtajo	Dikhyang	Duhumbi	Eastern_Puroik_Li	Eastern_Puroik_Sun	Jerigaon	Kaspi	Khispi	Khoina	Khoitam	Kojo_Rojo	Lasumpatte	Namphri	Rahung	Rawa	Rupa	Saria	Shergaon	Singchung	Wangho
10101_51_tolaugh		z ɛː			ʑ ɛ j			z ɛː		ʑ e j	ʐ aː	z ɛː	z j ei			z ɛː	z ei	z aː	z ɛː	z aː		
10102_51_tolaugh	ʃ i j a ʔ			s j ɔ k					s e ʔ						ʃ e ʔ + pʰ a						tʃ i j o	tʃ i j o
10103_51_tolaugh			r uɛ			ɣ ue ⁵⁵	ɣ uɛ ³³							r uɛ								
101_1_1sg	g o	g uː	g o	k oː	g a	g o h ⁵⁵	g o h ⁵³	g u	g u	g a	g u	g u	g o	g o	g o	g u	g o	g u	g o	g u	g o	k o
10301_52_leaf	r a p	a + l ə p	a + l ə ʔ	ə + r a p	u + l a p	a ³¹ + l ɯ k ⁵³	h eʴ/e˞ n ³³ + l ɯ k ³³	a + l ɛ	r a p	u + l a p	a + l a ʔ	a + r a p	h ɨ̃ + j ə m	a + l ə ʔ	r a p	a + r a p	h ɨ ŋ + l ə p	a + l a p	a + l ə ʔ	a + l a p	e + r a p	r a p
10501_53_legfoot	l uᵉ/ue	a + l ɛː	l ɛː	l oɛ	l ɛ j		l æ ³³	l ɛ	l aⁱ/ai	l e j	l a	l ɛ	l ai	l ɛː	l aⁱ/ai	l ɛ	l ai	l a	l ai	l a	l oᵉ/o	l uᵉ/ue
10702_54_liver		a + pʰ i N/ɴ	a + p j i ʔ	ə + pʰ i n		a ³¹ + p ie ⁵³	a ³³ + p ie ⁵³	s ɛ̃ j		ɕ a p + ɕ i n		s ə + s ĩː	a + p i n	a + p j i ʔ			a + p j e t		a + p i ʔ			
10703_54_liver											d ə + tɕ ɛ̃ː					a + tɕʰ ĩː		a + tsʰ ɛ̃ː		a + tɕʰ ĩː		
10901_55_long					u + r i ŋ			a + r ɛ ŋ		u + l i ŋ	a + r ɛ ŋ	a + r ɛ ŋ				a + r ɛ ŋ		a + r ɛ ŋ		a + r ɛ ŋ		
10902_55_long	pʰ i j a ŋ	a + p j a N/ɴ	a + p ɹ a ŋ	ə + pʰ j a ŋ		a ³¹ + p ɹ a ŋ ⁵⁵	a ³³ + p ɹ a ŋ ⁵³		pʰ i j a ŋ				a + p ɹ a ŋ	a + p ɹ a ŋ	e + pʰ i j a m		a + p ɹ a ŋ		p ɹ a ŋ		pʰ i j a ŋ	e + pʰ i j a m
1101_6_ash					tɕʰ u + pʰ a k			tɕʰ a + pʰ l uː		tɕʰ u + pʰ a	dʑ ɐ + pʰ l uː	tɕʰ a + pʰ l uː				tɕʰ a + pʰ l uː		tɕʰ a + pʰ l uː		tɕʰ a + pʰ uː		
1102_6_ash	s + p i j e			s ə + pʰ iə					s + p i j e						s + p i j e						s + p i j e	s + p i j e
1103_6_ash		pʰ a + r ə p	b ɛː + r a k			b æ ³³ + ɣ ə h ⁵³	b æ ³³ + ɣ ə k ³³						b ə + r ə m	b ɛː + r a k			b ai + r ə p		b ai + r ə ʔ			
