Cognate_ID,EudeveNorth,EudeveSouth,Mayo,Opata,ProtoSonoran,ProtoTepiman,SonoraPimaBajo,TarahumaraCentral,TepehuanNorth,TepehuanSouth,TohonoOdam,Tubar,WarihioHighland,WarihioLowland,Yaqui
100_90_shell,k o d ó/o,,,k o d o s i,k o y/j o,,,,,,,,,k o o y/j ó/o,k o ó/o y/j o
101_261_stickwood,k ú/u + t,,k ú/u + tt/tː a,k u,k u,k ú/u a ʔ a g ɨ,,k ú/u,,,,u + t á/a,k u u,k u u/u h ú/u,k ú/u + t a
102_39_help,k u í/i,,,k ui,k u ʔ i,,,k u ʔ w í/i,,,,,k u í/i,,
103_276_fish,k u ts ú/u + t,,k ú/u t ts u,k u ts u,k u ts u,,,k u ts ú/u,,,,k i ts ú/u + t,,,k ú/u ts u
104_225_chew,,,k u ú/u m e,k u m,k u m i,,k u m a,k u m í/i,,,k u h m,k u m i,k u m i,,k u ú/u m e
105_92_tuft,k u m í/i s a,,k ú/u m s a + m,k u m i + t o,k u m i s a,,,k u m í/i s a,,,,,,,k ú/u m s a + k a m
106_181_fathersolderbrother,,,k ú/u m u r i,k u m u,k u m u,,,k u m ú/u ts i,k u m ú/u l i,,,,k u m ú/u,,k ú/u m u ʔ i
107_223_husband,k ú/u n gʷ a,,k u ú/u n a,k u n a,k u n a,k ú/u n a,,k u n á/a,,,,k u n a + k á/a m,k u n á/a,k u u/u n á/a,k u ú/u n a
108_71_closeeyes,k ú/u p u,,k ú/u p e,k u p,k u p u,k u u/u p á/a,,k u p u,,,,,k u h p i,k ú/u p i,k ú/u p e
109_82_typeofagave,k u ú/u + t,,k u ú/u ʔ u,k u,k u r u,,,k u u/u r ú/u,,,,k u r ú/u + t,k u r u,,k u ú/u ʔ u
10_315_sowseeds,é/e ts a,,e é/e ts a,e ts a,ɨ ts a,ʔ í/i s a,,e ts á/a,,,,s a,e ts a,h é/e ts i,ʔ e é/e ts a
110_162_singshout,k ú/u s a,,k u ú/u s e,,k u s u,,k u h u,k u s ú/u,,,k u h u,k u s u,k u s u,,k u ú/u s e
111_103_neck,k ú/u t a,,k ú/u t a ʔ a n a,k u t a,k u t a,,,k u t á/a,,,,,k u h t á/a,k ú/u h t a,k ú/u t a n a
112_5_maternalgrandfather,,,á/a pp/pː a,p a o gʷ a t,kʷ a,b á/a a b a,,a p á/a,,,,,p a p á/a,p á/a h p a,á/a p a
113_89_eat,h i + b á/a a,bʷ a d a w a t,bʷ á/a ʔ a y/j e,w a,kʷ a,,,w a ʔ a,b a b á/a i d y/j i,,p a,k o + kʷ a,,,bʷ á/a ʔ e
113bis_89_eat,,,,h i + k o a,k o ʔ a,k ó/o ʔ a + i,,k o á/a,,,,k u/w á/a,k o ʔ a,k ó/o k o,k ó/o ʔ a
114_211_cry,b á/a n a,,bʷ a á/a n a,,kʷ a n a,,bʷ a n u,,,,,,,,bʷ á/a n a
115_17_hawk,,,,,kʷ a s a,,,k u s á/a,,,,kʷ a s á/a,k u s á/a,k u u/u ʔ u s á/a,
116_87_tail,b á/a s i,,bʷ á/a s i/j a,,kʷ a s i,b á/a h i,,w a s í/i,,,,b a + k u s í/i + r,w a s í/i,w a h s i,bʷ á/a s i/j a
117_219_ripenbecomecooked,b á/a s e,bʷ a s e,bʷ á/a ss/sː e,i + gʷ a ss/sː + a,kʷ a s ɨ,,b a h i,w a s í/i,,,b a h i,kW/kʷ a s e + t e,w a h s é/e,w á/a s i,bʷ á/a s i + a
118_16_eagle,p á/a w e,,,p a gʷ e,kʷ a w e,b a á/a g ai,,w a ʔ w é/e,,,,kʷ a m u w é/e + t,w a ʔ w é/e,,
119_312_toad,k o h á/a + r,,,k o a + r i,kʷ a y/j a,,,k o w a + r í/i,b a + b a d ai,,b á/a + b a d,k u/w a + n y/j í/i t,k o h a + r í/i,k o h a + r í/i,
11_305_steal,é/e ts b a,,é/e k bw/bʷ a,e ts i kk/kː o a,ɨ ts i + kʷ a,ʔ ɨɨ/ɨː s i,,ts i w á/a,,,,i ts i kʷ a,i ts i k ó/o a,,ʔ é/e t bw/bʷ a
120_167_worm,h í/i ts i + r a,,bʷ í/i t ts i/j a,,kʷ i ts i,,,k u ts í/i w a r i,o b í/i + b i s i,,,h i + kʷ i ts í/i + t,i h + k u ts í/i w a,,bʷ í/i ts i/j a
121_197_smoke,,b i ts i,bʷ i ts í/i r i/j a,p i ts i + r a,kʷ i ts i,k u u/u + b í/i s i,,,,,,k u + p i ts í/i + t,,,bʷ i ts í/i a
122_280_skin,,,,,kʷ i ts i,,,w i ʔ ts í/i,,,,kʷ i ts i + r á/a n,w i ʔ ts í/i,w i ʔ i ts í/i,
123_62_sing,b í/i k a,,bʷ i í/i k a,gʷ i k,kʷ i k a,,,w i k á/a,,,,kʷ i k + w i t,w i k á/a,w í/i k a,bʷ i í/i k a
124_213_mud,,,,,kʷ i s o,,,w e s o + g á/a,,,,kʷ i s ó/o + t,w e s á/a,,
