Cognate_ID,Beijing,Changsha,Chengdu,Fuzhou,Guangzhou,Guilin,Haerbin,Jinan,Jixi,Loudi,Meixian,Nanchang,Nanjing,Rongcheng,Suzhou,Taiyuan,Wenzhou,XiAn,Xiamen
100_throw,ʐ ə ŋ ⁵⁵,ʐ ə n ¹³,z ə n ⁴⁵,l j eu ⁵⁵,t j u ⁵⁵,t j ou ⁴²,ʐ ə ŋ ⁴⁴,l ə ŋ ²¹⁴,pʰ ɤ ⁵⁵,l j ɤ ¹¹,t j u ³³,l ɨ n ²¹,s w ə ³¹,l j au ³³⁴,t o ʔ ⁴,z ə ŋ ⁵³,g a ²²,l j ɑu ⁴⁴,l i ŋ ⁵⁵
101_flesh,ʐ ou ⁵¹,ʐ əu ²⁴,z əu ²¹³,n y ʔ ⁵,i k ²,j ou ⁵⁵,ʐ ou ⁵³,ʐ ou ³¹,ɲ ɥ o ʔ ³²,n io ³⁵,ŋ j u k ¹,ɲ j u ʔ ⁵,ʐ əɯ ⁴⁴,j ou ³³⁴,ɲ j o ʔ ²³,z əu ⁴⁵,ɲ j eu ²¹,ʐ ou ⁴⁴,b a ʔ ³²
102_if,ʐ u ³⁵ + k w o ²¹⁴,y ¹³ + k o ⁰,t a ⁵³ + p i ⁵³ + s o ²¹,ɥ o ʔ ⁵ + h w a ŋ ⁵³,y ²¹ + k w ɔ ³⁵,y ²² + k w o ²³,ʐ u ²⁴ + k w o ²¹³,l u ⁵³ + k w ɤ ⁴⁵,y ⁴⁴ + k ɵ ²¹³,y ¹³ + k o ⁴²,k a ³¹ + h e ⁵³,l u ⁴⁵ + k w o ²¹³,ʐ u ¹³ + k o ¹¹,y ³⁵ + k w ɔ ²¹⁴,tɕ j ɑ ⁵² + s ɿ ⁵²,z u ²¹ + k w ɤ ⁵³,dʑ j a ²¹ + z ɿ ²⁴,v u ²⁴ + k w o ⁵³,n ã ⁵⁵ + s i ²²
103_breasts,ʐ u ²¹⁴ + f ɑ ŋ ³⁵,y ⁴¹ + f a n ¹³,l ai ⁴⁵ + l ai ⁵⁵,n ɛi ŋ ⁵³,y ²³ + f ɔ ŋ ²¹,l ai ²³ + f ɑ ŋ ²²,n ai ²¹³ + ts ɿ ⁰,m a ²¹³ + m a ⁰,l ɔ ³⁵ + ts ɿ ⁰,l a ³⁵ + b u ¹³,n e n ⁵³ + k u ³³,l ai ²¹³,l u ¹¹ + f ɑ̃ ¹³,n ai ²¹⁴ + ts ɿ ⁰,n ɑ ¹³ + n ɑ ¹³,n ai ⁵³,n a ²⁴,v u ⁵³ + f ɑ ŋ ²¹,n j æ ⁵³ + j ã ⁵³
104_three,s a n ⁵⁵,s a n ³³,s a n ⁴⁵,s a ŋ ⁵⁵,s a m ⁵⁵,s ã ⁴²,s a n ⁴⁴,s æ̃ ²¹⁴,s ɔ ⁵⁵,s ã ⁴⁴,s a m ³³,s a n ⁴²,s ɑ̃ ³¹,s ɐ n ⁵²,s e̞ ⁴⁴,s æ̃ ²¹,s a ⁴⁴,s æ̃ ²¹,s ã ⁵⁵
105_woods,s ə n ⁵⁵ + l i n ³⁵,s ə n ³³ + l i n ¹³,s ə n ⁴⁵ + ɲ i n ²¹,tsʰ j eu ²¹² + l i ŋ ⁵³,s ɐ m ⁵³ + l ɐ m ²¹,ɕ y ²¹ + l i ŋ ²²,s ə n ⁴⁴ + l i n ²⁴,ʂ u ²¹³ + l j ẽ ⁵³ + ts ɿ ⁰,s ɑ̃ ⁴⁴ + n j ɑ̃ ⁴⁴,s ẽ ⁴⁴ + l i n ¹³,s e m ³³ + l i m ¹¹,s ɛ n ⁴² + l i n ⁴⁵,s u ⁴⁴ + l i n ¹³,l i n ³⁵ + s ɿ ⁰,z ʯ ²³¹ + l i n ¹³,s ə ŋ ²¹ + l i ŋ ²¹,s a ŋ ⁴⁴ + l e ŋ ³⁴¹,s ẽ ²¹ + l j ẽ ²⁴,tsʰ j u ²² + l i m ²⁴
106_kill,ʂ a̠ ⁵⁵,s a ²⁴,s a ²¹,tʰ ai ⁵³,s a t ³,s a̠ ⁵⁵,ʂ a ⁴⁴,ʂ a ²¹⁴,s a ʔ ³²,s a ¹³,s a t ¹,s a t ⁵,s ɑ ʔ ⁵,ʂ a ²¹⁴,s a ʔ ⁴,s a ʔ ²,s a ⁴¹,s ɑ ²¹,tʰ ai ²⁴
107_sand,ʂ a̠ ⁵⁵,s a ³³ + ts ɿ ⁰,s a ⁴⁵,s ai ⁵⁵,s a ⁵³,s ɑ ⁴² + ts e ²³,ʂ a ⁴⁴ + ts ɿ ⁰,ʂ a ²¹⁴ + ts ɿ ⁰,s o ⁵⁵ + ts ɿ ⁰,s ɔ ⁴⁴ + ts ɿ ⁰,s a ³³ + v e ⁰,s a ⁴² + ts ɿ ⁰,s ɑ ³¹ + ts ɿ ⁰,ʂ a ⁵²,s o ⁴⁴,s a ²¹,s o ⁴⁴,s ɑ ²¹ + ts ɿ ⁰,s w a ⁵⁵
108_mountain,ʂ a n ⁵⁵,s a n ³³,s a n ⁴⁵,s a ŋ ⁵⁵,s a n ⁵³,s ã ⁴²,ʂ a n ⁴⁴,ʂ æ̃ ²¹³,s ɔ ⁴⁴,s ã ⁴⁴,s a n ³³,s a n ⁴²,s ɑ̃ ³¹,ʂ ɐ n ⁵²,s e̞ ⁴⁴,s æ̃ ²¹,s a ⁴⁴,s æ̃ ²¹,s w ã ⁵⁵
109_burn,ʂ ɑu ⁵⁵,s au ³³,s au ⁴⁵,s j eu ⁵⁵,s j u ⁵³,s ɑu ⁴²,ʂ au ⁴⁴,ʂ ɔ ²¹⁴,ɕ j o ⁵⁵,ɕ j ɤ ⁴⁴,s au ³³,s ɛu ⁴²,s ɔ ³¹,ʂ au ⁵²,s æ ⁴⁴,s au ²¹,ɕ j ɛ ⁴⁴,ʂ ɑu ²¹,s j o ⁵⁵
10_long,ʈʂʰ ɑ ŋ ³⁵,ts a n ¹³,tsʰ a ŋ ²¹,t w o ŋ ⁵³,tsʰ œ ŋ ²¹,ts ɑ ŋ ²²,ʈʂʰ a ŋ ²⁴,tsʰ ɑ ŋ ⁵³,tɕʰ j õ ⁴⁴,dʑ ɔ ŋ ¹³,tsʰ o ŋ ¹¹,tsʰ ɔ ŋ ²⁴,tsʰ ɑ̃ ¹³,ʈʂʰ a ŋ ³⁵,z ã ¹³,tsʰ ɒ̃ ²¹,dʑ i ³⁴¹,ʈʂʰ ɑ ŋ ²⁴,t ŋ̍ ²⁴
110_few,ʂ ɑu ⁵¹,s au ⁴¹,s au ⁵³,ts j eu ³²,s j u ³⁵,s ɑu ²³,ʂ au ²¹³,ʂ ɔ ⁴⁵,ɕ j e ²¹³,ɕ j ɤ ⁴²,s au ³¹,s ɛu ²¹³,s ɔ ¹¹,ʂ au ³³⁴,s æ ⁵²,s au ⁵³,ɕ j ɛ ²⁴²,ʂ ɑu ⁵³,ts j o ⁵³
111_tongue,ʂ ɤ ³⁵,s ə ²⁴ + t əu ⁰,s e ²¹ + tʰ ə ²¹,tsʰ w oi ²¹² + s j o ʔ ⁵,s i t ²,ɕ j e ²² + t ai ²²,ʂ ɤ ²⁴ + tʰ ou ⁰,ʂ ɤ ⁵³ + tʰ ou ⁰,kʰ i ²¹³ + tɕʰ ɥ a ʔ ³²,ɕ j e ³⁵ + ts ɿ ⁰,s a t ⁵ + m a ¹¹,s ə t ²¹ + tʰ ɛu ⁰,s e ʔ ⁵ + tʰ əɯ ¹³,ʃ ɛ ³⁵ + tʰ ə ⁰,z ə ʔ ²³ + d ʏ ¹³,ʂ ə ʔ ⁵⁴,kʰ au ²⁴² + j i ²¹,ʂ ɤ ²⁴ + tʰ ou ⁰,ts i ʔ ⁵ + j a ⁵³
