Cognate_ID	Kayah	Kayan	Kayaw	NorthernPao	NorthernPwo	NorthernSgaw	ProtoKaren	SouthernPao	SouthernPwo	SouthernSgaw	WesternBwe
1.0_1_allallgonewhole	l ɔ ³³	l ɔ ʔ ³³	l ə ³³	l o ʔ ⁴⁵	l au ʔ ²¹	l u ʔ ²¹	l o ʔ̚ ⁵¹	l u ʔ ⁴⁵	l ɔu ʔ ⁴⁵	l ɔu ¹¹	
10.0_10_bamboostrip	s e ³³	θ a ⁵³	s a ⁵⁵	s a ɦ ³¹	s j a ³⁵	ɕ ɣ a ³³	s r a ⁵⁵	s a ɦ ³¹	θ a ⁵³	ɕ ɣ a ⁵⁵	θ r ɛ ⁵⁵
100.0_100_eggplant	k ɛ ¹¹	k a ŋ ³³	k ɔ ³³			s ə ¹¹ + k ɔ ³³	s ə ⁰ + g a ŋ ⁵⁵			k ɔ ³³	
101.0_101_eight		cʰ au ʔ ⁴⁵	x ɔ ¹¹	s ə t ²¹	x o ʔ ²¹	x ɔ ʔ ⁴⁵	kʰ r ɔ t ⁵¹	s ɔ t ²¹	x u ʔ ⁴⁵	x o ʔ ²¹	
102.0_102_elephant	cʰ ɛ ³³	cʰ a ŋ ⁵³	r ɔ ¹¹ + cʰ ɔ ⁵⁵	cʰ a ŋ ɦ ³¹	k a ¹¹ + cʰ ɛ̃ ³⁵	k ə ¹¹ + cʰ ɔ̃ ³³	k ə ⁰ + cʰ a ŋ ⁵⁵	cʰ a ŋ ɦ ³¹	k ə ¹¹ + cʰ ɔ̃ ⁵³	k ə ¹¹ + cʰ ɔ ⁵⁵	ʃ a ⁵⁵
103.0_103_embracehug	pʰ ɛ ⁵⁵		pʰ o ³³	pʰ ɔ ʔ ²¹	pʰ o ʔ ⁴⁵	pʰ ɔ ʔ ⁴⁵	pʰ ɔ ʔ̚ ⁵¹		pʰ u ʔ ²¹	pʰ o ʔ ²¹	pʰ ɔ ³³
104.0_104_enter	n o ³³		n u ³³		n aə ʔ ²¹	n ɨ ʔ ²¹	n ə ʔ ⁵¹	n ə ʔ ⁴⁵		n əu ɦ ¹¹	n u ¹¹
105.0_105_exertforcingtoexpel	cʰ ɨ ³³	cʰ w a ŋ ⁵³	cʰ u ⁵⁵	cʰ ə ŋ ɦ ³¹		cʰ u ³³	cʰ u ɴ ⁵⁵	cʰ w ə m ³¹			
106.0_106_extinguishtv	p i ³³	p ɨ ʔ ²¹	p i ³³	p e ʔ ²¹	pʰ ai ʔ ²¹	pʰ i ʔ ⁴⁵	p i ʔ̚ ⁵¹	p i ʔ ²¹	pʰ ai ʔ ⁴⁵	p ai ɦ ¹¹	b ɪ ¹¹
107.0_107_eyeface				m ɛ ʔ ⁴⁵	m e ʔ ²¹	m ɛ ʔ ²¹	m ɛ ʔ̚ ⁵¹	m ɛ ʔ ⁴⁵	m e ʔ ⁴⁵	m ɛ ɦ ¹¹	
108.0_108_falldown	t a ³³	t ɛ ʔ ²¹	t e ³³	tʰ ɛ ʔ ⁴⁵	tʰ e ʔ ²¹	t ɛ ʔ ²¹	d ɛ ʔ̚ ⁵¹	t ɛ ʔ ⁴⁵	tʰ e ʔ ⁴⁵	t ɛ ɦ ¹¹	d e ¹¹
109.0_109_fatadj	b ɨ ¹¹	b w a ŋ ¹¹	b u ¹¹	p l ə ŋ ⁵⁵	b ɑ̃ ³³	b ɔ̃ ³¹	ˀb l u ŋ ¹¹	p w ə ŋ ³³	b õ ⁵⁵	b ɔ ⁴⁵	ɓ ʊ ³³
11.0_11_bambooshoot	b ɛ ¹¹	b a ŋ ¹¹	b ɔ ¹¹	b a ŋ ⁵⁵	b ɛ̃ ³³	b ɔ̃ ³¹	ˀb a ŋ ¹¹	b a ŋ ³³	b ɔ̃ ⁵⁵	b ɔ ⁴⁵	ɓ a ³³
