Cognate_ID	Kokama	Omagua	Tupinamba
1000_macaw		a ɾ a ɾ a	a ɾ a ɾ a
1003_majaspaca		p a k a	p a k a
1005_make	j a w k i		a p ó
1007_makedirty			m o m o ʃ ɨ
1018_man	n j + a p i ts a ɾ a	j + a p ɪ s a ɾ a	a β á
1019_manioc	u w i	j a w i ɾ i	m a nd i ʔ o k a
1020_maniocbeer	k a j ts u m a	k a i s u m a	k a w ĩ
1024_manymuch	tʃ i t a	ʃ i t a	a n a ɴ a t u
1026_marrytrans	t a k a k a	m i ɾ i k u a j a ɾ a	
1035_meat	ts + u	s + u u	o ʔ ó
1037_meetencountercomeacrossfind	ts a w i t i k a	s a w a i t a	j e s u β a
1048_mixtrans	i ɾ w a t a k a	k a m i k i	a p a m o n a n a
1053_monkeysp			mb ɨ ɾ ɨ k i
1056_monkeygeneric	k a j		
1057_month	j a ts ɨ		j a s ɨ
1058_moon	j a ts ɨ	j a s ɨ	j a s ɨ
1059_more	a p ɨ ts e	a p ɨ s a i	β é
105_bebornintr	u w + a ɾ i	u w + a ɾ i	a ɾ a
1060_morning		ɨ p ɨ s a k a t u	k o ʔ e m a
1063_mosquito		j a t i ú	ɲ a t i ʔ ũ
1064_mosquitosp			ɲ e t i ŋ a
1066_mother	m a m a	m a m a	s ɨ
1067_motherinlaw	j + a j tʃ i	j + a i ʃ ɪ	
1070_mourn	ts a p i ɾ u	s a p i ɾ u	s a p i ɾ õ
1071_mouserat	ts a n u j a	k i j a ɾ a	gʷ a β i ɾ u
1072_moustache			a m o t a β a
1073_mouth	j u ɾ u	j u ɾ u	j u ɾ u
1076_mud		ʃ i ɾ i	u ʔ ú m a
1081_naked	tʃ i ɾ u t ɨ	ʃ i ɾ u t i	i k a t u p e
1082_namen	tʃ + i ɾ a	ʃ + i ɾ a	e n õ j nd a β a
1085_napebackofneck		a t u a + kʷ a ɾ a	a j u ɾ u p ɨ
1090_nearnearby	a m u ts e w e	a m u s ɪ w a	i p ɨ p e
1092_neck	j + a tʃ u k a	j + a ʃ u k a	a j u ɾ a
1093_necklace		k a s u ɾ u	mb o ʔ ɨ ɾ a
1098_nephew		m ɪ m ɨ ɾ ɨ a	
1105_new		ɨ p ɨ s a s u	p ɨ s a s u
1107_niece		m ɪ m ɨ ɾ a k u n i a	
1112_nightevening	ɨ + p ɨ ts a	ɨ + p ɨ s a	p u t u n a
1113_no		ɾ u á	a ʔ a n a ɴ á i
1119_none	ts a p u	j u s u k a	k a n i nd é
1120_nose	t i	t i i	t ĩ
1121_nothing			a ʔ a n a ɴ á i
1122_now	a j p u k a	ɪ k u m ɪ	a ŋ a
1124_obeytrans	ts a p j a ɾ i	s a p i a ɾ i	s a p j a ɾ a
1132_old	t u a	w i h u	u m u a n a
1133_oldman	w i ʃ u		t ú j β a ʔ e
1134_oldwoman	n a j		gʷ a j β ĩ
1141_one	w e p e	w i p i	a m ó
1145_open	e + p e k a	ɪ + p ɪ k a	j a β a
1147_opentrans	e p e k a t a	ɪ p ɪ k a k a	a β a
1149_ordercommand	w a n a k a ɾ i	w a n a k a ɾ i	pʷ a j a
114_bedirty	k u ɾ e ɾ e		
1153_other	a m w a	a m u a	a é
1157_ownerbossmaster	j a ɾ a	j a ɾ a	j a ɾ a
1160_paddleintr		j a + p u k u i	p u k u j a
1161_paddlen	j a + p u k i t a	j a + p u k u i t a	p u k u j t a β a
1164_paintintrtrans	k w a t j a ɾ a		kʷ a t i a ɾ a
1173_parakeetsp	a k a n a		t u ʔ í
1177_parrotsp			p a ɾ a g u á
1179_pass	u + k w a + t a		p i k a
1181_passtrans		u + k u a	kʷ a β a
1183_passionfruit		m a ɾ a k u j a	m u ɾ u k u j á
1188_pathroad	p e	p ɪ ɪ	p é
1189_patioporch	u k a ɾ a	u k a ɾ a	
1190_peanut	m u n i	m u n u i	m a nd u β i
1191_peeltrans	p i ɾ u k a	p i ɾ u k a	a p e o k a
1194_penis	ɾ a k u j	w i ɾ a	a kʷ ã j a
1198_personhuman	a w a	a w a	a β á
1200_pestle	t a k a ɾ i	t a k a ɾ i	u ɴ u ʔ à o β a j a ɾ a
1202_piece			a s ɨ k a
1205_piercetrans		j a t ɨ k a	k u t u k a
1208_pineapple	n a n a	n a n a	n a n á
1209_piranha	i + p i ɾ i	i + p i ɾ a i	p i ɾ ã j a
1215_planttrans	j a + t ɨ m a	j a + t ɨ m a	t ɨ m a
1221_playintrtrans	j u m u ts a ɾ i + k a	j u m i s a ɾ i + k a	ɲ e m o s a ɾ a j a
1230_poison	ts u ɾ i m a	s u ɾ ɪ m a	p o s a ŋg i gʷ a β a
1231_poor		p a ɾ i a s u	p o ɾ e a u s u β a
1232_port		j a m i a ɾ a	p e a s a β a
1233_pot	j u k u tʃ i	u w a j u	
1246_promise			k u a β e ʔ e ŋ a
1252_prowbow			t ĩ
1257_pulltrans	ɨ ɾ ɨ ɾ ɨ t a	a u t a t a	s e k ɨ j a
125_befull	t i m i ts a m a		
1262_pulp			a p u t u ʔ u m a
1263_pushtrans		j u + m i a n a	m o a ɲ a n a
1264_putditr	j a + n u k a	j a + n u k a + t a	m o ʔ í n a
1270_question	p i j a t a		p o ɾ a nd u β a
1273_quietcalm	tʃ i n t a	tʃ i n a n i	k ɨ ɾ i ɾ ĩ
1274_rain		a m a n a	a m a n a
1276_rainvintr	a m a n a	a m a n a + u + w + a ɾ i	k ɨ ɾ a
1280_reachtrans			j e e k o s u β a
1284_red	p ɨ t a n i	p ɨ t a n i	p i ɾ a ŋ a
1289_remembertrans	i k w a k a	j a ɴ kʷ a ɾ a ɾ a	m a e nd u ʔ a ɾ a
1294_respondtrans	ts a w i t i	s a w i t i	é
1295_restintr	j a + p ɨ t u	j a + p ɨ t u + k a	p u t u ʔ ú
1296_return			β é
1297_returnintr	i ɾ i w a	ɪ ɾ ɪ w a	j e β ɨ ɾ a
12_after	ɾ a e p e ts u j	i s a k a p ɨ ɾ ɨ	ɾ o i ɾ é
1300_rib		j a ɾ a k a n + u a ɾ a	a ɾ u k a ŋ a
