Cognate_ID	Achang	Bela	Lashi	Maru	Phon	WrittenBurmese	Zaiwa
1 2_1_sky	m au ³⁴ + kʰ o ŋ ³²		m au ³ + kʰ o ŋ ³¹	m o ʔ ³⁵ + g au ŋ ⁵¹		m u/w iː + k au ŋː/ŋ	m au ³ + kʰ u ŋ ⁵³
100_65_garlic		s au n ²³				s w a n	
102_66_redpepper	l a ³		l a ²				
103_66_redpepper				pʰ j a k ⁵			pʰ j i k ⁵
104 105_67_corn	l a ³ + m i ⁵		l a ² + m ɯ̃ ⁵²				
106_68_paddyrice	g u k ³		k o̰ k ⁵³	g au k ³²	k o ʔ ⁵⁵		g u ʔ ³²
107_69_cookedrice	w ɔ m ³		w ø m ²				
108_69_cookedrice				d z o ³¹			d z a ŋ ³¹
109_70_ricehusk				pʰ ö/œ i ³²		p a	
10_7_rain			w ɔ ⁵¹		w a ʔ ⁵⁵	r w a	
11 12 13_8_rainbow	s ai ³⁵ + j a ŋ ⁵³ + k a n ²			s a ŋ k ⁵³ + j a ⁴¹ + g e n ⁴			
11 12_8_rainbow			s ə ŋ ⁴³ + j ɔ ʔ ³¹		s ə + j ʊ ŋ		
112_71_salt	tsʰ ɔ ⁵	tʰ a ²³	tsʰ o ⁵	tsʰ o ⁴³	sʰ a ³¹	tsʰ aː	tsʰ ɔ ³¹
113 114_72_animal	g au ³⁴ + n j æ̰ ṵ ʔ ⁵²		k au ² + n j au k ⁵³				
115 116_73_tiger	dʒ ɔ ³ + l u ³		d z ə ⁴³ + l o ³				
116 117_73_tiger					l a ³¹ + k ə	k j aː + k j aː	
119_74_bear	w ɔ m ³¹		w u ʔ ³⁴	w e ⁴¹	w e ⁵⁵	w a m	v a m ³¹
120_75_deer	tsʰ a t ⁵³		ts a̰ ḭ ʔ ⁵¹		tsʰ i ⁵⁵	tsʰ a t	tsʰ ə ³
121 122_76_monkey	l ai ³⁴ + n j u k ⁴²		l a ³ + m j o k ³²			h lʷ a + m j au k	l ə ³ + m j u ʔ ³²
