Cognate_ID,Borong,Burum,Dedua,Kate,Komba,Kube,Mape,Mesem,Mindik,Nabak,Ono,Selepet,Timbe,Tobo
100_hepushes,kp e t a n o k e,kp e t a l i a n,t u ŋ g e,t u ŋ k e,m a a t i,i g o k g e,t u ŋ g a,o t ə g ə,m e a kp o,ɔ t ɔ p e,b i r a,h ɔ p u n,h o k o k,kp e a t i
101_hewashes,s o ŋ gb a ŋ,s o ŋ g a ŋ,dz u a k,dz u r e,s ɔ g o n,dz u a k,k e dz u r e,ə l i,s o ŋ g a ŋ,dz u r u dz i,s a u k,p u r i,p u l i,dz u a
102_hedigs,t o g u ŋ k e n,e ts o,u s u,w i s e,k e d a,o r o,u s e,l o,e ts o,k i ŋ g a dz i,k e p i k i t o,a i,k e n d ɔ,a s ɔ
103_hecuts,k o t o,ɔ r ɔ ŋ g ɔ,h e r e g e,h e t ɔ c n e,m ɔ n ɔ g a,h e r i,k e t i k g a,l a n t i,kp i t i,e t i,k i t o t,h ɔ r e,h ɔ r i,k ɔ r i
104_some,t o s i,t o s a t,g o,g ɔ c,n ɔ b u t,t o s e,g ɔ,b u t,t o s a t,n o t,n a t,n o b o t,b i k,t o s a t
105_short,t o r o d a a m o ŋ,t ɔ r ɔ p,w e g e n,b e m b e ŋ,t ɔ r ɔ p,h o t o ŋ,b e m b e ŋ,d a n dz i,t ɔ r ɔ p,k u t u m ə ŋ,b o m g o i,t ɔ l ɔ w ɔ k,t ɔ l ɔ w ɔ k,k a t o ŋ
106_wind,h a a m o k,l u h u t,f i r a ŋ,m ɔ ŋ ɔ ŋ,b e r o m,r u f u k,m ɔ ŋ u ŋ,t ə g ə,l u h u t,t ɔ g ɔ,m o m o,b e r o m,s e r u,l u h u t
107_sky,s i w e k,s u e p,k u r u m e ŋ,s a m b ɔ ŋ,s u b e m,k u g l u m e ŋ,s a m b ɔ ŋ g o,n o m b ə,k u r u m e n,k u r u r u ŋ,kp e l i,h i b i m,h i b i m,k u r e m e n
108_dust,i l a w e l a,n e s a k,w o n d o k,g ɔ c,i s a k,i w a i,y a k,w a n a w a n a,i w a i,kp i t n ə k i,k i n e k i n e,w a h a p,g a h a p,i w a i
109_lake,a ŋ g o ŋ,a ŋ g ɔ,dz o k o ŋ,dz ɔ k ɔ ŋ,d e g ɔ n,dz e k e ŋ,dz ɔ g ɔ ŋ,l ə m,a ŋ g ɔ,l ə m u n ə ŋ,n a m u ŋ,d e g ɔ n,b ɔ t g u m,dz o k ɔ m
10_hesays,dz o,dz i,d e,m u,s,dz e,m i,dz ə,dz i,dz e i,r a,y,m a,dz i
110_itsflower,dz u r a,dz u r a,o r i,ɔ r i,b ɔ l o,dz u r i,ɔ r i,dz o l m a n,dz u r a,k ə t,dz u r a i,s u r i,h u r i,dz u r i
111_itsfruit,o ŋ,l ɔ w ɔ t,f o r a k,f ɔ r i c,b o n,f e r,f ɔ i k,kp ə n,h ɔ l,kp ə n ə ŋ,w e l e,b o n,b u n,h a l
112_stick,t a a k,k a m b i m,gb a r u,gb a r u,k a b a m,gb a r u,gb a r u,o n z e,t a h a p,w a n dz o m,p o k u p,k a p a m,b u h ɔ,b i m
113_worm,g e n a m b e ŋ,m a ŋ g i k,gb o s u,gb a s u,g u k,gb o s u,gb ɔ s u,g ọ/o,g u s u,gb i k,b o s o,w i k,g i p m a ŋ,g u s u
114_snake,m o k o l e ŋ,m o k o l e ŋ,b ɔ i dz o k,h o m a,m u l u m,m o k o r e ŋ,k o b e ŋ,a s į/i,m o k o l e ŋ,n o m b e,k o m a,h a b e,n i a b i,k e m a l a
