Cognate_ID	AbasoloValleMixtec	AlacatlatzalaMixtec	AlcozaucaGuerreroMixtec	CahuatacheMixtec	ChalcatongoHidalgoMixtec	CoicoyanlasFloresMixtec	CosoltepecMixtec	CuatzoquitengoMixtec	CuyamecalcoVillaZaragozaMixtec	ElJicaralMixtec	GuadalupeVillahermosaMixtec	IxpantepecNievesMixtec	LaBateaMixtec	MagdalenaPenascoMixtec	PiedraAzulMixtec	PinotepaDonLuisMixtec	SanAgustinAtenangoMixtec	SanAgustinChayucoMixtec	SanAgustinTlacotepecMixtec	SanAndresChicahuaxtla1890Triqui	SanAndresChicahuaxtlaTriqui	SanAndresNuxinoMixtec	SanAndresYutatioMixtec	SanAntonioHuitepecMixtec	SanAntonioTepetlapaMixtec	SanBartoloSoyaltepecMixtec	SanBartolomeYucuaneMixtec	SanEstebanAtatlahucaMixtec	SanFranciscoSayultepecMixtec	SanJeronimoProgresoMixtec	SanJeronimoXayacatlanMixtec	SanJorgeNuchitaMixtec	SanJuanCoatzospamMixtec	SanJuanColoradoMixtec	SanJuanCopalaTriqui	SanJuanDiuxiMixtec	SanJuanMixtepecMixtec	SanJuanNumiMixtec	SanJuanTamazolaMixtec	SanJuanTeitaMixtec	SanJuanTepeuxila1900Cuicatec	SanLorenzoMixtec	SanLuisMoreliaMixtec	SanMarcoslaFlorMixtec	SanMartinDuraznosMixtec	SanMartinEstadoMixtec	SanMartinItunyosoTriqui	SanMartinPerasMixtec	SanMateoSindihuiMixtec	SanMiguelAchiutlaMixtec	SanMiguelAhuehuetitlanMixtec	SanMiguelChicahuaMixtec	SanMiguelElGrandeMixtec	SanMiguelPiedrasMixtec	SanPedroAtoyacMixtec	SanPedroJicayanMixtec	SanPedroJocotipacMixtec	SanPedroMolinosMixtec	SanPedroTidaaMixtec	SanPedroTututepecMixtec	SanPedroYosonamaMixtec	SanPedroySanPabloTeposcolula1600Mixtec	SanSebastianMonteMixtec	SanSebastianTecomaxtlahuacaMixtec	SantaAnaCuauhtemocMixtec	SantaCatarinaEstetlaMixtec	SantaCatarinaMechoacanMixtec	SantaCatarinaTlaltempanMixtec	SantaCruzBravoMixtec	SantaCruzItundujiaMixtec	SantaLuciaMonteverdeMixtec	SantaMariaAcatepecMixtec	SantaMariaApazcoMixtec	SantaMariaChigmecatitlanMixtec	SantaMariaHuazolotitlanMixtec	SantaMariaJicaltepecMixtec	SantaMariaPapaloCuicatec	SantaMariaPenolesMixtec	SantaMariaYolotepecMixtec	SantaMariaYucuhitiMixtec	SantaMariaYucunicocoMixtec	SantaMariaZacatepecMixtec	SantiagoApoalaMixtec	SantiagoCacaloxtepecMixtec	SantiagoChazumbaMixtec	SantiagoIxtaltepecMixtec	SantiagoIxtayutlaMixtec	SantiagoJamiltepecMixtec	SantiagoJuxtlahuacaMixtec	SantiagoNuyooMixtec	SantiagoPinotepaNacionalMixtec	SantiagoTamazolaMixtec	SantiagoTilantongoMixtec	SantiagoTlazoyaltepecMixtec	SantiagoYosonduaMixtec	SantoDomingoHuendioMixtec	SantoDomingoNuxaaMixtec	SantoDomingoTonahuixtlaMixtec	SantoTomasOcotepecMixtec	SantosReyesTepejilloMixtec	TepangoMixtec	TepejilloMixtec	TlahuapaMixtec	XayacatlanBravoMixtec	XochapaMixtec	YoloxochitlMixtec	YucunaniMixtec	YucunutiBenitoJuarezMixtec	YucuquimiOcampoMixtec	ZapotitlanPalmasMixtec
100_thread	ʒ u ³ ʔ β a ³	j i ¹ ʔ β a ¹	i ¹ ʔ β a ¹	j i ʔ w a	ʒ u ³ ʔ a ¹	j u ¹ ʔ β a ¹	j u ʔ a	i ʔ w a	j u ʔ w e	j u ¹ ʔ β a ¹		ʒ i ʔ a	j u ¹ ʔ a ¹	ʒ u ³ ʔ β a ¹	j i ³ ʔ β a ¹	j u ʔ w a	ʒ a ʔ a	j u ʔ β a	ʒ u ʔ u β a	w e ʔ e ʔ a	ʔ w e h ³²	ʒ u ʔ w a	j i ³ ʔ o ¹	ʒ u ʔ w e	j u ʔ w a	ʒ u ʔ w a	ʒ u ʔ w a	ʒ u ³ ʔ β a ¹	j u ʔ w a	ʒ a ʔ β a	j u ¹ ʔ a ¹	ʒ e ʔ β a	ʃ u ⁵ ʔ β e ⁵	j u ¹ ʔ β a ¹	j u ʔ w e h ³²	ʒ u ⁵ ʔ a ⁵	j u ʔ w a	ʒ u ʔ a	ʒ u ʔ w e	ʃ u ʔ w a		j u ʔ w a	ʒ i ʔ β a	j i ³ ʔ β a ¹	ʒ o ¹ ʔ β a ¹	j e ʔ β a	j u ³ ʔ β e h ³	ʒ i ʔ β a	ʒ u ʔ w e	ʒ u ʔ β a	ʒ i ʔ β a	ʒ u ʔ w a	ʒ u ³ ʔ a ¹	ʒ u ʔ w e	j u ʔ w a	j u ʔ w a	j u ʔ w a		ʒ u ʔ a	j u ʔ w a	ʒ u a ʔ a	j u ʔ w a	j i ¹ β a ¹	j o ʔ β a	j u ʔ w e	ʒ u ʔ a	j u ʔ w a	j u ʔ β a	j i ʔ w a	j u ʔ β e	j u ʔ β a	j u ʔ w a	ʒ u ʔ w a	j u ʔ w a	j u ʔ w a	j u ³ ʔ β a ³		ʒ u ⁵ ʔ a ⁵	ʒ u ʔ u β a	j u ³ ʔ β e ³	ʒ u ¹ ʔ β a ¹	j u ³ ʔ β a ³¹	ʒ u ʔ w a	ʒ u ¹ ʔ a ¹	j u ʔ a	ʒ u ʔ w a	j u ʔ w a	j u ¹ ʔ j a ¹	ʒ u ʔ β a	ʒ u ³ ʔ β e ¹	j u ʔ a		ʒ u ʔ w a	ʒ u ʔ a	ʒ u ʔ w a	ʒ u ⁵ ʔ β a ¹	ʒ u ʔ w a	j u ʔ a	ʒ u ³ ʔ a ¹	ʒ u ʔ β a	j u ʔ β a	j u ʔ a	j u ¹ ʔ β a ¹	j u ¹ ʔ a ¹		j u ¹ ʔ β a ¹	j u ¹ ʔ β a ¹	ʒ a ʔ a	j o ¹ ʔ o ¹	j u ʔ a
101_three	u ¹ n i ³	u ¹ n i ¹	ũ n ĩ	õ n ĩ	u ³ n i ¹	ũ ¹ n ĩ ¹	ũ n ĩ	ũ n ĩ	ũ n ĩ	u ¹ n i ¹	ũ n ĩ	ũ n ĩ	u ¹ n i ¹	u ³ n i ¹	o ¹ n i ¹	ũ n ĩ	õ ¹ n ĩ ¹	u ɲ i	ũ n ĩ	w a n ẽ ʔ a	w a ʔ ¹ n ĩ ³	ũ n ĩ	o ³ n i ¹	ũ n ĩ	ũ n ĩ	õ n ĩ	ũ n ĩ	u ³ n i ¹	ũ ɲ ĩ	u ¹ n i ¹	ũ n ĩ	ũ n ĩ	u ⁵ n i ¹	u ³ ɲ i ³	w a ʔ n u h ¹	u ⁵ n i ⁵	ũ n ĩ	ũ n ĩ	ũ n ĩ	ũ n ĩ	i n u	ũ ɲ ĩ	ũ n ĩ	o ¹ n i ¹	u ¹ n i ¹	õ ɲ ĩ	β a ¹ ʔ n ĩ h ¹	ũ ¹ n ĩ ¹	ũ n ĩ	ũ n ĩ	ũ n ĩ	ũ n ĩ	ũ ³ n ĩ ¹	ũ n ĩ	ũ n ĩ	ũ n ĩ	ũ n ĩ	ũ n ĩ	ũ n ĩ	ũ ɲ ĩ	u n i	u n i	o ¹ n i ¹	ũ ¹ n ĩ ¹	ũ n ĩ	ũ n ĩ	ũ ɲ ĩ	ũ n ĩ	ũ n ĩ	ũ n ĩ	ũ n ĩ	ũ ɲ ĩ	ũ n ĩ	ũ n ĩ	ũ ɲ ĩ	ũ n ĩ	i ¹ n u ¹	ũ ⁵ n ĩ ⁵	ũ n ĩ	ũ ¹ n ĩ ¹	ũ ¹ n ĩ ¹	u n i	ũ n ĩ	õ n ĩ	ũ n ĩ	ũ n ĩ	ũ ɲ ĩ	u ɲ i ¹	ũ n ĩ	ũ ¹ n ĩ ¹	ũ n ĩ	ũ n ĩ	ũ n ĩ	ũ n ĩ	u ³ n i ¹	u ³ n i ¹	ũ n ĩ	ũ n ĩ	u ¹ n i ¹	õ ɲ ĩ	u ³ n i ¹	ũ n ĩ	u ¹ n i ¹	ũ ¹ n ĩ ¹	u ¹ n i ¹	u ¹ n i ¹	u ¹ n i ¹	ũ ¹ n ĩ ¹	ũ n ĩ	õ n ĩ
102_tomato		t i ³ + n a ³ n a ³	t i + n ã n ã	t i + n ã n ã + kʷ a ʔ a	t ɨ ¹ + n a ³ n a ³	t i ¹ + n ã n ã	s i + n ã n ã	t i + n ã n ã	t + ɾ ã n ã	t i ¹ + n ã ³ a ⁵	ts i + n ã n ã + n ã ʔ n ũ	tʃ i + n ã n ã + ⁿtʃ a ʔ ʒ a	t i ³ + n a ¹⁵ n a ³	t i ¹ + n ã ³ a ¹	ts i ¹ + n ã ³ a ¹⁵	t ɨ + n ã n ã	t i + n ã n ã + n ã ʔ n ã	t ɨ + n ã n ã	ts i + n ã n ã	n a ts i	r i ³ n ĩ h ³²	tʃ i + n ã n ã	t i ¹ + n ã ³ a ³	t i + n ã n ã	t i + n ã n ã	t i + n ã n ã	t i + n ã n ã	t ɨ ³ + n ã ³ a ³	t i + n ã n ã	t i ¹ + n a ³ n a ³		t i ¹ + n ã n ã + n ã ʔ n ũ	t + ɾ ã n ã	t ɨ ³ + n a ³ n a ³		t + n a ⁵ n a ¹	t i + n ã n ã	t i + n ã n ã	t ɨ + n ã n ã + kʷ e ʔ e	t i + n ã n ã	ⁿd a t u kʷ a	t ɨ + n ã n ã	t i + n ã n ã + kʷ a ʔ a	ts i ¹ + n ã ³ a ¹⁵	tɕ i ¹ + n a ³ n a ³	t i + n ã n ã	n a ³ s ĩ ³	ts i + n ã n ã	t ɨ + ð ã n ã	t i + n ã n ã	t i ¹ + n ã n ã + kʷ a ʔ a ⁵	t i + n ã n ã	t ɨ ³ + n ã ³ n ã ³ + kʷ a ⁵ ʔ a ⁵	t ɨ + ð ã n ã	t i + n ã n ã	t i + n ã n ã	t i + n ã n ã	t i + n ã n ã	t i + n ã n ã	t ɨ + n ã n ã			t i ¹ + n a ³ n a ¹	tʃ i + n ã n ã	t + ɾ ã n ã	t ɨ + n ã n ã	t ɨ + n ã n ã		t i + n ã n ã	t ɨ + n ã n ã	t ɨ + n ã n ã	t ɨ + n ã n ã	t i + n ã n ã	ts i + n ã n ã	t ɨ + n ã n ã	t i + n ã n ã	ⁿd ʔ a ⁴ t u ¹	t ɨ ⁵ + n ã ¹ n ã ¹	t ɨ + n ã n ã	t i ¹ + n ã ³ n ã ³	t i ¹ + n ã ³ n ã ⁵ + ⁿd a ⁵ ʔ j a ⁵	t i + n ã n ã ʔ	t i + n ã n ã	t i + n ã n ã + n ã ʔ n ũ	ts i + n ã n ã	t i + n ã n ã	t ɨ + n ã n ã	t ɨ ³ + n a ¹ n a ¹	tʲ i + n ã n ã	t i ¹ + n ã ³ n ã ³	t i + n ã n ã	t i + n ã n ã + n ã ʔ n ũ	t + n ã n ã	t ɨ + n ã n ã	t ɨ ⁵ + n a ³ n a ³	t i ³ + n a ⁵ n a ³	tʃ i + n ã n ã	s i + n ã n ã	t i ¹ + n a ³ n a ¹	tʃ i + n ã n ã + ⁿtʃ i ʔ e	t i ¹ + n a ¹ n a ¹ ʔ	s i + n ã n ã	t + n a ¹ n a ⁵	s i ¹ + n ã ¹ n ã ¹	t i ³ + n a ³ n a ⁵	t i ¹ + n a ³ n a ⁵	t i ¹ + n a ³ n a ¹⁵	t i + n ã n ã + kʷ a ʔ a		ts i + n ã n ã
103_tortilla	s t a ³ a ³	s i ¹ t a ¹	i ʃ t a	s i ³ t a ³	s t a ³ a ¹	ʃ i t a	ð i t a	ʃ i t a	i t a	ʃ i ¹ t a ⁵	ʃ i t a	ʃ i ¹ t a ¹	s t a ¹ a ⁵	ʂ i ³ t a ¹	ʃ i ¹ t a ¹⁵	ʃ i t a	ʃ i t a	ʃ i ¹ t a ¹	s t a ³ a ³		ʈʂ a ³	ð i t a	ð i ³ t a ¹	ð i t a	ʃ i t a	ð i t a	ʂ i t a	s t a ³ a ¹	ʃ i t a	h i ¹ t a ¹	ð i ¹ t a ¹	ʃ i ¹ t a ¹	i ⁵ ʔ t a ¹⁵	x i ¹ t a ¹	ʈʂ a ³	ð i ⁵ t a ⁵	s t a ¹ a ⁵	s t a a	ð i t a	ð i t a		ʃ i t a	h i t a	ʃ i ¹ t a ¹⁵	ʃ i ¹ t a ¹	θ i t a	ʈʂː a ³	ʃ i t a	ð i t a	ʃ i t a	θ i ¹ t a ¹⁵	i t a	s t a ³ a ¹	ð i t a	ʃ i t a	ʃ i t a	i t a	s t a ¹ a ¹	ð i t a	ʃ i t a	ʃ t a a	ð i t a	ʃ i ¹ t a ¹	ʃ i t a	i t a	ð i t a	ʃ i t a	ð i t a	ʃ i t a	i s t a	i s t a	ʃ i t a	i t a	ð i t a	ʃ i t a	ʃ i ⁵ t a ⁵	j u ¹ ⁿd u ¹	ð i ⁵ t a ⁵	s t a a	ʃ i ³ t a ³	i ¹ ʃ t a ⁵	ʃ i t a ʔ	i t a	ð i ¹ t a ¹	ð i t a	ð i t a	ʃ i t a	ʃ i ¹ t a ¹	ʃ i t a	s t a ¹ a ¹	ʃ i t a	θ i ¹ t a ¹	ð i t a	ð i t a	s t a ¹ a ¹	s t a ⁵ a ⁵	ð i t a	ð i t a	s t a ¹ a ¹	ʃ i ¹ t a ¹	ʃ i ³ t a ¹ ʔ	ð i t a	ʃ i ¹ t a ⁵	ð i ¹ t a ¹	ʃ i ¹ t a ⁵	i ¹ s t a ⁵	s t a ¹ a ⁵	h i t a	ð i t a	ð i t a
104_townorvillage	ɲ u ³ u ³	ɲ o ³ o ³	ɲ u ³ u ²	ɲ õ ⁵ õ ³	ɲ ũ ³ ũ ¹	ɲ ũ ũ	ɲ ũ ũ	ɲ õ õ	ɲ ũ ũ	ɲ u ³ u ³	ɲ ũ ũ	ɲ ũ ũ	ɲ u ¹⁵ ũ ³	ɲ u ³ u ¹	ɲ u ³ u ¹	ɲ ũ ũ	ɲ ũ ũ	ɲ u ³ u ¹	ɲ ũ ũ	ʃ u u m a ʔ a	ʃ u ³ m ã ʔ ³	ɲ ũ ũ		ɲ ũ ũ	ɲ ũ ũ	ɲ õ õ	ɲ ũ ũ	ɲ u ³ u ³	ɲ ũ ũ	ɲ u ³ u ³	ɲ u u	ɲ ũ ũ	ɲ ũ ¹ ũ ⁵	ɲ u ⁵ u ³	ʃ u m ã ʔ ³	ɲ u ⁵ u ⁵	ɲ u ³ u ¹	ɲ ũ ũ		ɲ ũ ũ		ɲ ũ ũ	ɲ ũ ũ	ɲ u ³ u ¹	ɲ u ³ u ³	ɲ õ õ	tʃ i ³ j ə̃ h ⁵	ɲ ũ ũ	ɲ ũ ũ	ɲ ũ ũ	ɲ ũ ũ	ɲ ũ ũ	ɲ ũ ³ ũ ¹	ɲ ũ ũ	ɲ ũ ũ	ɲ ũ ũ	ɲ ũ ũ	ɲ u ¹ u ¹	ɲ ũ ũ	ɲ ũ ũ	ɲ u u	ɲ ũ ũ	ɲ ũ ũ	ɲ ũ ⁵ ũ ⁵	ɲ ũ ũ	ɲ ũ ũ	ɲ ũ ũ	ɲ ũ ũ	ɲ õ õ	ɲ ũ ũ	ɲ ũ ũ	ɲ ũ ũ	ɲ ũ ũ	ɲ ũ ũ	ɲ ũ ũ	ɲ ũ ³ ũ ³	j ã ⁴¹	ɲ u ¹ u ⁵	ɲ ũ ũ	ɲ ũ ³ ũ ³	ɲ ũ ũ ¹	ɲ u ³ u ³	ɲ ũ ũ	ɲ õ ³ õ ¹	ɲ ũ ũ	ɲ ũ ũ		ɲ u ¹ u ¹	ɲ ũ ũ	ɲ ũ ³ ũ ³	ɲ ũ ⁵ ũ ⁵	ɲ ũ ũ	ɲ ũ ũ	ɲ ũ ũ	ɲ u ³ u ¹	ɲ u ⁵ u ³	ɲ ũ ũ	ɲ ũ ũ	ɲ u ³ u ¹	ɲ ũ ũ	ɲ u ¹ u ¹	ɲ ũ ũ	ɲ ũ ³ ũ ³	ɲ ũ ³ ũ ³	ɲ u ² u ²	ɲ u ³ u ²	ɲ u ³ u ¹	ɲ ũ ũ	ɲ o ³ o ³	ɲ õ õ
105_tree	ʒ u ³ t u ³	j i ³ t õ ¹	i ³ t ũ ⁵	j i ³ tⁿ o ³	ʒ ũ ⁵ n ũ ⁵	i ³ t ũ ⁵	j u t ũ	i t ũ	ɲ ũ t ũ	i ³ t ũ ⁵	j i t o	ʒ i t o		ʒ u ³ tⁿ u ³	i ³ h t u ¹⁵	j u t ũ	j u t o	j u t u	ʒ u tⁿ̥ ũ	ʈʂ ũ	ʈʂ ũ ³	ʒ u n̥ n ũ	j i ⁵ t o ¹	ʒ u n̥ n ũ	j u t ũ	ʒ u tⁿ ũ	ʒ u tⁿ ũ	ʒ u ³ n̥ u ³	j u t ũ	ʒ i ⁵ t o ¹	ʒ u tⁿ ũ	ʒ i t o	u t ũ	j u ³ t ũ ³	ʈʂ ũ ³	ʒ u ⁵ tⁿ u ⁵	j u t ũ	ʒ u tⁿ ũ	ʒ u n̥ n ũ	ʂ u n̥ n ũ	j i a ã	j u t ũ	i t u	i ³ h t ũ ¹⁵	i ³ t ũ ¹	j i t õ	ʈʂː ũ ³	i ¹ t ũ ¹⁵	ʒ ũ n õ	ʒ u tⁿ̥ ũ	i t o	ʒ u t u	ʒ ũ ³ n ũ ³	ʒ ũ n ũ	j u t ũ	j u t ũ	j u t u	ʒ u ³ t ũ ³	ʒ u tⁿ ũ	j u t ũ	ʒ u tⁿ u	j u tⁿ u	ʒ i t o	i ⁵ t o ¹	ʒ ũ t ũ	ʒ u tⁿ ũ	j u t ũ	j u tⁿ ũ	i tⁿ ũ	j u t ũ	j u tⁿ ũ	j u t ũ	ʒ u t u	j u tⁿ ũ	j u t ũ	j u t ũ	j a ⁴ ʔ ã ⁴	ʒ u ¹ t ũ ¹	ʒ u tⁿ̥ ũ	j u ³ t ũ ³	i ³ t ũ ⁵	j u ³ t ũ ³ ʔ	ʒ u t u	ʒ i ³ t õ ¹	j u t ũ	ʐ u t u	j u t ũ	j u ³ t ũ ¹	ʒ u t u	ʒ u ³ t ũ ³	j u t u	i t o	ʒ u tⁿ ũ	ʒ u tⁿ ũ	j u ³ n̥ u ³	ʒ u ⁵ tⁿ ũ ³	ʒ u tʲ ũ	j u tⁿ ũ	ɲ u ³ t ũ ³	i ³ t õ ¹	i ¹ t ũ ³ ʔ	j u t u	i ³ t u ⁵	j u ³ tⁿ ũ ¹	i ³ t ũ ⁵	i ³ t ũ ⁵	j u ³ t u ¹⁵	ʒ i t o	j i ⁵ t o ¹	j u t o
106_twenty	o ³ k o ¹	o ¹ k o ¹			o ³ k o ¹					o ¹ k o ¹				o ³ k o ¹	o ¹ h k o ¹			o k o		k o ʔ a	k o ²		o ³ k o ¹					o ³ k o ¹		o ¹ k o ¹			o ⁵ k o ¹	o ³ k o ³	k o ʔ ²	o ⁵ k o ⁵					ⁿd i + k u			o ¹ k o ¹	o ¹ k o ¹		k o ²														o k o	o k o	o ¹ k o ¹														ⁿd i ³ + k u ⁴					o k o						o ¹ k o ¹							o ³ k o ¹				o ¹ k o ¹		o ³ k o ¹		o ³ k o ³		o ¹ k o ¹	o ¹ k o ¹	o ¹ k o ¹			
107_two	u ³ β i ³	o ¹ β i ¹	u ¹ β i ¹	o ³ w i ³	u ³ u ¹	u ³ β i ¹	u w i	o w i	u w i	u ¹ β i ¹	i ¹ β i ¹	e β e	u ¹ β i ¹	u ³ u ¹	i ¹ β i ¹	u β i	i ¹ β i ¹	u w i	u u	n w i	wː i ¹³	u u	u ³ u ¹	u u	u w i	u u	u u	u ³ u ¹	u w i	i ¹ β i ¹	u ¹ i ¹	i ¹ β i ¹	u ⁵ β i ¹	u ³ β i ³	w i h ¹	u ⁵ u ⁵	u β i	u u	u u	u u	u β i	u w i	i β i	i ¹ β i ¹	i ¹ β i ¹	i β i	βː i h ¹	i β i	u w i	u u	i ¹ β i ¹	u w i	u ³ u ¹	u u	u w i	u β i	u w i	u ¹ u ¹	u u	u w i	u u	u β i	i ¹ β i ¹	i ¹ β i ¹	u w i	u u	u w i	u β i	o w i	ɨ w ɨ	u u	u w i	u w i	u w i	u w i	u ⁵ β i ⁵	u ¹ β i ¹	u ⁵ u ⁵	u u	u ¹ β i ¹	u ¹ β i ¹	u ³ β i ³¹	u β i	ʉ ʉ	u w i	u u	u β i	u ¹ β i ¹	u β i	u ¹ w i ¹	u i	i β i	u u	u u	u ³ u ¹	u ⁵ u ⁵	u u	u i	u ¹ u ¹	u β i	u ³ β i ¹	u w i	u ¹ β i ¹	u ¹ i ¹	u ¹ β i ¹	u ¹ β i ¹	u ¹ β i ¹	i β i	ʉ ¹ ʉ ¹	u u
108_ugly	k i ⁵ n i ³	k i ³ n i ³	k i n ĩ	k i n ĩ	ɲ a ⁵ k a ³	k i ⁵ n ĩ ⁵	k i n ĩ	k i n ĩ	k i n ĩ	k i ³ n i ³	k i n ĩ	k i n ĩ	k i ³ n i ³	k i ³ n i ³	k i ³ n i ³	k i n ĩ	k i n ĩ	k i n i	k i n i	gʷ a k i ʔ i		ɲ ĩ ʔ n ã	k i ³ n i ³	n ẽ ʔ ẽ	k i n ĩ	kʷ i ʔ j a	k i n ĩ	k i n ĩ	k i ɲ ĩ	k i ³ n i ³		k i n ĩ	k i n ĩ	ⁿd a ³ s ɨ ⁵	n i h ³²	kʷ i ¹ ʔ a ⁵	k i n ĩ	ⁿd e ʔ e	ⁿd a ð i	ⁿd e ʔ e		k i ɲ ĩ	k i n ĩ	k i ³ n i ³	k i ³ n i ³	k i n ĩ	kː i h ²	k i n ĩ		k i n ĩ	k i n ĩ		k i ³ n ĩ ³	ⁿd e ʔ e	k i n ĩ	k i n ĩ	k i n ĩ	k i n ĩ	kʷ i ʔ a	k i ɲ ĩ	ⁿd e ʔ e	kʷ i j a	k i ³ n i ³	k i ³ n ĩ ⁵	k i n ĩ	k i n ĩ	k i ɲ ĩ	β i ð a	k i n ĩ	k i n ĩ	k i n ĩ	k i ɲ ĩ	k i n ĩ	n ĩ ʔ j ã	k i ɲ ĩ	k i n ĩ	gʷ a ⁴ ⁿd ʔ ɑ ⁴ k ɑ ¹	n ẽ ¹ ʔ ẽ ¹	k ɨ n ɨ̃	k i n ĩ	k i ³ n ĩ ³	k i n i	kʷ i ʔ j a		k i n ĩ	kʷ i ʔ j a	k i n ĩ	k i ³ ɲ i ³	k i n ĩ	k i n ĩ ³	k i n ĩ	k i n ĩ	k i ʔ a	ⁿd e ʔ e		k i ⁵ n i ¹	ⁿd a ð i	k i n ĩ	k i n ĩ	k i n ĩ	k i n ĩ	k i n ĩ	k i ³ n i ³	k i ³ n ĩ ³	k i ³ n i ³	k i ³ n i ³	k i ³ n i ³	k i n ĩ		k i n ĩ
109_water	tʃ i ³ + kʷ i ³	t a ³ + kʷ i ¹ i ³	ⁿd u t a	ⁿd u t a	ⁿd u ³ tʃ a ³	t i + kʷ i i	t i + kʷ i i	t i + kʷ i i	ⁿd u t e	t i ¹ + kʷ i ¹⁵ i ³	ʈʂ i ¹ + kʷ i ¹ i ⁵	t i ⁵ + kʷ i ¹ i ⁵	tʃ u ³ + kʷ i ⁵ i ³	ⁿd u ³ t e ³	ts i ¹ + kʷ i ¹⁵ i ³	ⁿd u t a	t i + kʷ i i	ⁿd u tʲ a	ⁿd u t e		n e ³²	ⁿdʲ u t e	t a ¹ + kʷ i ¹ i ⁵	ⁿd u t e	ⁿd u t a	ⁿd u ts a	ⁿd u t e	ⁿd u ³ t e ³	t a + kʷ i i	t i ¹ + kʷ i ¹ i ⁵	t e + kʷ i i	t i ¹ + kʷ i ¹ i ⁵	ⁿd u ¹ ʔ t e ¹	ⁿd u ³ tʲ a ³	n a ʔ ³²	ⁿd u ⁵ t e ⁵	tʲ i + kʷ i i	ⁿd u t e	ⁿd u t e	ⁿd u t e	n u n i	ⁿd u tʲ a	t i + kʷ i i	ts i ¹ + kʷ i ¹⁵ i ³	tɕ i ¹ + kʷ i ¹ i ⁵	t i + kʷ i i	nː e ³²	tʃ i + kʷ i i	ⁿd u t e	ⁿd u t e	t i ¹ + kʷ i ¹ i ⁵	ⁿr u ts a	ⁿd u ³ tʃ a ³	ⁿd u t e	ⁿd u t a	ⁿd u t a	ⁿd u ts a	ⁿd u ³ t e ³	ⁿd u t e	ⁿd u tʲ a	ⁿd u t e	ⁿd u t a	t i ³ + kʷ i ³ i ⁵	tʃ i + kʷ i i	ⁿd u t e	ⁿd u t e	ⁿd u tʲ a	t i + kʷ i i	t a + kʷ i i	ⁿd u t e	ⁿd u t e	ⁿd u tʃ a	ⁿd u ts a	t i + kʷ i i	ⁿd u tʲ a	ⁿd u ¹ t a ¹	n u ¹ n i ¹	ⁿd u ¹ t e ¹	ⁿd u tʲ a	n ũ ³ t e ³	t a ¹ + kʷ i ⁵ i ¹	ⁿd u t a	ⁿd u ts a	t e + kʷ i i	t e + kʷ i i	ⁿd u ts a	ⁿd u tʲ a	ⁿd u ³ tʲ a ³	tʲ i + kʷ i i	n ũ ³ t e ³	ⁿd u t a	t i + kʷ i i	ⁿd u t e	ⁿd u t e	ⁿd u ³ tʃ a ³	ⁿd u ³ t e ¹	ⁿdʲ u t e	t e + kʷ i i	ⁿd u ³ t e ³	tʃ i + kʷ i i	t i ¹ + kʷ i ³	t e + kʷ i i	t i ¹ + kʷ i ⁵ i ³	t e ¹ + kʷ i ¹ i ⁵	t i ² + kʷ i ⁵ i ³	t a ¹ + kʷ i ⁵ ²	tʃ i ¹ + kʷ i ⁵ i ³	t a ¹ + kʷ i ¹ i ⁵	t e + kʷ i i	t e + kʷ i i
