ID,Form_ID,Form,Cognateset_ID,Doubt,Cognate_Detection_Method,Source,Alignment,Alignment_Method,Alignment_Source
Khasi-1_all-1-1,Khasi-1_all-1,roʔ,1_all_a,False,expert,,,,
Lyngngam-1_all-1-1,Lyngngam-1_all-1,prok,1_all_a,False,expert,,,,
PnarJaintia-1_all-1-1,PnarJaintia-1_all-1,warɔʔ,1_all_a,False,expert,,,,
WarLamin-1_all-1-1,WarLamin-1_all-1,bərɒʔ,1_all_a,False,expert,,,,
Palaung-1_all-1-1,Palaung-1_all-1,paj,1_all_b,False,expert,,,,
Khmu-1_all-1-1,Khmu-1_all-1,sam,1_all_c,False,expert,,,,
Khasi-2_and-1-1,Khasi-2_and-1,baːd,2_and_a,False,expert,,,,
PnarJaintia-2_and-1-1,PnarJaintia-2_and-1,wa,2_and_c,False,expert,,,,
WarLamin-2_and-1-1,WarLamin-2_and-1,waː,2_and_c,False,expert,,,,
Khasi-3_animal-1-1,Khasi-3_animal-1,mraːd,3_animal_a,False,expert,,,,
Khasi-4_ashes-1-1,Khasi-4_ashes-1,dpej,4_ashes_a,False,expert,,,,
Lyngngam-4_ashes-1-1,Lyngngam-4_ashes-1,əpaw,4_ashes_a,False,expert,,,,
PnarJaintia-4_ashes-1-1,PnarJaintia-4_ashes-1,tpai,4_ashes_a,False,expert,,,,
WarLamin-4_ashes-1-1,WarLamin-4_ashes-1,tvʊ,4_ashes_c,False,expert,,,,
Palaung-4_ashes-1-1,Palaung-4_ashes-1,kəhvaŋ,4_ashes_d,False,expert,,,,
Khmu-4_ashes-1-1,Khmu-4_ashes-1,bɔh,4_ashes_e,False,expert,,,,
Khasi-5_at-1-1,Khasi-5_at-1,ha,5_at_a,False,expert,,,,
Lyngngam-5_at-1-1,Lyngngam-5_at-1,he,5_at_a,False,expert,,,,
PnarJaintia-5_at-1-1,PnarJaintia-5_at-1,ha,5_at_a,False,expert,,,,
WarLamin-5_at-1-1,WarLamin-5_at-1,ti,5_at_b,False,expert,,,,
Khmu-5_at-1-1,Khmu-5_at-1,daʔ,5_at_b,False,expert,,,,
Khasi-6_backanat-1-1,Khasi-6_backanat-1,dien,6_backanat_a,False,expert,,,,
Lyngngam-6_backanat-1-1,Lyngngam-6_backanat-1,bad don,6_backanat_a,False,expert,,,,
PnarJaintia-6_backanat-1-1,PnarJaintia-6_backanat-1,rn̩kʰi,6_backanat_b,False,expert,,,,
WarLamin-6_backanat-1-1,WarLamin-6_backanat-1,təmpɒŋ,6_backanat_c,False,expert,,,,
Palaung-6_backanat-1-1,Palaung-6_backanat-1,krɔŋ,6_backanat_d,False,expert,,,,
Khmu-6_backanat-1-1,Khmu-6_backanat-1,kndrɔːŋ,6_backanat_d,False,expert,,,,
Khasi-7_bad-1-1,Khasi-7_bad-1,sɲiew,7_bad_a,False,expert,,,,
Lyngngam-7_bad-1-1,Lyngngam-7_bad-1,kɨncʰa,7_bad_b,False,expert,,,,
PnarJaintia-7_bad-1-1,PnarJaintia-7_bad-1,siʔ,7_bad_c,False,expert,,,,
WarLamin-7_bad-1-1,WarLamin-7_bad-1,kɒ͂m,7_bad_d,False,expert,,,,
Palaung-7_bad-1-1,Palaung-7_bad-1,kʰu,7_bad_e,False,expert,,,,
Khmu-7_bad-1-1,Khmu-7_bad-1,ɲoːɲ,7_bad_f,False,expert,,,,
Khasi-8_barkoftree-1-1,Khasi-8_barkoftree-1,snep,8_barkoftree_a,False,expert,,,,
Lyngngam-8_barkoftree-1-1,Lyngngam-8_barkoftree-1,snieʔ,8_barkoftree_a,False,expert,,,,
PnarJaintia-8_barkoftree-1-1,PnarJaintia-8_barkoftree-1,sneiʔ,8_barkoftree_a,False,expert,,,,
WarLamin-8_barkoftree-1-1,WarLamin-8_barkoftree-1,snɪəʔ,8_barkoftree_a,False,expert,,,,
Palaung-8_barkoftree-1-1,Palaung-8_barkoftree-1,gɔʔ,8_barkoftree_b,False,expert,,,,
Khmu-8_barkoftree-1-1,Khmu-8_barkoftree-1,səŋkhraʔ,8_barkoftree_c,False,expert,,,,
Khasi-9_because-1-1,Khasi-9_because-1,namar,9_because_a,False,expert,,,,
