ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile
Khasi-1_all-1,,Khasi,1_all,roʔ,roʔ,r o ʔ,,Nagaraja2013,1_all_a,False,^r o ʔ$,default
Lyngngam-1_all-1,,Lyngngam,1_all,prok,prok,p r o k,,Nagaraja2013,1_all_a,False,^p r o k$,default
PnarJaintia-1_all-1,,PnarJaintia,1_all,warɔʔ,warɔʔ,w a r ɔ ʔ,,Nagaraja2013,1_all_a,False,^w a r ɔ ʔ$,default
WarLamin-1_all-1,,WarLamin,1_all,bərɒʔ,bərɒʔ,b ə r ɒ ʔ,,Nagaraja2013,1_all_a,False,^b ə r ɒ ʔ$,default
Palaung-1_all-1,,Palaung,1_all,paj,paj,p ai̯,,Nagaraja2013,1_all_b,False,^p aj $,default
Khmu-1_all-1,,Khmu,1_all,sam,sam,s a m,,Nagaraja2013,1_all_c,False,^s a m$,default
Khasi-2_and-1,,Khasi,2_and,baːd,baːd,b aː d,,Nagaraja2013,2_and_a,False,^b aː d$,default
Lyngngam-2_and-1,,Lyngngam,2_and,nam,nam,n a m,,Nagaraja2013,,True,^n a m$,default
PnarJaintia-2_and-1,,PnarJaintia,2_and,wa,wa,w a,,Nagaraja2013,2_and_c,False,^w a$,default
WarLamin-2_and-1,,WarLamin,2_and,waː,waː,w aː,,Nagaraja2013,2_and_c,False,^w aː$,default
Khasi-3_animal-1,,Khasi,3_animal,mraːd,mraːd,m r aː d,,Nagaraja2013,3_animal_a,False,^m r aː d$,default
Lyngngam-3_animal-1,,Lyngngam,3_animal,mraːd,mraːd,m r aː d,,Nagaraja2013,,True,^m r aː d$,default
PnarJaintia-3_animal-1,,PnarJaintia,3_animal,mraːd,mraːd,m r aː d,,Nagaraja2013,,True,^m r aː d$,default
WarLamin-3_animal-1,,WarLamin,3_animal,mrat,mrat,m r a t,,Nagaraja2013,,True,^m r a t$,default
Palaung-3_animal-1,,Palaung,3_animal,to,to,t o,,Nagaraja2013,,True,^t o$,default
Khmu-3_animal-1,,Khmu,3_animal,toː,toː,t oː,,Nagaraja2013,,True,^t oː$,default
Khasi-4_ashes-1,,Khasi,4_ashes,dpej,dpej,d p ei̯,,Nagaraja2013,4_ashes_a,False,^d p ej $,default
Lyngngam-4_ashes-1,,Lyngngam,4_ashes,əpaw,əpaw,ə p a w,,Nagaraja2013,4_ashes_a,False,^ə p a w$,default
PnarJaintia-4_ashes-1,,PnarJaintia,4_ashes,tpai,tpai,t p a i,,Nagaraja2013,4_ashes_a,False,^t p a i$,default
WarLamin-4_ashes-1,,WarLamin,4_ashes,tvʊ,tvʊ,t v ʊ,,Nagaraja2013,4_ashes_c,False,^t v ʊ$,default
Palaung-4_ashes-1,,Palaung,4_ashes,kəhvaŋ,kəhvaŋ,k ə h v a ŋ,,Nagaraja2013,4_ashes_d,False,^k ə h v a ŋ$,default
Khmu-4_ashes-1,,Khmu,4_ashes,bɔh,bɔh,b ɔ h,,Nagaraja2013,4_ashes_e,False,^b ɔ h$,default
Khasi-5_at-1,,Khasi,5_at,ha,ha,h a,,Nagaraja2013,5_at_a,False,^h a$,default
Lyngngam-5_at-1,,Lyngngam,5_at,he,he,h e,,Nagaraja2013,5_at_a,False,^h e$,default
PnarJaintia-5_at-1,,PnarJaintia,5_at,ha,ha,h a,,Nagaraja2013,5_at_a,False,^h a$,default
WarLamin-5_at-1,,WarLamin,5_at,ti,ti,t i,,Nagaraja2013,5_at_b,False,^t i$,default
Khmu-5_at-1,,Khmu,5_at,daʔ,daʔ,d a ʔ,,Nagaraja2013,5_at_b,False,^d a ʔ$,default
Khasi-6_backanat-1,,Khasi,6_backanat,dien,dien,d i e n,,Nagaraja2013,6_backanat_a,False,^d i e n$,default
Lyngngam-6_backanat-1,,Lyngngam,6_backanat,bad don,bad don,b a d + d o n,,Nagaraja2013,6_backanat_a,False,^b a d + d o n$,default
PnarJaintia-6_backanat-1,,PnarJaintia,6_backanat,rn̩kʰi,rn̩kʰi,r n̩ kʰ i,,Nagaraja2013,6_backanat_b,False,^r n̩ kʰ i$,default
WarLamin-6_backanat-1,,WarLamin,6_backanat,təmpɒŋ,təmpɒŋ,t ə m p ɒ ŋ,,Nagaraja2013,6_backanat_c,False,^t ə m p ɒ ŋ$,default
Palaung-6_backanat-1,,Palaung,6_backanat,krɔŋ,krɔŋ,k r ɔ ŋ,,Nagaraja2013,6_backanat_d,False,^k r ɔ ŋ$,default
Khmu-6_backanat-1,,Khmu,6_backanat,kndrɔːŋ,kndrɔːŋ,k d r ɔː ŋ,,Nagaraja2013,6_backanat_d,False,^k n d r ɔː ŋ$,default
Khasi-7_bad-1,,Khasi,7_bad,sɲiew,sɲiew,s ɲ i e w,,Nagaraja2013,7_bad_a,False,^s ɲ i e w$,default
Lyngngam-7_bad-1,,Lyngngam,7_bad,kɨncʰa,kɨncʰa,k ɨ cʰ a,,Nagaraja2013,7_bad_b,False,^k ɨ n cʰ a$,default
PnarJaintia-7_bad-1,,PnarJaintia,7_bad,siʔ,siʔ,s i ʔ,,Nagaraja2013,7_bad_c,False,^s i ʔ$,default
WarLamin-7_bad-1,,WarLamin,7_bad,kɒ͂m,kɒ͂m,k ɒ̃ m,,Nagaraja2013,7_bad_d,False,^k ɒ͂ m$,default
Palaung-7_bad-1,,Palaung,7_bad,kʰu (?),kʰu,kʰ u,,Nagaraja2013,7_bad_e,False,^kʰ u$,default
Khmu-7_bad-1,,Khmu,7_bad,ɲoːɲ,ɲoːɲ,ɲ oː ɲ,,Nagaraja2013,7_bad_f,False,^ɲ oː ɲ$,default
Khasi-8_barkoftree-1,,Khasi,8_barkoftree,snep,snep,s e p,,Nagaraja2013,8_barkoftree_a,False,^s n e p$,default
Lyngngam-8_barkoftree-1,,Lyngngam,8_barkoftree,snieʔ,snieʔ,s i e ʔ,,Nagaraja2013,8_barkoftree_a,False,^s n i e ʔ$,default
PnarJaintia-8_barkoftree-1,,PnarJaintia,8_barkoftree,sneiʔ,sneiʔ,s e i ʔ,,Nagaraja2013,8_barkoftree_a,False,^s n e i ʔ$,default
WarLamin-8_barkoftree-1,,WarLamin,8_barkoftree,snɪəʔ,snɪəʔ,s ɪ ə ʔ,,Nagaraja2013,8_barkoftree_a,False,^s n ɪ ə ʔ$,default
Palaung-8_barkoftree-1,,Palaung,8_barkoftree,gɔʔ,gɔʔ,g ɔ ʔ,,Nagaraja2013,8_barkoftree_b,False,^g ɔ ʔ$,default
Khmu-8_barkoftree-1,,Khmu,8_barkoftree,səŋkhraʔ,səŋkhraʔ,s ə ŋ kʰ r a ʔ,,Nagaraja2013,8_barkoftree_c,False,^s ə ŋ kh r a ʔ$,default
Khasi-9_because-1,,Khasi,9_because,namar,namar,n a m a r,,Nagaraja2013,9_because_a,False,^n a m a r$,default
Lyngngam-9_because-1,,Lyngngam,9_because,amte,amte,a m t e,,Nagaraja2013,9_because_b,False,^a m t e$,default
PnarJaintia-9_because-1,,PnarJaintia,9_because,neibʰaʔ,neibʰaʔ,n e i bʰ a ʔ,,Nagaraja2013,9_because_c,False,^n e i bʰ a ʔ$,default
WarLamin-9_because-1,,WarLamin,9_because,kaʔ,kaʔ,k a ʔ,,Nagaraja2013,9_because_d,False,^k a ʔ$,default
Khmu-9_because-1,,Khmu,9_because,jɔʔ,jɔʔ,j ɔ ʔ,,Nagaraja2013,9_because_e,False,^j ɔ ʔ$,default
Khasi-10_belly-1,,Khasi,10_belly,kpoʔ,kpoʔ,k p o ʔ,,Nagaraja2013,10_belly_a,False,^k p o ʔ$,default
Lyngngam-10_belly-1,,Lyngngam,10_belly,ləwbaʔ,ləwbaʔ,l ə w b a ʔ,,Nagaraja2013,10_belly_b,False,^l ə w b a ʔ$,default
PnarJaintia-10_belly-1,,PnarJaintia,10_belly,kpɔʔ,kpɔʔ,k p ɔ ʔ,,Nagaraja2013,10_belly_a,False,^k p ɔ ʔ$,default
WarLamin-10_belly-1,,WarLamin,10_belly,pɒʔ,pɒʔ,p ɒ ʔ,,Nagaraja2013,10_belly_a,False,^p ɒ ʔ$,default
Palaung-10_belly-1,,Palaung,10_belly,vɛʔ,vɛʔ,v ɛ ʔ,,Nagaraja2013,10_belly_c,False,^v ɛ ʔ$,default
Khmu-10_belly-1,,Khmu,10_belly,luːj,luːj,l uː j,,Nagaraja2013,10_belly_d,False,^l uː j$,default
Khasi-11_big-1,,Khasi,11_big,heʔ,heʔ,h e ʔ,,Nagaraja2013,11_big_a,False,^h e ʔ$,default
Lyngngam-11_big-1,,Lyngngam,11_big,kɨmba,kɨmba,k ɨ m b a,,Nagaraja2013,11_big_b,False,^k ɨ m b a$,default
PnarJaintia-11_big-1,,PnarJaintia,11_big,hɛʔ,hɛʔ,h ɛ ʔ,,Nagaraja2013,11_big_a,False,^h ɛ ʔ$,default
WarLamin-11_big-1,,WarLamin,11_big,mɪa,mɪa,m ɪ a,,Nagaraja2013,11_big_b,False,^m ɪ a$,default
Palaung-11_big-1,,Palaung,11_big,daŋ,daŋ,d a ŋ,,Nagaraja2013,11_big_c,False,^d a ŋ$,default
Khmu-11_big-1,,Khmu,11_big,hnam,hnam,h a m,,Nagaraja2013,11_big_d,False,^h n a m$,default
Khasi-12_bird-1,,Khasi,12_bird,sim,sim,s i m,,Nagaraja2013,12_bird_a,False,^s i m$,default
Lyngngam-12_bird-1,,Lyngngam,12_bird,sim,sim,s i m,,Nagaraja2013,12_bird_a,False,^s i m$,default
PnarJaintia-12_bird-1,,PnarJaintia,12_bird,sim,sim,s i m,,Nagaraja2013,12_bird_a,False,^s i m$,default
WarLamin-12_bird-1,,WarLamin,12_bird,ksem,ksem,k s e m,,Nagaraja2013,12_bird_a,False,^ks e m$,default
