Cognate_ID,Khasi,Khmu,Lyngngam,Palaung,PnarJaintia,WarLamin
101_narrow_a_101_narrow,r a ʃ i ŋ,,,,kʰ ɪ m,
102_near_a_102_near,ɟ a n,,ɟ ŋ a n,,dʒ a n,t j a n
103_neck_a_103_neck,r ɨ d a ŋ,,,,r d a ŋ,r d a ŋ
104_new_a_104_new,tʰ ɨ mː ai̯,h mː e ʔ,tʰ ɨ mː ai̯,k ə m ɛ,tʰ m̩ m e,θ m aː
105_night_a_105_night,m i e t,,,,m e i t,l ə m a ʔ
105_night_c_105_night,,p s ɨ ə m,,s ɯ m,,
106_nose_a_106_nose,kʰ m u t,m u h,l e u m u t,m u h,kʰ m u t,
107_not_a_107_not,ɨ m,ʔ a m,ɨ ɟ i,,,
107_not_b_107_not,,,,,m̩,t ɒ ʔ + t ə
108_old_a_108_old,r i m,,r i m,p r i m,r ɪ m,s ə r e m
109_one_a_109_one,u w ei̯,,u w e w,,w i,
109_one_b_109_one,,m oː j,,,,m i
10_belly_a_10_belly,k p o ʔ,,,,k p ɔ ʔ,p ɒ ʔ
110_other_a_110_other,k i + w ei̯,,m a r b e r,,,
111_person_a_111_person,b r i e w,,b r y,,b r u,t j ə p r e ʊ
112_toplay_a_112_toplay,l e ʔ + k ai̯,,,,k n̩ d e i ʔ + k e,
113_topull_a_113_topull,t a n,,,,t a n,
113_topull_d_113_topull,,,,r ɯ i t,,
114_topush_a_114_topush,kʰ ɨ nː i a ʔ,,,,ŋ i a t,
115_torain_a_115_torain,s l a p,,s l a p,,s l a p,s l aː
116_red_a_116_red,s a w,,ə n s a w,,s o,s ɪ a
116_red_b_116_red,,,,kʰ o,,
117_rightcorrect_a_117_rightcorrect,d ei̯,,d e w,,,
117_rightcorrect_b_117_rightcorrect,,,,,t ɔ ʔ,t ɒ ʔ
118_rightside_a_118_rightside,m o n,,t ɨ m + m o n,,t i m u n,d i + p a r + t a + m ɒ n
119_river_a_119_river,w a ʔ,,,,w a ʔ,
119_river_c_119_river,,,,o m,,ʔ a m
11_big_a_11_big,h e ʔ,,,,h ɛ ʔ,
11_big_b_11_big,,,k ɨ m b a,,,m ɪ a
120_road_a_120_road,l ɨ t i,,,,s ə r ɔ k,
121_root_a_121_root,t ɨ r ai̯,r i ə s,t ɨ rː ai̯,r i ə r,,
121_root_b_121_root,,,,,tʰ e i d,ʃ i t
122_rope_a_122_rope,t ɨ lː ai̯,,,,t l̩ l e,
123_rotten_a_123_rotten,p ʔ u t,,,,p ʔ u t,
124_torub_a_124_torub,k ɨ r ʃ u t,,k ɨ r cʰ u t,s u t,k r̩ tʃ u t,k ə tʃ ʊ t
124_torub_b_124_torub,,h u k,,,,
125_salt_a_125_salt,m l u ʔ,,m a l u k,,b l o ʔ,p ʊ ʔ
126_sand_a_126_sand,ʃ ʔ i a p,,cʰ ʔ j a p,,tʃ ʔ ɛ ʌ p,
127_tosay_a_127_tosay,o ŋ,,ɨ nː o ŋ,,ʔ ɔ ŋ,ʔ ɒ ŋ
128_toscratch_a_128_toscratch,t r uː d,,t ɨ rː u t,,,
128_toscratch_b_128_toscratch,,,,,tʃ b ɔ t,kʰ ə b ɒ ʔ
129_sea_a_129_sea,d u r i a w,,,,d u r i a w,d ʊ r ɪ ə ʊ
12_bird_a_12_bird,s i m,s iː m,s i m,s i m,s i m,k s e m
130_see_a_130_see,j o ʔ i,,m u ɟ o ʔ,j ɯ,,
131_seed_a_131_seed,s ɨ m b ai̯,,,,s m̩ b e,t j ʊ s b a
132_tosew_a_132_tosew,s u ʔ,,s ɨ nː e k,,s o r,s ʊ
133_sharp_a_133_sharp,n e p,,,,n ɛ p,n e p
134_short_b_134_short,,,t ɨ m b a n,,t b i e n,
