Cognate_ID	Even	Evenki_Chiringda	Evenki_Khamnigan	Evenki_StonyTunguska	Evenki_Strelka_Chun	Evenki_Teteya	Evenki_Tutonchany	Hezhe	Jurchen	Kur_Urmi	Manchu	Nanai_Bikin	Nanai_Najkhin	Negidal	Oroch	Orok	Oroqen	Solon	Udihe	Ulcha	Xibe
1001_229_seedn	ɲ aˤ/a ʕ ŋ t aˤ/a ʕ		ɲ iː n t ə																		
1002_229_seedn																	u r ə	u r ə			
1003_230_sharp	e m e r	ə m ə r		ə m ɨ r	ə m ə r		ə m ə r							ə m ə j i g d i		x ə m b əː r u	ə m ə r		ə m əi		
1004_230_sharp								t u b ə													d u v
1005_230_sharp										s a r b j ɪ		s a r + b j iː	s a r b i		s a bː i			s ə bː i ŋ			
1006_230_sharp																			ts ə m		
1007_230_sharp											d a tʃ u n									d aː q a w l e	
1008_231_short								f ɔ χ ɔ l ɔ n	f o x o l o		f o χ o l o n										f œ ɣ u l u n
1009_231_short	u r u m k u n	u r u m k uː n	u r u m k u n	ʉ r ʉ m	u r uː m k u n	u r u m k u n				x u r m j i		x u r m j i	x w u r m j i	u j u m k uː n	uː m j i	x u r u m i	u r u m k u n	u r u ŋ k u x ə ŋ	u m a ts a̰	x u r m j i	
100_36_hitbeatv												t o q a n									
1010_232_singv								tɕ a r i		dʒ a r j ɪ		dz a r j e	dʒ a r j e		dʒ a r j i						
1011_232_singv	i k e			ɨ k əː	i k ɒː		i k ɒː							iː x ɵː					j ə x əi		
1012_232_singv																	dʒ aː n d aː	dʒ aː n d a	ts a ŋ a l a		
1013_232_singv																j aː j ɑ				j a j a	
1014_232_singv									u tʃ u l o		u tʃ u l ə										u ʈʂ h u l u
1015_232_singv			d a b l aː	d a w l aː	d a w l aː																
1016_233_skyn								a p q a	a g u/w a	a p q a	a b q a										ɑ v q ɑ
1017_233_skyn	ɲ aːˁ ɲ iˤ/i ʕ n	ɲ a ŋ ɲ a	n a ŋ n a	ɲ a ŋ ɲ a			ɲ a ŋ ɲ a							ɲ a ŋ ɲ a	ɲ a ŋ ɲ a	n a ŋ + n a		n a nː a	ɲ a ŋ ɲ a		
1018_233_skyn				b u ɣ a						b aː		b aː	b w oa		b oa	b ɔː	b ʊ ɣ a		b u/w a	b aː	
