Cognate_ID	Cahita	Cora	Huichol	ProtoCoracholNahua	ProtoNahua	ProtoSouthernUtoAztecan	ProtoUtoAztecan	Tarahumaran	Tepiman
1-notno	k a	k a h	t i ʂ a ɨ	k a + m o	a h m o		k a	k ai	tʃ o
10-good	k i w a	n a	ai ʂ ɨ a		kʷ a l		k ɨ w a		k ɨ g a
100-rope	w i t e r i	k a h u n a r i	w i t a r i		m e k a		w i k a	w i t a r i	t ɨ r o v i n i
11-heavy	v e t t e		h eː t e		j e t i + k		p ɨ t t ɨ	p e h t e	v ɨ t i
12-dry	w a k i a	w a ts i	v a s i ɨ ʂ a	w a + k	w a k + k i		w a k i	w a k i a	g a k
13-colditscold	s e w e	k ɨ mʷ a h a r a	h a ɨ t ɨ		i ts t i + k		s e p	s e p i	h e p i
14-hot	s u k k a	p ɨ s t i	ʂ ɨ k a		t o t oː n i + k		t o ŋ a	t o n o	t o n i
15-woman	h uː b i	ɨ i t a	ʔ u k a		s i w aː		s i n w a	u p i	o k i s i
16-man	t a k a	t a t a	u k i	o k i ts i	o k i tʃ	o k i ts i		t i h o e	t i h o j i
17-person	j o r e	t j e v i	t e w i		t eː		t aː w i		
18-fish	k u tʃ u	w a	k e ts ɨ		m i tʃ i	m u s i		k o tʃ u	v a t o p a
19-bird	w iː k i t	p i n a	w iː k i		t o t o		w i ts i k i		uː h i g i
2-many		m u	m ɨ i r e		m iː j a k		m u	m u	m u i
20-dog	tʃ u	ts ɨ	ts ɨ k ɨ	ts u k u i	i ts kʷ i n	ts u		k o tʃ i	g o s i
21-louse	e t t e	a t e	a t e	a t e	a t e m i		a t ɨ	e h t e	aː t ɨ
22-snake	b aː k o t	k u	k uː	k u	k oː w a		k o w a	s i n o i	k o
23-tree	k u t t a	k ɨ	k ɨ j e		kʷ a w	k u a + w i		k uː	k u
24-bark		k u ts a p e	k u n i e r i		eː w a + j o		p o		k o m i
25-leef	s a w a	s a mʷ a	ʂ a m a		i s w a	s a mʷ a		s a w a	h a g a
26-root	n a w a	iː n eː	n a n a	n e r i + w a	n e l w a	n a w a		n a w a	t a t k a
27-seed	b a ts i a	h a ts i	h a ts i	h a ts i	a tʃ	p a ts i	w a ts i	p a h ts i	ɨ ts i t u k ai
28-blood	o h b o	s u	ʂ u r i j a	s o	j e s		p a u	e l a	ɨ r a
29-meat	t e k u a	w a	w ai		n a k a			s a	t u k u w a
3-one	s e n	s a ɨ	ʂ e w i	s a mʷ i	s eː		h e m e	p i r e	h ɨ
30-skin	b eː w a	n a b i h	n a w i		j eː w a j o		p o	w i	ɨ ʟ i d a
31-bone	o t a	k a r i h	uː m e		o m i		o h o m ɨ	o	o
32-grease	a w i r a	n eː tʃ i r a	w iː j a	ts i j a	tʃ i j a w a		w i p	w i	g iː
33-egg	k a w a	t a	t a w a r i	t a w a r i	t o t oː l t e	t a p a r i		k a w a	n o
34-horn	a w a	e	a w a		kʷ aː kʷ a w		a w a	a w a	a
35-tail	bʷ a s i a	kʷ a s i	kʷ a ʂ i		kʷ i t l a p i l		kʷ a s i	w a h s i	b a h i
36-feather	m a s s a	a n a	a n a		i h w i		a n a	m a s a	a
37-hair	ts o o n i	k ɨ pʷ a	k ɨ p a	k ɨ p a	ts o n		ts o m i	k u p a	
38-head	k o v a	m u	m u		ts o n + t e k o m a		m uː	m o	m o
39-ear	n a k a	n a s a i h	n a k a	n a k a s a	n a k a s		n a k k a	n a k a	n aː k a
4-two	w o j i	w a	h uː t a	w a p u	oː m e	w o		w o k a	g o k
40-eye	p u s i	h ɨ	h ɨ ʂ i	h uː s i	iː ʃ		p u s i	p u s i	v u h i
41-nose	j e k a	ts u	ts u r i	ts o r i	j e k a + ts o l	j e k a		j a k a	d aː k
42-mouth	t e n i	t e n i	t e t a	t eː n	k a m a		t ɨ n a	ts u	t ɨː n
43-tooth	t a m i	t a m e	t a m e		tɬ aː n	t a m e		t a m e	t a m a
44-tongue	n i n i	n a n u r i	n e n i		n e n e p i l	n e n ɨ			n ɨː n i
45-fingernailtoenail	s u t u	k u ts a p e	ʂ ɨ t e	s ɨ t e	i s t e		s u t u	s u h t u	h uː t u
46-foot	w o k i m	tʃ e p a	ɨ k a		i k ʃ i		k e	k a s i	k ɨ s a
47-knee	t o n o	t u n u	ʂ a t ɨ		tɬ a n kʷ aː		t a ŋ a	ts o p o k o r i	t o o n o
48-hand	m a m	mʷ a h k a	m a m a	m aː	m aː		m a	m a	n o v i
49-belly	t o p a	ɨ h t i	h u k a	h o t i e	i h t e		p o k a	t o p a	v o o k a
5-big	bʷ e r u	b e	e + n e n a	w eː	w eː j i	w ɨ ʟ		w e r u	g ɨ
50-bellybutton	s i i k u	s i p u ts i	ʂ ɨ t e m u ts i	s i k u + t e m p o ts i	ʃ i k	s i k u		s i k u	h i k o
51-neck	k u t a n a	k ɨ h p i	k ɨ i p i		k eː tʃ + p a		k u s i + p a	k u h t a m o	k u s i v o
52-breasts	p i p i m	t a b i	ts i ts i		tʃ i tʃ i w a l		p i p i	p i w a	v i p i
53-heart	h i a p s i	s ɨ h e n i u	i j a r i	j au r i	j l j o h		s u r a	s u r a	h u r a
54-liver	h e m a m	n eː mʷ a	n e m a		j e l		n ɨ m a	e m a	n ɨ m a
55-drink	h eː	i	i j a	iː	iː		h i p i	h i	iː
56-eat	bʷ a	kʷ a	kʷ ai + j a	kʷ a	kʷ aː		kʷ a	k o	k o
57-bite	k e j e	tʃ e	k eː	k e	k e ts o m a		k ɨ ts a	k i ts u	k ɨ j i
58-vomit	b i s a t a	h a r a			j e s o tɬ a	p i s o		k o p e s o	w i h o t
59-see	t e w a	s e i h r a	ʂ ei j a	ts ei j a	tʃ iː j a		t ɨ w a	t e w a	t ɨː g a
6-old	o	b a s t a k ɨ r a	u k i r a ts i		w eː w eː		j o		
60-hear	h i k k a h a	n a mʷ a	e n a r i k a		k a k i		k a h i	a k e	k a h ɨ
61-know	m a ts i	mʷ a r e	m ai j a		m a t i		m a t i	p e n e	m a t ɨ
62-sleep	k o t tʃ e	k u ts i	k u ts i		k o tʃ i	k o ts i		k o ts i	k oː s i g
63-die	m uː k e	m ɨ	m ɨ i j a		m i k i		m u k i	m u k u	m u k i
64-kill	m e	h e	m i e r i j a		m i k t i a		m ɨ k k a	m e	m ɨ
65-flyv	n e	w a r a	w i j a		p a tɬ a n i		n ɨ	i	n ɨ
66-walkv	s iː m e	j w e	j e i j a	j ai + w i	j a w i		j a p i	s i m i	s i m e
67-come	j e p s a	b e	h a + m i e		w aː l + j a w i	j i w a		n o i t e	j ɨ w a
68-liev	b o	w a k a	k a	w au k a	o k	w o		p o	v o
69-sit	j e s a s a	au h k a	k a	j ei h	j e t o k	j a s i		j a s i p a	d a h i
7-small		k ɨ l e n			t e p i				
70-stand	w e j e k	t e h e b eː	t e w i		i h k a k		k e k a	w e r i	k ɨ k a
71-give	m a k a				m a k a		m a k a	k i	m aː k a
72-sing	bʷ i k a	tʃʷ i k a	kʷ i k a r i j a		kʷ i k a		kʷ i k a	w i k a t a	n ɨ
73-sun	t a	s ɨ k a h	t au	t au	t oː n a l		t a w a	t a h e n a r i	t a s a
74-moon	m e ts a	m a s k ɨ r ai	m e ts a		m e ts	m e ts a		m e ts a	m a s aː d a
75-star	tʃ o k i	s u	ʂ u r a w e	s uː t a	s i t a l		s uː	s o	s i p o
76-sky	t eː k a	t a h a pʷ a	m u j u a w i ts i e		i l w i k a	t a w i k a		t e w e k a	t ɨ v a g i
77-water	b aː	h a h	h a	h aː	aː	p aː	w a	p a w i	s u d a g i
78-wind	h eː k a	eː k a	eː k a		j e h j e k a	h e k a		e k a	h ɨ v ɨ r i
79-rainn	j u k e	b iː t e	w i j e r i	w i	k i j a w i	j u k u	w i	j u	d u k u
8-long	t e v e	t eː	e + t eː w i		w eː j a + k		t ɨ p ɨ	t e p i h	t ɨ v ɨ
80-snown	s a p a m	s eː r i	ɨː v i	s e	s e		k ɨ p a	k e p a	k ɨ v ai
81-stone	t e t a	t e t e	t e t e	t e	t e	t e	t ɨ	t e t e	h o d a
82-sand	s eː	s e h	ʂ i e k a r i	s i h a r	ʃ aː l	s i ts a	s i h a t	s a t e	o r ai
83-earth	bʷ i j a	kʷ e h	kʷ i e		tɬ aː l		kʷ i	w e	d ɨ v i r ai
84-salt	o n a	u n a h	u n a		i s t a		o ŋ a	o n a	o n a
85-cloud	n a m u	h a i t ɨ r i	h ai		m e ʃ		t o m m o	t o m o a	
86-smoken	bʷ i i tʃ i	k ɨː ts i	k ɨ ts i		p oː k		kʷ i ts i	m o r e	k u b u s i
87-fire	t a h i	t ai h	t ai		tɬ e		tɬ a h i	n a	t ai
88-ash	n a p o s a	n a s i	n a ʂ i	n a s i	n e ʃ			n a p i s o	m a t ai
89-burn	t a h a		t ai + r i j a	t ai t i a	tɬ a t i a			t a h a	n a d a
9-new	b e m e l a	h e h kʷ a	h e kʷ a	h ɨ n kʷ a + k i	j a n kʷ i + k	h u kʷ a		k a w e r u m a	v e t u d a
90-path	v o	h u j e	h u j e	h o + j e	o h	p o	w o	p o w e	v o i
91-mountain	k a w i	h ɨ r i	j e m u r i	t e + p ɨː t i	t e p eː	h u + j a		k a w i	o i d a g a
92-red	s i k i l i	t a p a	ʂ e t a		tʃ i tʃ i l + t i k		s ɨ t a	s e t a	v ɨ g i
93-green	s i a l i	h a mʷ a mʷ a	ts i ɨ r a j e	s i w i	ʃ o ʃ o w		ts i j o w i	s i j o	t ɨ d o g i
94-yellow	s a w a	t a u mʷ a	t a ʂ ai j e		k o s + t i k	k o s a w a		s a w a	o a m
95-white	t o s a	kʷ ai n a	t u ʂ a		i s t a + k		t o s a	t o s a	t o h a
96-black	tʃ u k u l i	s u	j ɨ w i		tɬ i l + t i k		t u k u		t u k u
97-night	t u k a r i a	t ɨ k a	t ɨ k a r i		j w a		j u pp a	t u g a o	t u k aː
98-name	t e w a	t a mʷ a	t e w a	t e w a + k a	t oː k a		t ɨ w a	t e w a	t ɨː g
99-year	w a s u k	r uː + s i	w i + j a r i	s i + w i	ʃ i w i		w i j a	p a m i	o i dʰ a
