Cognate_ID,AqraArbilArabic,Buxari,Cairene,CentralArabic,CypriotArabic,Damascene,GulfArabic,Iraqi,Kinubi,Maltese,MoroccanArabic,NigerianArabic,Soukhne,YemeniticArabic
100_yellow,a sˤ f a r,ʔ a s f a r,a sˤ f a r,ʔ a sˤ f a r,sˤ f r,ʔ a sˤ f a r,ʔ a sˤ f a r,ʔ a sˤ f a r,k u r u k u m,s f a jː a r,sˤ f e r,a sˤ f a r,ʔ a sˤ f a r,ʔ a sˤ f a r
10_bone,ʕ a dˤ ə m,ʕ a z ə m,ʕ a d m a,ʕ a ð mˁ,,ʕ a dˤ m e,ʕ a ðˤ m,ʕ a ðˤ m a,l a d i m,ʕ a d m a,ʕ dˤ e m,a dˤ u m,ʕ a ðˤ m,ʕ a ðˤ m a
11_breast,,s a d ə r,s i d i r,sˤ a d r,p z a z,sˤ ə dˤ ə r,d eː d sˤ a d r,n a h i d,s u d u r,s i d e r,b e z z u l a,d eː d,θ i d i sˤ i d r,sˤ a d r
12_burnvt,ħ r q,ʕ a l a g,ħ a r a ʔ,ħ a r a q a,ħ r q,ħ a r a ʔ,ħ a r a g,ħ i r a g,h a r a g u,ħ a r a ʔ,ħ r e q,h i r i g,ħ a r a k,ħ a r a g
13_claw,dˤ ə f ə r,,dˤ i f rˤ,ðˤ u f r,ðˤ f r,dˤ ə f ə r,m i x l a b,ðˤ i f i r,d u f u r u,d i f e r,dˤ f e rˤ,x u m f u r,i ðˤ f i r,θˤ u f r i n
14_cloud,,ɣ eː m,s a ħ aː b,ɣ a m aː m a t,ɣ y r,ɣ eː m e,s i ħ aː b,ɣ eː m a,s oː b u r a,s ħ a b a,ɣ m a m a,dˤ a w i j e,ɣ eː m i,
15_cold,b eː r ə d,b a r d,b a r d,b aː r i d,p e r e t,b a r ə d,b aː r i d,b a r d aː n,b a r i,b iː r e d,b a r e d,b a r d aː n,b iː r i d,b aː r i d
16_come,dʒ aː,d ʒ a kː i,g a,dʒ aː ʔ a,dʒ y y,ʔ ə dʒ a,dʒ a,dʒ aː,dʒ a,dʒ iː,ʒ a,dʒ a,a ts a,dʒ aː ʔ
17_die,m aː t,m aː t,m aː t,m aː t a,m w t,m aː t,m aː t,m aː t,m u t u,m iː t,m a t,m aː t,m aː t,m aː t
18_dog,k a l b,k a l b,k a l b,k a l b,k l b,k a l b,tʃ a l b,tʃ a l i b,k e l i,k e l b,k e l b,k a l b,tʃ a l b,k a l b
19_drink,ʃ ə r ə b,ʃ a r a b,ʃ i r i b,ʃ a r i b a,ʃ r b,ʃ ə r e b,ʃ a r a b,ʃ i r a b,ʔ a ʃ r u b u,ʃ o r o b,ʃ r e b,ʃ a r a b,i ʃ r i b,ʃ i r i b
1_all,k ə lː,k u lː u,k u lː,k u lː,k u lː,k ə lː,k i l,k u lː,k u l u,k o lː u,k o lː,tʃ a t,tʃ i lː,k u lː
20_dry,j eː b ə s,j a b s,n aː ʃ i f,j aː b i s,n e ʃ e f dʒ f y,n aː ʃ e f,j aː b i s,n aː ʃ i f,a b i s,n iː ʃ e f,j a b e s,j aː b i s,j iː b i s,j aː b i s
21_ear,ə d ə n,ʔ i z ə n,w i d n,ʔ u ð n,i ð n ʔ ð n,ʔ ə d ə n,i ð i n,ʔ i ð i n,a dˤ a n,w i d n a,w d e n,dˤ a n,i ð n,ʔ i ð n
22_earthdirt,a r dˤ,t iː n,a r dˤ,t u r aː b,t r a p t r b,tˤ rˤ aː b,t r aː b,t r aː b,t u r a,t r a b,t rˤ a b,a r dˤ,a r ðˤ,a r ðˤ
23_eat,a k a l,ʔ u k u l,a k a l,ʔ a k a l a,ʔ k l,ʔ a k a l,ʔ a k a l,ʔ a k a l,ʔ a k u l u,k iː l,k l a,a k a l,a tʃ a l,ʔ a k a l
24_egg,b a j dˤ a,b ai̯ d a,b eː dˤ a,b ai̯ dˤ a t,b y dˤ,b eː dˤ a,b eː dˤ a,b eː ðˤ a,m a jˤ ai,b a j d a,b i dˤ a,b eː dˤ e,b eː ðˤ a,b a j ðˤ a h
25_eye,ʕ a j n,ʔ ai̯ n,ʕ eː n,ʕ ai̯ n,ʕ ai̯ n ʕ y n,ʕ eː n,ʕ eː n,ʕ eː n,ʔ e n a,ʕ a j n,ʕ e j n,eː n,ʕ eː n,ʕ a j n
26_fatn,s a m ə n,d u h u n,ʃ a ħ m,ʃ a ħ m,s m n,ʃ a ħ ə m,d i h i n,ʃ a ħ a m,d i k i n,ʃ a ħ a m,ʃ ħ e m,ʃ a h a m a,ʃ a ħ m,
27_feather,,,r iː ʃ a,r iː ʃ a t,,r iː ʃ e,r iː ʃ a,r iː ʃ a,s uː t e r i,r i ʃ a,r i ʃ a,s uː f a,r iː ʃ i,r iː ʃ e h
28_fire,n aː rˤ,n aː r,n aː r,n aː r,w q d,nˤ aː rˤ,dˤ a w,n aː r,n a r i,n a r,ʕ a f j a,n aː r,n aː rˤ,n aː r
29_fish,s a m a k,s a m a k,s a m a k,s a m a k,,,s i m a tʃ,,s a m a g a,ħ u t a,ħ u t,s a m a k a ħ uː tˤ a,s a m a tʃ i,ħ uː t
2_ash,rˤ a m aː d,r a mˁ a tː,r a m aː dˤ,r a m aː d,r a m a t r m d,r a m aː d,r a m a a d,r u m aː d,r u m a n,r m iː d,rˤ m a dˤ,,,
30_fly,tˤ y r,n a tʼ t aː,tˤ aː rˤ,tˤ aː r a,,tˤ aː r,tˤ aː r,tˤ aː r,,t a r,tˤ a r,tˤ aː r,tˤ aː r,tˤ aː r
31_foot,ə dʒ ə r,r i d ʒ i l,r i g l,r i dʒ l,i ʒ r,r ə dʒ ə l,r iː l,r i dʒ i l,k u r a,s iː ʔ,r ʒ e l,r i dʒ i l,i ts l,r i dʒ l
32_full,ə mː a l a,,m a l j aː n,m a l ʔ aː n,m p l a n m l,m a l aː n,m a t r u u s,m a l j aː n,m a lʼ j a n,m i m l i,ʕ a m e r,m a l ʔ a n,m a l j aː n m a d m uː ts,m a t r uː s
33_give,ʕ a tˤ a,a n tˤ aː,i dː a,ʔ a ʕ tˤ aː,ʕ tˤ y,ʕ a tˤ a,ʕ a tˤ a,n i tˤ a,w e dˤ i,t a,ʕ tˤ a,tˤ a ʔ a n,i n tˤ a,ʔ a dː a
34_goodadj,k ə w a jː ə s,z eː n,kʷ a jː i s,tˤ a jː i b,k y s,m n iː ħ,z eː n,z eː n,kʷ ei̯ s,t a jː e b,m e z j a n,s a,m a l iː ħ,tˤ a jː i b
35_green,a x dˤ a r,ʔ a x z a r,ʔ a x dˤ a r,ʔ a x dˤ a r,x dˤ r,ʔ a x dˤ a r,ʔ a x dˤ a r,ʔ a x ðˤ a r,m a n j a n,a ħ d a r,x dˤ e r,a x a dˤ a r,ʔ a x ðˤ a r,ʔ a x ðˤ a r
36_hair,,ʃ a r ʕ a s,ʃ a ʕ r,ʃ a ʕ r,ʃ a x v e ʃ ʕ f,ʃ a ʕ ə r,ʃ a ʕ a r,ʃ a ʕ r a,s u,ʃ a ʕ a r,ʃ ʕ e r,ʃ i ʔ i r,ʃ a ʕ r a,ʃ a ʕ r a
37_hand,iː d,j a d,iː d,j a d,i t y d,ʔ iː d,j a d,ʔ iː d,i d a,i d,i dː,iː d,eː d,j a d
38_head,rˤ aː s,ṛ/r aː ṣ/s,rˤ aː s,r a ʔ s,m x x,r aː s,r aː s,r aː s,r a s,r a s,rˤ a sˁ,r aː s,rˤ aː s,r a ʔ s
39_hear,s ə m ə ʕ,s a m a ʕ,s i m i ʕ,s a m i ʕ a,s m ʕ,s ə m e ʕ,s i m a ʕ,s i m a ʕ,ʔ a s m a,s a m a ʔ,s m e ʕ,s i m i,i s m i ʕ,s i m i ʕ
3_bark,s ə v iː j e,,ʔ i ʃ r,q i r f a t,,ʔ ə ʃ ə r,g i ʃ r a,g i ʃ r a,k o k o b o l a t a k a,ʔ o ʃ r a,q e ʃ rˤ a,l iː h e,k i ʃ r,g i ʃ r
40_heart,f aː d,q a l b,ʔ a l b,q a l b,k i l e p,ʔ a l b,g a l b,q a l b,g e l b a,ʔ a l b,q e l b,g a l i b,k a lˤ b,g a l b
41_horn,,ʃ ɔ x,ʔ a r n,q a r n,k o r n e,ʔ a r ə n,g a r n,g i r i n,g u r u n,ʔ a r n,q e rˤ n,g a r n,g i r i n,g a r n
42_i,a n a,a n aː,a n a,ʔ a n aː,ʔ n a,ʔ a n a,a n a,ʔ aː n i,ʔ a n a,j iː n,a n a,a n a,a n a,ʔ a n a
43_kill,q a t a l,q a tˤ a l,m a wː i t,q a t a l a,q t l,ʔ a t a l,g i t a l,k i t a l,k a t u l,ʔ a t e l,q t e l,k a t a l,k a t a l,g a t a l
44_knee,,,r u k b a,r u k b a t,,r ə k b e,r i k b a,r u k b a,r u k u b a,r k o bː a,r o k b a,r u k u b a,rˤ u tʃ b i,r u k b i h
45_know,ʕ ə r ə f,ʔ a r a f,ʕ i r i f,ʕ a r a f a,ʕ r f,ʕ ə r e f,ʕ a r a f,ʕ i r a f,ʔ a r u f u,j a f,ʕ rˤ e f,ʕ i r i f,ʕ a rˤ a f,d i r i ʕ a r a f
46_leaf,w a r a q a,v a r a q,w a r ʔ a,w a r a q a t,,w a r a ʔ a,w r i g a,w a r g a,k o r o f o,w e r ʔ a,w e r q a,w a r a g a,w a r a k a,w a r a g i h
47_lie,,d aː ʕ a,i t m a dː a d,r a q a d a,,t l a ʔː a h,t a m a d d a d,t m a dː a d,,m t e dː,tː m e d,r a g a d,t ts a lː a s,r a g a d
48_liver,,k a b d a,k i b d a,k a b i d,q sˤ b,k ə b ə d,tʃ i b d,k a b d a,k oː b d a,f w iː d,k e b d a,k i b d e,,k a b d i h
49_long,tˤ w l,t a vˤ iː l,tˤ a w iː l,tˤ a w iː l,tˤ w l,tˤ a w iː l,tˤ a w iː l,tˤ u w iː l,t o w i l,t w i l,tˤ w i l,tˤ a w i l,tˤ a w iː l,tˤ a w iː l
4_belly,dʒ oː f,b a t i n,b a tˤ n,b a tˤ n,p a t n b tˤ n,b a tˤ ə n,b a tˤ n,b a tˤ i n,b a t n a,z a ʔː,k e r ʃ,k i r ʃ,b a tˤ n,b a tˤ n
50_louse,,q a m l a,ʔ a m l a,q a m l a h,q m l,ʔ a m l e,g a m l a,g a m lˤ a,,ʔ a m l a,q e m l a,,k a m lˤ,g a m l e h
51_man,r a dʒ ə l,ʔ z aː k e r,rˤ aː g i l,r a dʒ u l,i n ts a n,r ə dʒː aː l,r a jː a a l,r i dʒː aː l,r a g i,r a dʒ e l,rˤ a ʒ e l,r a dʒ i l,z a l a m i,r a dʒː aː l
52_many,k ə t iː r,k a ʔ iː r,k i t iː r,k a θ iː r,x t i r,k t iː r,w aː dʒ i d,h w aː j a,m i l a n,ħ a f n a,b e z z a f,k a t iː r,tʃ θ iː r,k a θ iː r
53_meat,l a ħ ə m,l æ ħ ə m,l a ħ m a,l a ħ m,l ħ m,,l a ħ a m,l a ħ a m,l aː m,l a ħ a m,l ħ a m,l aː m a,l a ħ m,l a ħ m
54_moon,,q a m a r,ʔ a m a r,q a m a r,q m r,ʔ a m a rˤ,g a m a r,g u m a r,ʃ aː r i,ʔ a m a r,g a m rˤ a,g a m a r,k a m a rˤ,g a m a r
55_mountain,dʒ a b a l,d ʒ a b a l,g a b a l,dʒ a b a l,ʒ i p e l,dʒ a b a l,dʒ i b a l,dʒ i b a l,dʒ e b e l,m u n t a n j a,ʒ b e l,h a dʒ a r,ts a b a l,dʒ a b a l
56_mouth,t ə m m,b æ b,b u ʔ ʔ,f a m,x a n k ħ n k,t ə m m,ħ a l dʒ,ħ a l i q,k a s m a,ħ a l ʔ,f o mː,g a dː uː m a,ħ a l k,f u m m
57_name,ə s ə m,ʔ i s i m,i s m,i s m,ʔ s m,ʔ ə s ə m,i s i m,ʔ i s i m,a s m a,i s e m,s m i j a,i s i m,i s m,ʔ i s m
58_neck,,,r a ʔ a b a,ʕ u n q,r q b,r a ʔ b e,r g u b a,r u g b a,r a g a b t u,ʕ o n ʔ,ʕ e n q,r a g a b a,r a k a b a,r u g b e h
59_new,dʒ ə d iː d,d ʒ a d iː d,g i d iː d,dʒ a d iː d,ʒ t i t dʒ d d,dʒ d iː d,dʒ a d i i d,dʒ i d iː d,dʒ e d i d,dʒ d i d a,ʒ d i d,dʒ a d iː d,ts a d iː d,dʒ a d iː d
5_big,g ə b iː r,k a bˤ iː r,k i b iː r,k a b iː r,k b r,k b iː r,ʕ oː d,tʃ b iː r,k b i r,k i b i r,k b i r,k a b iː r,tʃ a b iː r,k a b iː r
60_night,l a j l,l ai̯ l,l eː l a,l ai̯ l a h,l y l,l eː l e,l eː l,l eː l a,,l e j l,l i l a,l eː l e,l eː l i,l a j l
61_nose,ə n f,ʔ a n f,m a n a x iː r,ʔ u n f,m a x u r n x r,ʔ ə n f,x a ʃ i m,x a ʃ i m,n j a n g a r a t u,i m n iː ħ e r,n i f,m u n x u r,x i ʃ m,n u x r e h
62_not,m aː,,m i ʃ,l aː,l ʔ,m aː,m a,m uː,m a,mʰ u ʃ,m a ʃ,m i,m aː,m aː
63_one,w eː ħ ə d,w aː ħ i d,w aː ħ i d,ʔ a ħ a d,e x e n,w aː ħ e d,w aː ħ i d,w aː ħ i d,w ai,w iː ħ e d,w a ħ e d,w aː h i d,w eː ħ d i,w aː ħ i d
64_person,n a f a rˤ,a d a m i,ʃ a x sˁ,ʔ i n s aː n,i n s a n ʔ n s,z a l a m e,n a f a r,ʃ a x i sˤ,a z o l,p e r s u n a,s i j e d,n aː d i,i n s aː n aː d a m i,ʃ ai̯ b e h
65_rain,m a tˤ a r,m a t a rˤ a,m a t ʕ a r,m a t ʕ a r,ʃ t y,mˤ a tˤ a rˤ,m a tˤ a r,m u tˤ a r,m a t a r a,ʃ i t a,ʃ t a,a l m a tˤ a r a,m a tˤ a r,m a tˤ a r
66_red,a ħ m a r,ʔ a ħ m a r,a ħ m a r,ʔ a ħ m a r,a x m a r ħ m r,ʔ a ħ m a r,ʔ a ħ m a r,ʔ a ħ m a r,ʔ a m e r,a ħ m a r,ħ m e rˤ,eː m a r,ʔ a ħ m a rˤ,ʔ a ħ m a r
67_road,tˤ a r eː q,d a r b,tˤ a r iː ʔ,tˤ a r iː q,t r u p d r b,tˤ a r iː ʔ,tˤ a r iː g,tˤ a r iː q,s iː k a,t r i ʔ,tˤ rˤ i q,,tˤ a r iː k,tˤ a r iː g
68_root,ʕ ə r oː q,,,dʒ a ð r,,ʃ ə r ə ʃ,j i ð i r,ʕ i r i g,a s a b,ʕ e r ʔ,ʒ d e r,i r g,g a ʕ r,ʕ i r g i n
69_round,m ə d a wː ə rˤ,,m i d a wː a r,m u d a wː a r,,m d a w w a r,m u d a wː a r,m d a w w a r,,t o n d,m dˤ u wː e r,d aː j i r,m d a wː a rˤ,m u d a wː a r
6_bird,k uː tʃ k aː j e,t ai̯ r a,tˤ eː r,tˤ aː ʔ i r,,tˤ eː r,tˤ eː r,tˤ eː r,t e r,ʕ a s f u r,tˤ i r,tˤ eː r a,tˤ eː r,tˤ a j r
70_sand,,,r a m l,r a m l,,r a m ə l,r a m i l,r a m u lˤ,l u m r a,r a m e l,rˤ e m l a,k eː s a,r a m lˤ,
71_say,q aː l,q ɔː l,ʔ aː l,q aː l a,q w l,ʔ aː l,g aː l,g aː l,k e l e m u,ʔ a l,q a l,g aː l,k aː lˤ,g aː l
72_see,a rˤ a,ʃ aː f,ʃ aː f,r a ʔ aː,q ʃ ʕ,ʃ aː f,ʃ aː f,ʃ aː f,aːi̯ n u,r a,ʃ a f,ʃ aː f,ʃ aː f,i b sˤ a r
73_seed,b a z ə r ħ a bː,,ħ a b b a,b i z r,p t a r b z r,b ə z r e,b a ð r a,b a z r a,eː n a,z e rː iː ʕ a,ʒ e rː i ʕ a,t eː r a b,b i ð r,h a bː e h
74_sit,q ə ʕ ə d,q a ʕ a d,ʔ a ʕ a d,q a ʕ a d a,q ʕ d,ʔ a ʕ a d,g a ʕ a d,g i ʕ a d,g e n,ʔ a ʕ a d,g l e s,g a ʔ a d,k a ʕ a d,dʒ a l a s
75_skin,dʒ ə l d,d ʒ i l d,g i l d,dʒ i l d,s l x,dʒ ə l ə d,dʒ i l d,dʒ i l i d,g i l d u,dʒ i l d a,ʒ e l d,dʒ i l d e,ts i l d,dʒ i l d
76_sleep,n aː m,n au̯ m,n aː m,n aː m a,n w m,n aː m,n aː m,n aː m,n u m,i r ʔ a d,n ʕ e s,n oː m,n aː m,r a g a d
77_small,ɣ ə z iː r z ə ɣ a j j ə r,s a,sˤ u ɣ a jː a r,sˤ a ɣ iː r,sˤ ɣ r,zˤ ɣ iː r,sˤ a ɣ iː r,sˤ ɣ a jː i r,s a k a r,z ɣ i r,sˤ ɣ i rˤ,d a g iː g,sˤ a ɣ iː r,sˤ a ɣ iː r
