Cognate_ID,abui,adang,blagar,kaera,kamang,klon,kui,nedebang,protoalorpantar,sawila,teiwa,wersing,westernpantar
100_fat,t a m a d a,t a m a r a,t ə m a,q a a u,b u l a k a,t ə m ɑ d,t a m a,q o a t a,t a m a,d u m u,t a m a ʔ,g e s i m e ʔ,k a w a t a
101_father,m a m a,n i m i ŋ,n i m a ŋ,n a m a m,p a a,n ɪ m ɑ n,n a m a,n a b a m m a,m a m,g i p a,g o m a,n e p a,n i a r
102_feather,r u o + h a b a k a i,h i u + w o l o,w u u l + m u d i,,l a b u t a,w ə r ɛ k,a d o l + r o k,m u d d i,,m a d i,m u d,a d o l + m u d i,k u r
103_feverish,k a m u r a,t a s o ʔ o,v i v i r i ŋ,q o m o d i,,g e b i r,s e n a m,t a l a q o,,m a a k u,q a m u d i,n a i l b u b,d a g g a
104_field,r o l,,,u r + w a d o,,,l a t,w u u t a + g a m i,,,h a w a n + b i ʔ i n,o k u + p e d a k a r,b i ʔ a ŋ
105_finger,t a t a ŋ + p a k a,n a t a ŋ + p a ʔ a,t a t a ŋ + t u b a,t a t a ŋ + t u p a ʔ,t a ŋ + k i l e i,,p a k,g a t a ŋ + u p p i,,,g ə t a ŋ + q i,k i l a s i,n a t t a ŋ + s i ʔ a
106_fingernail,t a t a ŋ + k u s i ŋ,ʔ a t a ŋ + u h u ŋ,t a t a ŋ + k r u s i ŋ,t a t a ŋ + k u s i ŋ,k u i s i ŋ,g ə t ɑ n k u h,k u s i n,g a t a ŋ + k u tʃ i ŋ,k u s i n,g a t a ŋ + k u r i s i,g ə t a ŋ + q u ħ a s,k u r u s i,n a t t a ŋ + k u s i
107_fire,a r a,a w a i,a a d + b e t a,a a d + w a s i ŋ,a t i,ə d ɑ,a r,a r,h a d,a d a,ħ a r,a d a + w a r,r a
108_firewood,a r a,aː + t a ʔ a t a,a a d + d e r a,a a d,a t i,,a r + k u,a r + w a tʃ i,,,,a d a + w u s,r a + u k u
109_fish,a f u,aː b,a a b,a b,a p i,ə b i,e b,a a f i,h a b,a p i,ħ a f,a p i,h a p
10_arrow,p u l a ŋ,a b u r i g,b u l i t,q u l u b i t,w i l i ŋ,k b o r,n a l a g a,q a v i i t a,,s i k e,q a f a l a t,s i k i,k a b u s
110_fishtrap,ʔ t e r e,,k e r,,l o k e i,,s a a i,tʃ a r,,,k e r,k n o p o ŋ,s a r
111_fishinghook,h a u a l a i,m aː n i,k a w i l,k a u l,w a n e e,,j e l,k a w a,,,k a w i l,a w i l,k i s i
112_five,j e t i ŋ,i w ɛ h ɛ ŋ,j i s i ŋ,i s i n,i w e s i ŋ,ə w ə h,j e s a n,j i s i n,j i w e s i n,j o o t i ŋ,j u s a n,w e t i ŋ,j a s i ŋ
113_flat,t a l u o l a,h a l o i,b i r a,b i i r o,s i l e l a,b ʊ ʊ r,t a l o l a,e s a m a,,k a l a t a,h a w a n,l a t + t e r i s,p a l a k a
114_flea,t u k o t a,b ɛ l + ʔ u t u,t ə m e l a,,s i k o o,a k u i n dʒ + g e + a d a ŋ,k u r + k o t,b a r + b e g,,,ħ a t,t o k o ʔ,s i p p e
115_fleshmeat,m a h i t i ŋ,h i r i,d a g i ŋ + h i i,u m u ŋ,i s e i,m ə h ɛ l,i s,b o ʔ o,,i s i,k o k,g e i s,k e ʔ e
116_float,t a u i t i,t ɛ d ɛ ʔ,t e d i ŋ,t e r i ŋ,l a k a,t ə t ɛ d,t e e b a l,t e r i,,,t i r i,s e l i,t e r a
117_flower,k i k i,,t e + b u m a,q a a w,k i k,b ʊ ʊ m,b u ŋ a n,a s a m m a,,k i k i l e a w a,q a a w,k i k i l a u,k a w a ŋ
118_fly,l i ʔ,l i l i ʔ,l i r i,dʒ i r o,l i l a,l i i r,l i r,dʒ i l a,j i r a,i r i ŋ,dʒ i r a n,i r e,h i l a ŋ
119_flyn,f u ŋ f a i,l i b o ŋ,v a v a r,u b a r,b i l e w e i,b l e l,j o b o i,j i i f u,,l i w a r,u f a r,b u l e r,h i b b i
11_ash,a r u i,m aː l u,m ə r o,b ə r a a m,a t i + j e ŋ + k o o,a d u r,a r + u i,d a m a ŋ,,,d i ʔ,m a + a b u,d u l i
120_foam,b a ʔ l a k i ŋ,w a r a w a r a,u l,q a a w,k u a a,k u l,k l a r,b u j,,,q a a w,t a m a ʔ + k u l a ʔ,a l u a
121_fog,t a b e k iː,l o w o + t a w e ʔ,b i l + m o r o,b ə n a b,s a f u u,b o n t u i,t a b o,b u n a + i t u r u,,s a k a p u l l o,m a n a a f,s a k a p u l,b u n n e
122_forest,a t i ŋ,b a n a,b i l + p u s i,q a q u i + e r e s,b o ŋ + s a k,ʔ ɛ h,k o p,m i j a m a,,a d i i s i ŋ,w u t,d u m,w a p p a ŋ
123_four,b u t i,w u t,b u t a,u t,b i a t,ʊ t,u s a,u t u,,a r a a s i i k u,u u t,a r a s o k u,a t u
124_frog,dʒ a k o r a k o r a,u p a p a ʔ,m o t o,m a u + ħ u b a r,t a k a b a u,e i p e k,e k + t a m u d a k,,,w e r p a a k,m a u q u b a r,o l + t u k t u k,h a l i a + m a r o ʔ o
125_fruit,i t i,p i r i,t e + h i,t e i + i s i,u h,ɪ h,u p,i tʃ i,i s,g i s i,g e + j i s,b o ŋ + i k o ʔ,h i s s a
126_full,v e m i d i,w u t u l u,m e v i ŋ,g u a l i,a w i l a,u m i i,a w e i,w a l l a,,t u t i w o,w a l,a w e,h a w a j a
127_garden,ʔ u t i,b u t u,b i l,,m i l a a,t ɛ r,p a n e n,m a ħ a r a,,p a r a,a r + w a n,p u r,b u n n i
128_good,k a ŋ,n o ʔ o,a u ŋ,ħ o w o,k a ŋ,n o k,n o k a,q a w a,,k a a ŋ,q a w,k a ŋ,a k k u
129_grandchild,n e r a k b e k a,d a ʔ a l a,t o a l + t i d a t,n a g a r a a t + ħ a i,d u m + t a m,d ɑ t,n a j o l,g ə t a j a,,g a t a a m u,g r a a t + q a i,g e s i r + g e m a i,n a m m i s
12_askquestion,t a t a h a ŋ,ʔ a t a n a,v e n t a n i ŋ,t a k a n i,e i s i n,t a ŋ,g a t a ŋ a n,t i j a n i,,s a r a a ŋ,g e r g a n,l e s e b i,t a g a ŋ
130_grandfather,n e t u ŋ,b a p a,n i d a t,n a r a a t,t a m,d o q o m,n a t a,b a m a l a,,,g e r t a ʔ,n e t a m u + l e m i,w e n a ŋ
131_grandmother,n e k u t a,b a p a,n i d a t,n a r a a t,t a m,d o q o l,n a t a + m e i,g ə t a j a,,g i t a a m a,g e r t a ʔ,n e t a m u + m e i,k u b a
