Cognate_ID,aromanian,barbaniapiemontese,bellunesevenetian,campidanese,carmagnolapiemontese,carpigianoemiliano,castellodelaplanacatalan,castilianspanish,cataniansicilian,centralcatalan,dalmatian,fassanoladin,ferrareseemiliano,friulian,gardeneseladin,genoeseligurian,grossetoitalian,istroromanian,lanzotorinesepiemontese,logudorese,manisescatalan,meglenoromanian,messinesesicilian,minorcancatalan,neapolitan,northwesterncatalan,palermitansicilian,primierovenetian,provencaloccitan,rapalloligurian,ravennateromagnol,reggianoemiliano,romanian,rumantschgrischun,southeasternsicilian,standarditalian,stellaligurian,surmiranromansh,sursilvanromansh,valenciancatalan,valladerromansh,venicevenetian,vercellesepiemontese
100_yellow,ɡ ˈa l b + i n + u,dʒ a w ŋ,dʒ a l,ɡ r ˈo ɣ + u,dʒ a w ŋ,z aː l,ɡ ɾ ˈɔ k,a m a ɾ + ˈi ʎ + o,dʒ ˈa lː + u,ɡ ɾ ˈɔ k,dz w ˈo l n + o,z a l,dz a l,dʒ aː l,ɡ j ə l,dʒ ˈa n + u,dʒ a lː + o,ʒ u t,dʒ a w ŋ,ɡ r ˈo ɡ + u,ɡ ɾ ˈɔ k,ɡ ˈa l b + i n,dʒ ˈa lː + u,ɡ ɾ ˈɔ k,dʒ ˈa lː + ə,ɡ ɾ ˈɔ k,dʒ ˈa ɾ n + u,dʒ a l,dʒ ˈa w n + e,dʒ ˈa lː + u,dz a l,dz aː l,ɡ ˈa l b + e n,m ˈɛ l ə n,ɡː ˈj a ɾ n + u,dʒ a lː + o,dʒ ˈaː n + u,m ˈɛ l ə n,m ˈɛ l ə n,ɡ ɾ ˈɔ k,ɡ ˈɛ l k,z ˈa e v + o,dʒ a l t
101_far,d i + p ˈa r t + e,l u ŋ t ˈa ŋ,l o ŋ t ˈa ŋ,a + t ˈe z + u,l u ŋ t ˈa ŋ,l u n t ˈa n,ʎ u ɲ,l ˈe x + o s,l u n t ˈa n + u,ʎ u ɲ,l o n t ˈw o ŋ,d a + l ˈo n tʃ,l u n t ˈa n,l o n t ˈa ŋ,l o n tʃ,l u ŋ t ˈa n,l o n t ˈa n + o,l ˈɒ r ɡ + o,l œ ɲ,a + l ˈa r ɡ + u,ʎ u ɲ,d i + p ˈa r t + i,l u n t ˈa n + u,ə n + f ˈɔ ɾ ə,l u n t ˈa n + ə,ʎ u ɲ,l u n t ˈa n + u,l o ŋ t ˈa ŋ,l j e w ˈe ŋ,l u ŋ t ˈa n,l u n t ˈã n,l u n t ˈaː n,d e + p ˈa r t + e,d ə + l ˈu n ʃ,l u n t ˈa n + u,l o n t ˈa n + o,l u ŋ t ˈa n,ʎ ˈu n ʃ,l u n ʃ,ʎ u ɲ,d ə + l ˈœ n tʃ,l o ŋ t ˈa ŋ,l u ŋ t ˈa ŋ
102_heavy,ɡ r e w,ɡ r ˈɛ v,p e z + ˈa ŋ t + e,ɡ r a j,ɡ r ˈɛ v,p eː z,p e z + ˈa t,p e s + ˈa ð + o,p i s + ˈa n t + i,p ə z + ˈa t,p e z + ˈw o n t,p e z + ˈo k,p e s,p e z + ˈa n t,p ə z + ˈɔ k,p e z + ˈa ŋ t + e,p ˈe s + o,ɡ r e v,ɡ r ˈɛ v,ɡ r ˈa v + e,p e z + ˈa t,ɡ r e w,p i s + ˈa n t + ɨ,p ə z + ˈa t,p ə s + ˈa n t + ə,p e z + ˈa t,p i s + ˈa n t + i,ɡ r e w,l u ɾ d,p e z + ˈaː ŋ t + e,p ˈɛ z + ˈã n t,p ˈɛ j z,ɡ r e w,ɡ r e f,p i s + ˈa n t + i,p e s + ˈa n t + e,p e z + ˈaː ŋ t + e,ɡ r e f,ɡ r e f,p e z + ˈa t,ɡ r ˈɛ j f,p e z + ˈa ŋ t + e,p i z + ˈaː ŋ t
103_near,a + p r ˈo̯a p + e,d a + v z ˈi ŋ,v i z ˈi ŋ,b i ʒ i n + u,v z ˈi ŋ,z v ˈɛ j n,a + p ɾ ˈɔ p,θ ˈe ɾ k + a,v i tʃ ˈi n + u,ə + p ɾ ˈɔ p,a + l ˈi tʃ,d a + v e ʒ ˈi ŋ,v s i n,d ˈɔ n dʲ + e,d a + w ʒ ˈi ŋ,v e ʒ ˈiː n,v i tʃ ˈi n + o,p r ˈo p + e,d a + v z ˈi ŋ,a + k ˈa n t + e,p ɾ ˈɔ p,p r ˈo̯a p + i,v ɨ tʃ ˈi n + u,ə + p ɾ ˈɔ p,v i ʃ ˈi n + ə,a + p ɾ ˈɔ p,v i tʃ ˈi n + u,v e z ˈi ŋ,p ɾ ˈɔ tʃ + e,v i ʒ ˈi n,b z ˈẽ n,v z e j n,a + p r ˈo v a p + e,d ə + m ə n + ˈa j v + ə l,v i tʃ ˈi n + u,v i tʃ ˈi n + o,v i ʒ ˈi n,m ə n + ˈe v + ə l,d ə + m ə n + ˈɛ j v + ə l,p ɾ ˈɔ p,d ə + ʃ t r ˈu ʃ,v i s ˈi ŋ,v z iː ŋ
104_salt,s ˈa r + e,s a l,s a l,s ˈa l + i,s a l,s ˈɛː l,s a lˠ,s a l,s ˈa l + i,s a lˠ,s w a l,s ˈɛ l,s a l,s aː l,s ˈɛ l,s aː,s ˈa l + e,s ˈɒ r + e,s a l,s ˈa l + e,s a lˠ,s ˈa r + i,s ˈa l + ɨ,s a lˠ,s ˈa l + ə,s a lˠ,s ˈa l + i,s a l,s a w,s aː,s e a l,s ˈɛː l,s ˈa r + e,s a l,s ˈa l + i,s ˈa l + e,s oː,s a l,s a l,s a lˠ,s a l,s a l,s a l
105_short,s k ˈu r t + u,k y r t,k u r t,k r ˈu tːs + u,k y r t,k u r t,k u ɾ t,k ˈo ɾ t + o,k ˈu ɾ t + u,k u ɾ t,k w a r t,k u r t,k u r t,k u r t,k u r t,k ˈu r t + u,k ˈo r t + o,s k u r t,k y r t,k ˈu r ts + u,k u ɾ t,k u s,k ˈu tː + u,k u ɾ t,k ˈu r t + ə,k u ɾ t,k ˈu ɾ t + u,k u r t,k u ɾ t,k ˈy r t + u,k u r t,k uː r t,s k u r t,k u r t,k ˈu ɾ t + u,k ˈo r t + o,k ˈy r t + u,k u r t,k w o r t,k u ɾ t,k w o r t,k ˈu r t + o,k œ r t
106_snake,ʃ ˈa r p + e,s ˈɛ r p + ˈɛ ŋ t,b ˈi s + a,s ˈɛ r p + i,s ˈɛ r p,s e r p + ˈɛ j n t,s e ɾ p,s e ɾ p + ˈj e n t + e,s k u ɾ s ˈu n + i,s e ɾ p,s e r p ˈj a n t,s e r p + ˈe n t,s e r p + ˈɛ n t,s a r p ˈi n t,b ˈe k + a,s e r p + ˈe n t + e,s ˈɛ r p + e,ʃ ˈɒ r p + e,s ˈɛ r p,k o l ˈo v r i + u,s e ɾ p,ʃ ˈa r p + i,s ˈɛ ɾ p + i,s e ɾ p,s ˈɛ r p + ə,s e ɾ p,s ˈj ˈɛ ɾ p + i,b ˈi s + a,s ˈɛ ɾ p,b ˈi ʒ + a,s a r p + ˈẽ n t,s a r p + ˈɛ j n t,ʃ ˈa r p + e,s ˈɛ r p,ʃ k u sː ˈu n + i,s ˈɛ r p + e,b ˈi ʃː + a,ts ˈɛ r p,s j a r p,s e ɾ p,s ˈɛ r p,s e r p + ˈe ŋ t + e,s a r p + ˈeː ŋ t
107_thin,s u p + ts ˈɨ r + e,s y + t ˈi l,f i ŋ,f ˈi n + i,s y + t ˈi l,m ˈɛ ɡ e r,p r i m,f ˈi n + o,f ˈi n + u,p r i m,,s o + t ˈi l,m ˈa ɡ a r,s u + t ˈiː l,s u + t ˈi l,s u t + ˈiː,f ˈi n + o,s u p + ts ˈi r + e,s y + t ˈi l,l ˈa n dz + u,p r i m,s l a p,f ˈi n + u,p r i m,f ˈi n + ə,p r i m,f ˈi n + u,f i ŋ,f i ŋ,s u tː + ˈi,s + t i l,s u + t ˈiː l,s u b + ts ˈi r + e,f i n,f ˈi n + u,s o + tː ˈi l + e,s ˈɛː t + ˈi,f e ɲ,f i n,p r i m,f i n,f i ŋ,s u + t ˈiː l
108_wind,v ˈi m t + u,v ˈɛ ŋ t,v ˈɛ ŋ t,b ˈe n t + u,ˈa r j + a,v ˈɛ j n t,v e n,b ˈj e n t + o,v ˈɛ n t + u,b e n,v j a n t,v e n t,v e n t,ˈa j a r,v ə n t,v ˈeː ŋ t + u,v ˈɛ n t + o,b ˈo r + ˈæ,v ˈɛ ŋ t,v ˈe n t + u,b e n t,v i n t,v ˈɛ n t + u,v e n t,v ˈj e n t + ə,b e n,v ˈj ˈɛ n t + u,v ˈɛ ŋ t,v ˈɛ n t,v ˈe ŋ t + u,v ˈɛ n t,v ˈɛ j n t,v ɨ n t,v ˈɛ n t,v ˈj ˈɛ n t + u,v ˈɛ n t + o,v ˈæː ŋ t + u,v ˈɛ n t,v ˈɛ n t,b e n t,v ˈɛ n t,v ˈe ŋ t + o,v eː ŋ t
109_worm,ʑ ˈe r m + u,v ˈɛ r m,b u t,b r ˈɛ mː + i n + i,v ˈɛ r m,b eː ɡ,k u k,l o m b ɾ ˈi θ,v ˈɛ ɾ m + i,k u k,v j a r m,v e r m,v ˈɛ r m,v j ˈɛ r,j ə r m,v ˈɛ r m + e,b ˈa k + o,ɣ ʎ ˈe r m + u,v ˈɛ r m,ˈe r m + e,k u k,dʲ ˈa r m + i,v ˈɛ ɾ m + i,k u k,v ˈɛ r m + ə,k u k,v ˈj ˈɛ ɾ m + u,v ˈɛ r m + e n,v ˈɛ ɾ m + e,v ˈeː r m + e,v ˈeː r m + a n,b ˈɛ j ɡ,v ˈj e r m + e,v ˈɛ r m,v ˈɛ ɾ m + i,v ˈɛ r m + e,v ˈæː r m + u,v ˈɛ r m,v j ˈɛ r m,k u k,v ˈɛ r m,v ˈɛ r m + e,v ˈɛ r m
