Cognate_ID,Azeri,Baraba,Bashkir,Chuvash,CodexCumanicus,CrimeanTatar,Dolgan,Gagauz,KaraKalpak,KarachayBalkar,Karaim,Kazakh,Khakas,Khalaj,Kirghiz,Kumyk,MiddleChulym,Nogai,NorthAltai,OldUyghur,Salar,SarygYugur,Shor,SouthAltai,Tatar,Tofa,Turkish,Turkmen,Tuvan,Uighur,Uzbek,Yakut
100_here,b u r a d a,m ɯ n d a,b ɯ n d a,k u n d a,m o n d a,m ɯ n d a,m a nː a,b ɯ r d a,b u n d a,b ɯ l a j d a,m u n a,m u n d a,m ɯ n d a,b oː d a,m ɯ n d a,m u n d a,m ə n d a,m u n d a,m ɯ n d a,b u n t a,m ɯ n t a,m ɯ n d a,m ɯ n d a,m ɯ n d a,m o n d a,m ɯ n d a,b u r a d a,b u + j e r d e,m ɯ n d a,b u + j æ r d æ,b u + j e r d a,m a nː a
101_hidev,gʲ i z l æ n,j æ ʃ æ r,j æ ʃ e r,p ɯ d a r,j a s i r i,s a q l a,k i s t eː,s a k l a,ʒ a s ɯ r,ʥ a ʃ ɯ r,j a ʃ ɯ r,t ɯ q,tɕ a z ɯ r,k yː ø ʃ y t,ʥ a ʃ ɯ r,j a ʃ ɯ r,ʨ aː z ə r,j a s ɯ r,s u q,j a ʃ u r,j a ʃ i r,j a ʃ ɯ r,tɕ a ʒ ɯ r,ʥ a ʒ ɯ r,j a ʃ ɯ r,tɕ aˁ h i r,s a k l a,j ɯ ɣ ʃ ɯ r,tɕ a ʒ ɯ r,j o ʃ u r,j a ʃ i r,s a h ɯ a r
102_hitbeatv,v u r,s o q,h u ɣ,ɕ a p,u r,u r,o g u s,d yː,u r,u r,j a n tɕ,s o q,s a p,v u r,s o q,u r,s o q,s o q,s o q,t o q ɯ,tɕ a p,p e r,ʃ a p,s o q,s u q,q aˁ q,v u r,u r,s o q,u r,u r,o ɣ u s
103_holen,d e ʃ i k,t e ʃ i k,t i ʃ e k,ʃ ə d ə k,,t e ʃ i k,yː t,d e l i k,t e s i k,t e ʃ i k,t e ʃ i k,t e s ĭ k,t i z ĭ k,t e p l y k,t e ʃ i k,t e ʃ i k,y d y k,t e s i k,t e ʒ i k,y t,,t e l ɯ q,t e ʒ i k,y j t,t i ʃ e k,d e l ĭ k,d e l i k,d e ʃ i k,d e ʒ i k,t ø ʃ y k,t e ʃ i k,χ a j a ɣ a s
104_hornn,b u j n u z,,m ø g ø ð,m ŏ j r a g a,m u ŋ u s,b o j n u z,m u o s,b u j n u z,m y j i z,m y j y z,m y ŋ y z,m y j ĭ z,m y y s,,m y j y z,m y j y z,m y y s,m y j i z,m y y s,m y j y z,m o ŋ u s,m o ŋ u s,m yː s,m y y s,m ø g e z,m i i s,b o j n u z,,m ɯ j ɨ s,m y ŋ g y z,,m u o s
105_hot,i s t i,i s y,e θ e,v ø̆ r i,i sː i,s ɯ ʥ a q,i t iː,s ɯ ʥ a k,ɯ sː ɯ,i sː i,i sː i,ɯ s t ɯ q,ĭ z ĭ g,,ɯ s ɯ q,i sː i,i z ĭ ɣ,i sː i,i z i g,i s i g,ɯ sː ɯ,i sː ɯ g,i z i g,i z y,e sː e,iˁ s ĭ ɣ,s ɯ ʥ a k,ɢ ɯ z ɢ ɯ n,i z i g,i sː i q,i sː i q,i t iː
106_housen,e v,y,o j,ɕ u r t,ø w,e v,,e v,y j,y j,y v,y j,t u r a,h æ v,y j,y j,æ p,y j,e m,e v,ø j,j y,e m,t u r a,ø j,ø ɣ,e v,,,ø j,u j,
107_how,n e tɕ æ,n ɛ ts i k,q a l a j,m ə n l e,n e tɕ i c,n a s ɯ l,k a j t a k,n e,q a l a j,q a l a j,n e tɕ i k,q a l a j,χ a j d i,n æ t æ j d æ,q a n d a j,n e tɕ i k,q a j n a r,q a l a j,q a n a j ɯ p,q a l t ɯ,n e tɕ u χ,n a ɣ u,q a j d e,q a n d ɯ j,n i tɕ e k,q a nʲ ʨ a p,n a s ɯ l,n æ h i l i,q a n tɕ a p,q a n d a q,q a n d a j,χ a j d a χ
108_huntv,o v a + tɕ ɯ χ,a t ɯ ʃ,a w l a,t ɯ t,uː l a,a v l a,b u l t aː,a w l a,a w l a,u w u ɣ a + b a r,a v l a,a w l a,a ŋ n a,t æ z y r,a ŋ tɕ ɯ l ɯ q + q ɯ l,ɣ a w + e t,t a j ɣ a l a,a ŋ ʃ ɯ l a,a ŋ n a,a v l a,e r t a χ + e t,t i g,a ŋ n a,a ŋ d a,a w l a,a ŋ n a,a v l a,a w l a,a ŋ n a,o l a,ɔ v l a,b u l t aː
109_icen,b u z,m o s,b o ð,p ŏ r,b u s,b u z,b uː s,b u z,m u z,b u z,b u z,m u z,p u s,b uː z aː q,m u z,b u z,p u s,b u z,b u s,,t o ŋ s ɯ,p ɯ z,m u s,t o ʃ,b o z,t oˁ ʃ,b u z,b u z,d o ʃ,m u z,m u z,m uː s
