Cognate_ID	Ahoe	Arem	CuoiTanHop	CuoiThaiHoa	Jahai	Khmu	Kri	KriPhoong	Liha	LihaNVL	Malang	MalengBro	MaliengHT	MaliengQB	May	MuongBi	MuongHB	MuongSL	MuongTH	NguonCL	NguonYT	Pakatan	Phong	Ruc	Sach	ThavungF	ThavungPS	ThavungS	ThoCuoiCham	ThoLangLo	Toum	Vietnamese
100_17_breastudder			ʔ u ¹²	z u ³⁵																ʔ u ³									ʔ uː ³	ʔ uː ³		
101_17_breastudder		n ɒːi̯													n ɔi̯ ⁴									n ɔ̣/ɔ j	n ɔː j ³							
102_17_breastudder																											t ə m ʔ ə́/ə k	t ə m ʔ ə́/ə k				
105_18_chest				ŋ ɯ̆ k ⁵⁴													ŋ ə k ⁸/⁵³	ŋ ə k ⁸/⁵³		ŋ ɨ k ⁸/⁵³										ŋ ɨ k ⁸/⁵³		ŋ ɨ k ²¹²
106_18_chest		k ə t ì/i e̯/e ŋ	t ɑ ŋ ³¹ d ɑ ŋ ²²													đ/ð ư/u ơ/o n g																
110_18_chest						ʔ ɔ k					ʔ ə k											ʔ ɤ̆ k ³⁴				ʔ ə k ¹	t a m ʔ ə́/ə k					
111_18_chest							k a c ɤ ³	k a c ɤ ³³				k a c ɤ ³	k a c ɤ́/ɤ h	k a c ɤ́/ɤ h																		
114_19_child	k ɑː n	k ɒ n	k ɒ n ²²	k ɔ n ³²	k ɛ n	k ɔː n			k ɔː n						k ɔ n ¹					k ɔ n ¹	k ɔ n ¹		k ɔː n	k ɔ n		k ɔː n ¹	k ɔ̂ː/ɔː n	k ɔ̂ː/ɔː n			k ɔː n	k ɔː ŋ ³³
115_19_child								k a d ɛ ³³ ʔ			k a d ɛː ⁴	k a d ɛː ³				đ/ð é/e t	d ɛː t ⁷/⁵²		d ɛː t ⁷/⁵²			k a d ɛ ³⁴³ˀ/³⁴³							d ɛː t ⁷/⁵²	d ɛː t ⁷/⁵²		
117_20_burnintrbealightv		tɕ aː lʼ/lˀ	c ɑ̆ l ¹²	c ɑ̆ n ³⁵				k a c ă l ³³ ʔ								cʰ ẳ/a l										c a l ¹						c ai̯ ⁴⁵
118_20_burnintrbealightv																				p ɔ ŋ ²	b ɔ ŋ ⁶/⁵¹											
119_20_burnintrbealightv									p l ao t		p ə l ɔː t ˀb u r n e d '/ʔ												p l oː k								p l ao t	
127_21_fingernailclaw						t mʰ m ɔː ŋ										m ỏ/o n g tʰ ay/ai				m ɔ ŋ ³												m ɔ ŋm ⁴⁵
129_21_fingernailclaw	k ᵊ/ə s a m		s ɑ̆ m ²²				k a ɕ ă m ⁴	k a s ă m ³²³	s a m	s a m ³³	k ə s a m	k r s a m ³	k a ɕ ă m ⁴	k ɯ ʃ ǎ/a m								k a s ă m ³⁴³ˀ/³⁴³	k s a m			k s a m ¹	k a s â/a m	k a s â/a m	s a m ¹		s a m	
12_2_2syou	m ʊː	m ɯ̀i̯/ɯi̯	m i ⁵⁴	m i ³³	m i ʔ	m eː 'you/ʔ j ou '/ʔ			m əi		m iː		a m ɤi̯ ³²	a m i	ʔ a m i ¹								m iː	m i	m i		m i ¹		m iː ²	m ə j ²	m ei	m ai̯ ²¹
130_21_fingernailclaw		n̩ t ɒ ŋ			k a t ɔ̃ ŋ c j a s										k u t o ŋ ¹									k ə̆ n t o ŋ	k a t oː ŋ ¹							
