Cognate_ID	Dayang	Jiulong	Lanping	Longxi	Mianchi	Niuwozi	Qinghua	Taoba	Taoping	Wadu	Yonghe
100_house		tɕ ĩ ³⁵	tʃ ə̃ ⁵⁵	tɕ é/e + k ù/u	tɕ í/i	tʃ ĩ ᴴ/⁵	tʃ ə̃ ⁵⁵	tɕ ø̃ ⁵⁵	tɕ i ⁵⁵ + k o ³³	tʃ ṍ/õ	tɕ í/i
101_joint	t ɐ + ts ɛ̌j/ɛi	ts ɛi ³⁵	ts i ⁵⁵								
102_lambkid		j i ⁵⁵ + ts ɿ ⁵⁵	ʒ ɑ̃ u ⁵⁵ + l i ⁵⁵								
103_laugh	ʂ ɑ̆/ɑ	ʂ ɑ ¹¹ + ʂ ɑ ⁵⁵	ʃ ɑ ¹³	dz à/a	ɖʐ à/a	ʴ̥/ɹ̥ a R/ɹ	ʃ ɑ ¹³	ʂ a ³⁵	ɖʐ a ³³	n ɐ + ɻ̥ æ̆̃/æ̃	ɖʐ ɑ̆/ɑ
105_leaf		p ɑ ⁵⁵	s ɐ ¹³			s ɜ ᴸ/¹ + p ɑ ᴴ/⁵	s ɐ ¹³ + f p ɑ ⁵⁵	p a ³⁵		p ɑ̆/ɑ	
106_leanofmeat							ɖʐ ə ¹³ + t i ⁵⁵	ɖʐ ɐ ³⁵ + m ə ⁵³	ɖʐ o ²⁴¹		
107_learnteach		s u ɛ̃ ⁵⁵	s y ⁵⁵ + s y ɛ̃ ¹³				x ə ¹³ + s y ẽ ⁵⁵	x ə ³⁵ + s u ẽ ⁵³			
108_learnteach				s ó/o	s o ú/u				t ə ¹³ + s y ⁵⁵	s w ẽ́/ẽ	
109_left		w e ³⁵	u/w ɑ ¹³				u/w ɑ ¹³		χ g y ³³	w ɛ̌j/ɛi	
10_black	ȵ ɑ̆/ɑ N/⁰		ȵ ɑ ³⁵	ȵ í/i	n ə̀/ə	n j ɑ ᴿ/¹⁵	ȵ ɑ ³⁵	ȵ ɛ ³⁵ + m ə ⁵³	ȵ i ⁵⁵ + ȵ i ³¹	n j æ̆/æ	ȵ ĭ/i
112_life		ts i ³⁵		ts ɨ́/ɨ							
115_liver	ts w ĭ/i	ts u ³⁵	ts y ɛ̃ ⁵⁵	ɕ í/i + ɹ á/a	s è/e	ts ɥ ɛ̃ ᶠ/⁵¹	ts y ɛ̃ ⁵⁵	ts u ẽ ⁵³	s i/j e ⁵⁵	ts w ẽ́/ẽ	
116_lock			s ɑ ¹³		ʂ u/w à/a		s ɑ ¹³		q ɑ ⁵⁵ + s u/w ɑ ³¹		
117_lowerseatnothonored				ɹ à/a + l ì/i	ʐ í/i + l è/e						
118_lung	tsʰ ʉ̆/ʉ	tsʰ u ⁵⁵	tsʰ y ¹³	tsʰ ù/u	tsʰ o ù/u	tsʰ ʉ ᴿ/¹⁵	tsʰ y ¹³	tsʰ ø ¹³	tsʰ u ⁵⁵	tsʰ ʉ̆/ʉ	tsʰ ù/u + pʰ ɑ́/ɑ
11_blind						k u ᴴ/⁵				q ŭ/u	
120_meatflesh	ʃ tʃ ɨ̆/ɨ	ʃ i ⁵⁵	ʃ ɤ ⁵⁵			ʂ ɨ ᶠ/⁵¹	ʃ ɤ ⁵⁵	ʂ ə ⁵³	tʃʰ ɿ ⁵⁵		
121_melt										ɖʐ æ̆/æ	ɖʐ ə̆/ə
122_moon		ɬ i ⁵⁵ + ŋ ɯ ⁵⁵	ɬ i ⁵⁵	l ə̀/ə	ɬ ə̀/ə	l̥ i ᴴ/⁵	ɬ i ⁵⁵	ɬ i ⁵⁵	ɕ y ³³ + ɕ y a ⁵⁵		ɬ ì/i + ɕʷ ǽ/æ
124_mushroom	m r ẽ̌/ẽ	m ỹ ³⁵	m ʐ i ¹³	m ə̀/ə + ə̀˞/ə˞	m ò/o + ts ú/u		m ʐ i ¹³	m i ³⁵	m ɑ ³¹ + ʐ u ³³	m ĭ/i	m ù/u + x í/i
125_name	m ɑ̃́/ɑ̃	m ã ³⁵	m a ⁵⁵	z ə̀/ə + m ú/u		m ɑ̃ ᴴ/⁵	m a ⁵⁵	m ɛ̃ ⁵⁵	χ m ə ⁵⁵	m ǽ̃/æ̃	m ə́/ə ʴ/ɹ
126_narrow		tɕʰ y ¹¹ + tɕʰ y ⁵⁵	ʃ tʃ ə ⁵⁵	tɕʰ á/a			s tʃ ə ⁵⁵	ʂ ə ⁵⁵ + m ə ⁵³	tɕʰ e ³³		
127_needle	qʰ ŏ/o	qʰ o ⁵⁵	qʰ o ⁵⁵	χ è/e i	χ ɛ̀/ɛ	kʰ o ᴿ/¹⁵	qʰ o ⁵⁵	qʰ o ³⁵	χ e ³³	qʰ ŭ/u	χ ə̆/ə
128_nephew	d y ŭ/u		d i u ¹³	dʑ ì/i + qʰ u á/a	dʑ ì/i		d i u ¹³	d i u ³⁵	dʑ i ³¹		
12_blood	s ă/a	s ɛi ³⁵	s a ¹³	s à/a	s à/a	s ɜj/ɜi ᴿ/¹⁵	s a ¹³	s e ³⁵	s a ³³	s ɛ̌j/ɛi	s ɑ̆/ɑ
