Cognate_ID,boluotujia,dianfangtujia,duogutujia,tanxitujia,tashatujia
100_yellow,x o ʉ ³³,w ã ²¹ + k a ⁵⁵ + l a ⁵⁵,u ã ²¹ + k a ⁵³ + l i e ⁴⁴,ħ ʉ ³³,w a n ²¹ + k a ⁵⁵ + l a ⁵⁵
101_far,ɣ o ʉ ²¹ + i ⁵³,ɣ ɨ e ²¹,ɣ ɨ e ²¹,ʔ ʉ ¹³ + j i ⁵⁵,
102_heavy,d o ʉ ¹³,t u ⁵⁵,t u ⁵³,d ʉ ³⁵,t u ²¹
103_near,ɣ o ʉ ²¹ + dz a ²¹,ts ũ ⁵⁵,ts ũ ⁵³,ʔ ʉ ¹³ + dz a ³³,
104_salt,a ²¹ + s i ⁵³,l a ³⁵ + p u ³⁵,l a ²⁴ + p u ⁴⁴,ʔ a ²¹ + s i ⁵⁵,l a ²⁴ + p u ⁵⁵
105_short,dz o ʉ ¹³,ts ũ ⁵⁵,ts ũ ⁵³,dz ʉ ¹³,ts ɔ ŋ ²¹
106_snake,t ɨ j ⁵³ + p ɨ e ⁴⁵ + n ũ ³³,w o ⁵⁵,u o ⁵³,t e i ³³ + pʰ ɨ e ³⁵,w ɔ ²¹
107_thin,s o ²¹ + s o ⁵³,s a ²¹ + s a ³¹,s a ²¹ + s a j ⁴⁴,s o ²¹ + s o ⁵⁵,s a ²¹ + s a ²¹
108_wind,z e ²¹ + ŋ e j ⁴⁵,z e ³⁵ + s u ⁵⁵,z e ²⁴ + s u ⁵³,z e ²¹ + ŋ ɨ ²¹,z ɤ ²⁴
109_worm,k a ⁵³ + d o ʉ ¹³ + s e ²¹,kʰ u a j ³⁵ + tɕʰ i ⁵⁵ + l a ⁵⁵,kʰ u a j ²⁴ + tɕʰ i ²¹ + l a ²¹,k a ²¹ + d ʉ ³⁵ + s e ²¹,kʰ w a j ⁵⁵ + tɕʰ i ⁵⁵ + l a ⁵⁵
10_bone,kʰ a ²¹ + kʰ ɨ e ⁵³,l u ⁵⁵ + k a ⁵⁵,l u ⁴⁴ + k a ⁴⁴,kʰ a ²¹ + k ɨ ²¹,l u ⁵⁵ + k a ⁵⁵
110_year,,n ũ ²¹,,n i ʉ ³⁵,l ɔ ŋ ⁵⁵
