ID,Form_ID,Form,Cognateset_ID,Doubt,Cognate_Detection_Method,Source,Alignment,Alignment_Method,Alignment_Source
ingrian-82_i-1-1,ingrian-82_i-1,m.i.æ,2293,False,expert,Syrjaenen2013,,,
komipermyak-82_i-1-1,komipermyak-82_i-1,m.e,2293,False,expert,Syrjaenen2013,,,
komizyrian-82_i-1-1,komizyrian-82_i-1,m.e,2293,False,expert,Syrjaenen2013,,,
nganasan-82_i-1-1,nganasan-82_i-1,m.ə.n.ə,2293,False,expert,Syrjaenen2013,,,
selkup-82_i-1-1,selkup-82_i-1,m.ɑ.n,2293,False,expert,Syrjaenen2013,,,
udmurt-82_i-1-1,udmurt-82_i-1,m.o.n,2293,False,expert,Syrjaenen2013,,,
erzya-82_i-1-1,erzya-82_i-1,m.o.n,2293,False,expert,Syrjaenen2013,,,
erzya-1_all-1-1,erzya-1_all-1,v.e.ɕ.e,2296,False,expert,Syrjaenen2013,,,
ingrian-1_all-1-1,ingrian-1_all-1,k.ɑ.i,2294,False,expert,Syrjaenen2013,,,
komipermyak-1_all-1-1,komipermyak-1_all-1,b.ɯ.d.ɤ.s,2297,False,expert,Syrjaenen2013,,,
komizyrian-1_all-1-1,komizyrian-1_all-1,b.ɯ.d,2297,False,expert,Syrjaenen2013,,,
komizyrian-1_all-2-1,komizyrian-1_all-2,s.t.ɑ.v,2300,False,expert,Syrjaenen2013,,,
nganasan-1_all-1-1,nganasan-1_all-1,b.ə.n.s.ə,2296,False,expert,Syrjaenen2013,,,
selkup-1_all-1-1,selkup-1_all-1,m.u.n.t.ə,2301,False,expert,Syrjaenen2013,,,
udmurt-1_all-1-1,udmurt-1_all-1,v.ɑ.ɲ.m.ɯ.z,2302,False,expert,Syrjaenen2013,,,
erzya-2_and-1-1,erzya-2_and-1,i,2303,False,expert,Syrjaenen2013,,,
ingrian-2_and-1-1,ingrian-2_and-1,j.ɑ,2309,False,expert,Syrjaenen2013,,,
ingrian-2_and-2-1,ingrian-2_and-2,i,2303,False,expert,Syrjaenen2013,,,
ingrian-2_and-3-1,ingrian-2_and-3,t.ɑ,2312,False,expert,Syrjaenen2013,,,
komipermyak-2_and-1-1,komipermyak-2_and-1,i,2303,False,expert,Syrjaenen2013,,,
komipermyak-2_and-2-1,komipermyak-2_and-2,d.ɑ,2312,False,expert,Syrjaenen2013,,,
komizyrian-2_and-1-1,komizyrian-2_and-1,i,2303,False,expert,Syrjaenen2013,,,
komizyrian-2_and-2-1,komizyrian-2_and-2,d.ɑ,2312,False,expert,Syrjaenen2013,,,
