Cognate_ID	erzya	ingrian	komipermyak	komizyrian	nganasan	selkup	udmurt
100_many	l ɑ m o	m o n i	u n ɑ	u n ɑ	ŋ u ŋ k ə ɡ ə	k o tɕ tɕ ə	t r o s
101_meatflesh	s i v e ʎ	l i h ɑ	j ɑ i	j ɑ i	ɕ ɑ h ɯ	u ə̠ tɕ ə	s i ʎ
102_moon	k o v	k uː	t ɤ l i ɕ	t ɤ l ɯ ɕ	k i tʃ ə ð əː	i r æ	t o l e ʑ
103_mother	ɑ v ɑ	e m æ	m ɑ m	m ɑ m	ɲ e m ɯ	ɤ m ə	m u m ɯ
104_mountain	p ɑ n d o		k e r ɤ s	tɕ o j	b ə r u	q ɤː	ɡ u r e ʑ
105_mouth	k u r ɡ o	s uː	ɤ m	v o m	ŋ ɑ ŋ	ɑː ŋ	ɯ m
106_name	ʎ e m	n i m i	ɲ i m	ɲ i m	ɲ i m	n i m	ɲ i m
107_narrow	tʲ e j i ɲ e	k ɑ i d̥ ɑ	dʑ e s k ɯ t	v e k ɲ i	ɕ i k y ə	tɕ u ə̠ s ə	ɕ u b e ɡ
108_near	m ɑ l ɑ s o	l i ɡ̥ i	m ɑ t ɯ n	m ɑ t ɯ n	k ɑ dʲ ɑ	tʃ ɑ tʃ æ	m ɑ t ɯ n
109_neck	k i rʲ ɡ ɑ	k ɑ ɡ̥ l ɑ	ɡ o ʎ ɑ	ɕ i l ɯ	b ɑ k ə ð ə	s oː ʎ	tɕ ɯ r t ɯ
10_belly	p e k e	v ɑ t s ɑ	k ɯ n ɤ m	r u ʃ + k u	tʃ ɑ j b ə	p e r k ə	k ɤ t
110_new	o d	uː z	v i ʎ	v ɯ ʎ	m e ɲ dʲ ɑ dʲ e	ɕ e n t ə	v ɯ ʎ
111_night	v e	øː	o j	v o j	h iː	p i	u j
112_nose	s u d o	n e n æ	n ɯ r	n ɯ r	ŋ y ŋ k ə	p u tɕ ə	n ɯ r
113_not	ɑ	e i	ɑ b u	o z	ɲ i s ɯ	ɑ ɕ ɑ	u z
115_one	v e j k e	y k s	ɤ tʲ i k	ɤ tʲ i	ŋ u ʔ ə i ʔ	o k k ə r	o d i ɡ
116_other	o m b o	t o i n	m ɤ d	m ɤ d	h u n s əː	ɑː m ə	m u k e t
117_person	l o m ɑ ɲ	i h m iː n	m o r t	m o r t	ŋ ɑ n ɑ ʔ s ɑ	q u m	ɑ dʲ ɑ m i
118_play	n ɑ l k ɕ e m s	p e l ɑ d̥ ɑ	o r s n ɯ	v o r s n ɯ	s ɑ n i r ɕ ɑ	s ɑː n t ə r	ʃ u d ɯ n ɯ
