ID,Form_ID,Form,Cognateset_ID,Doubt,Cognate_Detection_Method,Source,Alignment,Alignment_Method,Alignment_Source
Mono-1_nonot-1-1,Mono-1_nonot-1,qatuʔu,1_nonot-1,False,expert,,,,
Mono-2_many-1-1,Mono-2_many-1,ewa,2_many-1,False,expert,,,,
Mono-3_one-1-1,Mono-3_one-1,sɨmɨ,3_one-1,False,expert,,,,
Mono-4_two-1-1,Mono-4_two-1,waha,4_two-3,False,expert,,,,
Mono-5_big-1-1,Mono-5_big-1,papa,5_big-1,False,expert,,,,
Mono-6_old-1-1,Mono-6_old-1,mua-,6_old-1,False,expert,,,,
Mono-7_small-1-1,Mono-7_small-1,ino-cicciʔ,7_small-2,False,expert,,,,
Mono-8_short-1-1,Mono-8_short-1,toppo-ciccini,8_short-4,False,expert,,,,
Mono-9_long-1-1,Mono-9_long-1,ɨti,9_long-1,False,expert,,,,
Mono-10_new-1-1,Mono-10_new-1,pɨtɨt-tɨ-ppɨ,10_new-1,False,expert,,,,
Mono-11_good-1-1,Mono-11_good-1,cawu,11_good-1,False,expert,,,,
Mono-12_round-1-1,Mono-12_round-1,attɨp-pono,12_round-3,False,expert,,,,
Mono-13_heavy-1-1,Mono-13_heavy-1,nɨʔnɨkkwɨ,13_heavy-1,False,expert,,,,
Mono-14_dry-1-1,Mono-14_dry-1,pasa-hkɨʔ,14_dry-1,False,expert,,,,
Mono-15_sharpblade-1-1,Mono-15_sharpblade-1,kɨwaa,15_sharpblade-1,False,expert,,,,
Mono-16_dirty-1-1,Mono-16_dirty-1,totsábi,16_dirty-1,False,expert,,,,
Mono-17_full-1-1,Mono-17_full-1,tuyuha,17_full-7,False,expert,,,,
Mono-18_cold-1-1,Mono-18_cold-1,ɨcɨʔɨ,18_cold-1,False,expert,,,,
Mono-19_hot-1-1,Mono-19_hot-1,ɨtɨʔɨ,19_hot-1,False,expert,,,,
Mono-20_woman-1-1,Mono-20_woman-1,hɨɨppiʔ,20_woman-8,False,expert,,,,
Mono-21_man-1-1,Mono-21_man-1,nana,,False,expert,,,,
Mono-22_person-1-1,Mono-22_person-1,nɨɨmmɨ,22_person-1,False,expert,,,,
Mono-23_fish-1-1,Mono-23_fish-1,pakkwi,23_fish-1,False,expert,,,,
Mono-24_bird-1-1,Mono-24_bird-1,ciippaʔ,24_bird-1,False,expert,,,,
Mono-25_dog-1-1,Mono-25_dog-1,pukku,25_dog-1,False,expert,,,,
Mono-26_louse-1-1,Mono-26_louse-1,puiciappi,26_louse-1,False,expert,,,,
Mono-27_snake-1-1,Mono-27_snake-1,toqoqqwa,27_snake-1,False,expert,,,,
Mono-28_tree-1-1,Mono-28_tree-1,wɨnɨp-pɨ,28_tree-8,False,expert,,,,
Mono-29_bark-1-1,Mono-29_bark-1,woʔaggapɨ,29_bark-1,False,expert,,,,
Mono-30_leaf-1-1,Mono-30_leaf-1,gasa,30_leaf-5,False,expert,,,,
Mono-31_root-1-1,Mono-31_root-1,tɨtɨna,31_root-1,False,expert,,,,
Mono-32_seed-1-1,Mono-32_seed-1,pusi,32_seed-1,False,expert,,,,
Mono-33_blood-1-1,Mono-33_blood-1,"paa""",33_blood-1,False,expert,,,,
Mono-34_meat-1-1,Mono-34_meat-1,tɨɨnna,34_meat-6,False,expert,,,,
Mono-35_skin-1-1,Mono-35_skin-1,sippoʔi,35_skin-13,False,expert,,,,
Mono-36_bone-1-1,Mono-36_bone-1,oho,36_bone-1,False,expert,,,,
Mono-37_greasefat-1-1,Mono-37_greasefat-1,yuhu,37_greasefat-1,False,expert,,,,
Mono-38_egg-1-1,Mono-38_egg-1,noyo,38_egg-1,False,expert,,,,
Mono-39_horn-1-1,Mono-39_horn-1,awa,39_horn-1,False,expert,,,,
Mono-40_tail-1-1,Mono-40_tail-1,qwaci,40_tail-1,False,expert,,,,
Mono-41_feather-1-1,Mono-41_feather-1,qasa,41_feather-1,False,expert,,,,
Mono-42_hair-1-1,Mono-42_hair-1,woö,42_hair-1,False,expert,,,,
Mono-43_head-1-1,Mono-43_head-1,woö,43_head-1,False,expert,,,,
Mono-44_ear-1-1,Mono-44_ear-1,naqqa,44_ear-1,False,expert,,,,
Mono-45_eye-1-1,Mono-45_eye-1,pusi,45_eye-1,False,expert,,,,
Mono-46_nose-1-1,Mono-46_nose-1,"mupi""",46_nose-1,False,expert,,,,
Mono-47_mouth-1-1,Mono-47_mouth-1,tɨppe,47_mouth-1,False,expert,,,,
Mono-48_tooth-1-1,Mono-48_tooth-1,tawa,48_tooth-1,False,expert,,,,
Mono-49_tongue-1-1,Mono-49_tongue-1,eqo,49_tongue-1,False,expert,,,,
Mono-50_clawnail-1-1,Mono-50_clawnail-1,-situ,50_clawnail-1,False,expert,,,,
Mono-51_foot-1-1,Mono-51_foot-1,kɨkkɨ,51_foot-1,False,expert,,,,
Mono-52_knee-1-1,Mono-52_knee-1,ton-nopoto,52_knee-1,False,expert,,,,
Mono-53_hand-1-1,Mono-53_hand-1,maya,53_hand-1,False,expert,,,,
Mono-54_arm-1-1,Mono-54_arm-1,pɨtta,54_arm-1,False,expert,,,,
Mono-55_rope-1-1,Mono-55_rope-1,tɨqappo,55_rope-1,False,expert,,,,
Mono-56_belly-1-1,Mono-56_belly-1,gohi,56_belly-1,False,expert,,,,
Mono-57_navelbellybutton-1-1,Mono-57_navelbellybutton-1,poci,57_navelbellybutton-1,False,expert,,,,
Mono-58_neck-1-1,Mono-58_neck-1,kutta,58_neck-1,False,expert,,,,
Mono-59_breast-1-1,Mono-59_breast-1,piciʔ,59_breast-1,False,expert,,,,
Mono-60_heart-1-1,Mono-60_heart-1,piwɨ,60_heart-1,False,expert,,,,
Mono-61_liver-1-1,Mono-61_liver-1,nɨmiɨ,61_liver-1,False,expert,,,,
Mono-62_drink-1-1,Mono-62_drink-1,hipi,62_drink-1,False,expert,,,,
Mono-63_eat-1-1,Mono-63_eat-1,tɨkka,63_eat-1,False,expert,,,,
Mono-64_bite-1-1,Mono-64_bite-1,kɨh-yɨ,64_bite-1,False,expert,,,,
