Cognate_ID,Acoma,AztecPochutla,AztecTetelcingo,AztecZacapoaxtla,Cahuilla,Chemehuevi,ClassicalAztec,Coahuilteco,Comanche,Comecrudo,Cora,Cotaname,Cupeno,Eudeve,Gabrielino,Guarijio,Hopi,Huichol,Karankawa,Kawaiisu,Kiowa,Kitanemuk,Luiseno,Mayo,Mono,NorthernPaiute,NorthernTepehuan,Opata,Pannamint,Papago,PimaDeOnavas,Pipil,ProtoKeresan,SanJuanPuebloTewa,SantaAna,SantaDomingo,Serrano,ShoshoniGosiute,SoutheasternTepehuan,SouthernPaiute,SouthernUte,Tarahumara,Tubar,Tubatulabel,Yaqui,Zuni
100_mountain-1_100_mountain,,,,,,,,,t o y/j a + v i,,,,,,,,,,,,,,,,t o y/j a,,,,t o y/j a + p i n,,,,,,,,,t o y/j a + p i n,,,,,,,,
100_mountain-2_100_mountain,,,,,q á/a w i + ʃ,k ai p a,,,,,,,,ts a v í/i t,x ai,k a w í/i,,,,k eː + v i,kˀ ó/o p,k a j/dʒ ts,q a w í/i i + tʃ a,k á/a w i,,k ai p a,ts a b u l i ts a,ts ä/æ g ui,,,,,,,,,q aiː + ts,,,k ai p a,k á/a a + p i,g a w í/i,k a v,,k á/a w i,
100_mountain-3_100_mountain,,,t e p i e + t l,t e p eː + t,,,t e pː eː + t l,,,,,,,,,,t ɨː w i,,,,,,,,,,,,,,,t e p e + t,,,,,,,,,,,,,,
100_mountain-40_100_mountain,kʲ ú/u t i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kʲ ú/u t í/i,,kʲ ú/u t í/i,kʲ ú/u t i,,,,,,,,,,
100_mountain-9_100_mountain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d o ʔ a g,d o ʔ aː g,,,,,,,,,,,,,,,
101_red-1_101_red,,,,,,a ŋ k a + k a,,,e k a,,,,,,,,,,,a g a,,,,,a qː a + p o n o,a tsː a,,,a n k a,,,,,,,,,e n k a,,a ŋ k ä/æ,a kː á/a + k a t ɨ,,,,,
101_red-2_101_red,,,,,s é/e l n e k + i ʃ,,,,,,,,,,,s e h t á/a n a + m e,,,,,,,,,,,,s e tː a,,,,,,,,,ṣ/ʂ ɨ r iː r i + ˀn,,,,,s e r á/a k a + m e,,,,
101_red-4_101_red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s + w ɨ g i,s + v ɨ g,,,pˀ î/i ʔ,,,,,b ɨ ʔ,,,,,,,
101_red-5_101_red,,,tʃ i tʃ i l t iː k,tʃ iː tʃ iː l t i k,,,tʃ i + tʃ iː l + t i k,,,,,,,,,,,,,,,,,,,,,,,,,tʃ i l t i k,,,,,,,,,,,,,,
101_red-7_101_red,,,,,,,,,,,,,,s í/i qu/k e i,,,,,,,,,,s í/i k i l i,,,,,,,,,,,,,,,,,,,,,s í/i k i + ʔ i,
102_green-1_102_green,,,,,,,,,,,,,,,,,,,,p u h i + g i d ɨ,,,,,p u h i + t u w a,p u h i,,,,,,,,pˀ o e s eː w i ʔ,,,,p ui,,,,,,,,
102_green-2_102_green,,,,,,s a w a + k a,,,,,,,,,,,s a kʷ a,,,,,,,,,,,,s a kʷ a,,,,,,,,,,,s a kʷ a,s a kʷ á/a + k a t ɨ,,,,,
102_green-40_102_green,kʲ ủ/u i s k a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s k iː,,kʲ ù/u i s k ī/iː,kʲ û/u i s k ī/iː,,,,,,,,,,
102_green-4_102_green,,,,,,,,,,,,,,,,,,,,,,,,,,,t ú/u dː o g ui,,,s + tʃ ɨː d a g i,s + t ɨː d o g,,,,,,,,,,,,,,,
102_green-5_102_green,,ʃ uy/ui,ʃ o ʃ o k t iː k,ʃ o ʃ o k t i k,,,s o s o w i a,,,,,,,,,,,,,,,,,,,,,,,,,ʃ u ʃ u w i k,,,,,,,,,,,,,,
102_green-6_102_green,,,,,,,,,,,,,,s i d ei,,s i ó/o n a + m e,,,,,,,,s í/i a l i,,,,s i d ŏ i,,,,,,,,,,,,,,s i y/j ó/o n a + m e,,,s í/i a l i,
102_green-7_102_green,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,h u lˀ h u lˀ,,
103_yellow-1_103_yellow,,,,,,o a s i a k + k a,,,o h a,,,,,,,,,,,,,,,,o h a + p o n o,o h a,o a m a,,o a,s + o a m,s + o a m,,,,,,,o a,u a m,o ä/æ,o á/a + kː a t ɨ,,,ú/u a m,,
103_yellow-2_103_yellow,,,,,,,,,,,,,,s a v ei,,s a ˀw a t ó/o + m e,,,,,,,,s a w á/a r i,,,,s a g u ă i,,,,,,tsˀ áy/ai y/j i ʔ,,,,,,,,s a w a r ó/o a + m e,,,h uː s ai,
103_yellow-3_103_yellow,,,k o s t iː k,k o s t i k,,,k o s + t l i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103_yellow-40_103_yellow,kʲ ú/u tʃ í/i n̉/n i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kʲ ú/u tʃ i n̉/n ɪ,,kʲ ú/u tʃ i n̉/n ɪ,kʲ ú/u tʃ i n̉/n ɪ,,,,,,,,,,
104_white-13_104_white,,,,,,,,,,,,,,,,,,,,,tˀ ã ę/ẽ,,,,,,,,,,,,,tsˀ æ̧/æ̃ ʔ i ʔ,,,,,,,,,,,,
