Cognate_ID	ChiapasZoque	LowlandMixe	NorthHighlandMixe	OlutaPopoluca	SanMiguelChimalapaZoque	SantaMariaChimalapaZoque	SayulaPopoluca	SoteapanZoque	SouthHighlandMixe	TexistepecZoque
100_yellow-1_100_yellow	p u ʔ ts ə	p u ʔ ts	p υ/ʊ ʔ ts	p u ʔ s + p u ʔ s	p u ʔ ts + p u ʔ ts	p u ʔ ts i ʔ	p u ʔ ts + p u ts	p u ʔ u tʃ	p u ts	p u ʔ u tʃ + e ʔ
101_far-1_101_far		h ə g e m	h e k u m						h æ k æ m	
101_far-4_101_far	j a ʔ a j				j a h + ə ʔ	j a ʔ h i				
101_far-5_101_far								h u ʔ u m ə		h u ʔ u m
102_heavy-1_102_heavy	h e m e ts		h e m ɨ ts		h e m e ʔ ts	h e m e ts				
102_heavy-2_102_heavy		h e m ʃ j						ts a k ʃ + ɲ i	h e ʔ m ʃ j	ts a ʔ k s + n a ʔ
103_near-1_103_near		w i n g o n							h ə n k o n	
103_near-2_103_near	t o m e		t ə m h i	t o m e ʔ k	t o m + e ʔ	t o m e ʔ	t o m			
103_near-3_103_near								t a ʔ a ɲ i		t a ʔ a n
104_salt-1_104_salt	k a n a	k aː n	k aː n	k aː n a	k a n a	k a n a	k aː n	k aː n a	k aː n	k aː n
105_short-1_105_short	k o n o	k o n	k o n a	k o n o ʔ k	k o n + o ʔ	k o n o ʔ			k o n	
105_short-2_105_short								n o k o		d o kː o ʔ
106_snake-1_106_snake	ts a n	ts a ʔ n j	ts aː ʔ n	ts a n a ʔ j	ts a h i n	ts a h i n	ts a n a j	ts aː ɲ	ts a ʔ a n j	ts aː ɲ
107_thin-1_107_thin		p e h j	p e h i			p i ʔ i ʔ	p e h a j		p e h j	
107_thin-2_107_thin				h ə t ə ʔ t						
107_thin-3_107_thin	ts e j a									
107_thin-4_107_thin										w aː j e ʔ
107_thin-5_107_thin								tʃ e h tʃ e		
108_wind-1_108_wind		p o h	p o h						p o h	
108_wind-4_108_wind	s a w a				ʃ a w a			s aː w a		s aː w
109_worm-1_109_worm	t o ʔ t		n a ʃ + ts aː ʔ n							t o ʔ t
109_worm-2_109_worm		t ə n g							t ə n ə ʔ ə k	
109_worm-4_109_worm				k u m u	k u m u ʔ					
109_worm-5_109_worm						ts u ʔ k i n		ts uː ʔ k i ɲ		ts u ʔ u k e ɲ
10_bone-1_10_bone	p a k	p a h k	p a h k	p a k ə	p a k	p a k	p a h k	p a k	p a h k	p a k
110_year-1_110_year		h ə m ə h t	h υː/ʊː h n t						h ə m ə h t	
110_year-2_110_year				ʃ i v i ʔ t			ʃ i w i t			
110_year-3_110_year	a m e				ʔ a m i n t ə ʔ	a m i n t ə		aː m t j ə j		ʔ a m tʃ e
11_breast-2_11_breast		ts i ʔ i ts + ʔ a n i ʔ i k ʃ							ts e ts k	
11_breast-4_11_breast								n uː n u		d uː n
11_breast-5_11_breast	ts u ʔ ts i				ts u ʔ ts + i ʔ					
12_burntr-1_12_burntr			t oː j							
12_burntr-3_12_burntr				j a k + t o j			a k + t o j			
12_burntr-4_12_burntr	p o ŋ				p o ŋ					
13_clawnail-1_13_clawnail		ʃ oː k j	ʃ əː ʔ k	ʃ oː k i			ʃ oː h k		ʃ oː k j	
13_clawnail-2_13_clawnail	k ə ʔ tʃ u s				k ə ʔ ts u ʃ	k ə ts u s		k ə ts ə s		k ə ʔ + ts u ʔ k s
14_cloud-1_14_cloud			v i n ɨ ts	v i n + h o j e ʔ k	ʔ i n + ə ʔ		w i n + t u k			
14_cloud-4_14_cloud								u k s ə		ʔ u ʔ k s u ʔ
15_cold-1_15_cold			ʃ u ʃ						ʃ u ʃ	
15_cold-5_15_cold	p a k a k							p a g a k		p aː k
15_cold-6_15_cold					w a j a j ʔ	w a j a ʔ j				
16_come-1_16_come			m ɛ ts							
16_come-2_16_come	m i n	m i n			m i n	m i n		m i ɲ	m e n	b e ɲ
16_come-3_16_come				m i n			m i n			
17_die-1_17_die		o ʔ o k	oː ʔ k	oː k			o ʔ k		oː k	
17_die-2_17_die	k a ʔ				k a ʔ	k a ʔ h		k a ʔ		k a ʔ
18_dog-1_18_dog		u k	υ/ʊ k						u k	
18_dog-5_18_dog								tʃ i m p a		tʃ e m p a ʔ
18_dog-6_18_dog					n u ʔ	n u ʔ u				
19_drink-1_19_drink	u h k	u k	υː/ʊː k		ʔ u k	u k		u k	uː k	ʔ u k
19_drink-2_19_drink				uː k			uː k			
1_all-2_1_all		t u ʔ u k + ʔ o k ə j							t u k ə ʔ j	
1_all-5_1_all	m u m u									b u m b e
20_dry-1_20_dry	t ə ʔ ts	t ə ʔ ə ts	t ə ʔ ə h ts	t ə ʔ ə ʔ s	t ə ts + i ʔ	j a k + j ə ts	k u j t ə ʔ ts	k u + t ə ts	t ə ʔ ə ts	t ə ts + k a ʔ
21_ear-1_21_ear	t a ts ə k	t ə ts ʔ a k	t aː ts k	t aː ts əː k	t a ts ə k	t a ts ə k	t aː ts ə k	t aː ts ə k	t a ts k	t aː ts ə k
22_earth-1_22_earth	n a s	n aː ʃ	n aː ʃ	n aː ʃ ə	n a ʃ	n a s	n aː ʃ	n a s	n a ʃ + w i ʔ ɲ ə t	d a s
23_eat-2_23_eat		k a j		k a j			k a j		k æ j	
23_eat-3_23_eat	k ə ʔ s				k ə ʃ	k ə ʔ s + o j		k ə ʔ ə s		k ə ʔ ə s
24_egg-1_24_egg		t u ʔ u t j	t u ʔ u t	t u ʔ t i ʔ k					t u ts a h	
24_egg-3_24_egg	p o k a				p o h o ʔ k	p o ʔ o k				
24_egg-4_24_egg								k a n p u		k a ʔ n p u k
25_eye-1_25_eye	w i n	w iː n	v iː h n	v i n ə			w i h n		w eː n	
25_eye-2_25_eye								i ʃ + k u j		ʔ e ʃ + k u ʔ
25_eye-3_25_eye					w o t ə m	w i t ə m				
26_fatn-1_26_fatn			o n	o n a					o n	
27_feather-1_27_feather	p ə k		p a h k	p ə k ə	p ə k	p ə k		p ə k	p ə h k	p ə k
28_fire-1_28_fire			h əː h n	h ə n ə			h ə h n		h əː n	
28_fire-2_28_fire	h u k ə t ə k					h u k u t ə		h u k t ə		h u k u t
29_fish-1_29_fish		a k ʃ	a h k ʃ				a k ʃ		a k ʃ	
29_fish-2_29_fish	k o k e h			k o ʔ k e	k o k e	k o k e				
2_ashes-1_2_ashes	k u j + h a m	k u j + h aː m			k u j + h a m	k u j + h a m	k u j + h a h m	k u j + h a m		k u j a m
2_ashes-2_2_ashes			h aː h m	h a m ə					h aː m	
30_flyv-1_30_flyv			h ɛ j							
30_flyv-2_30_flyv		k eː k			j u k + k e k	k e k	k eː k	k e k	k æ h k ə ʔ ə k	k e k
31_foot-1_31_foot		t e k j	t e k						t e k j	
31_foot-7_31_foot					m a ŋ + k u j ʔ	m a ŋ + k u ʔ j				
32_full-1_32_full			u ts	u ts i					u h ts	
32_full-6_32_full								k u s + n e		k u s + d e ʔ
32_full-7_32_full					t a ʃ + ə ʔ	j a g + a ŋ + t a s				
33_give-1_33_give		m o ʔ	m ə ʔ ə	m o j			m o j			
33_give-2_33_give	tʃ i ʔ				ts i ʔ	ts i ʔ		tʃ i ʔ		tʃ e ʔ
34_good-1_34_good	o j e	o j	o j	o j a			o j		e j	
34_good-2_34_good					w ə h ə			w əː		w əː
35_green-1_35_green	ts u h ts u	ts u ʃ	ts υ/ʊ ʃ k	t u ʃ u ʔ k	ts u ʃ	ts u h u s	ʃ u ʃ u k	ts uː s	ts u ʃ k	ts uː s
36_hair-1_36_hair	w a j	w aː j	v aː h j	p ə k ə	w a j ʔ	w a ʔ j	p ə h k	w a j	w aː j	w a ʔ j
37_hand-1_37_hand	k ə ʔ	k ə ʔ	k ə ʔ ə	k ə ʔ		k ə ʔ	k ə ʔ	k ə	k ə ʔ ə	k ə ʔ
38_head-1_38_head	k o p a k	k o w a h k	k u v a h k	k o ʔ p a ʔ k	k o p a k		k o p a k	k oː b a k	k ə p aː h k	k o p ə k
39_hear-1_39_hear	m a t o ŋ	m ə d oː g u g ə ʔ	m o t u	m o t o v	m a t o ŋ	m a t o ŋ	m a r a w		m ə t oː	b a t ə ŋ
3_bark-1_3_bark		a k	k ɨ p + a k				a k		a k	
3_bark-2_3_bark	k u ʔ j u + n a k a				k u j + n a k a	n a k a				k u j + d aː k
40_heart-2_40_heart		h uː k j + h o t		h u t u k o t ə						
40_heart-3_40_heart	ts o k o j				ts o k o j ʔ	ts o k o ʔ j				ts oː k o ʔ
40_heart-4_40_heart								aː n a m a h	a n m ə + h a ʔ a n	
41_horn-1_41_horn	w a ʔ		v a h	v a h a			w a h		w a h	w aː ŋ a ʔ
42_i-1_42_i	ə h	əː tʃ	ə ts	əː s		ə tsː i ʔ	əː	ə tʃ	ə ts	ʔ ə ts ə ʔ
43_kill-1_43_kill		j a h + ʔ o ʔ o k	j a k + ʔ oː k	j a k + oː k			a g + o ʔ k		æ k + oː k	
43_kill-2_43_kill	j a h + k a ʔ				j a k + ʔ o j	j a k + k a ʔ h		i k + k a ʔ		j a k a ʔ
44_knee-1_44_knee		k o ʃ k o h w a h k	k o ʃ	k o ʃ o			k o ʃ k	k oː s o	k o ʃ	k oː s o ʔ
44_knee-2_44_knee					k o m a ʔ	k o ʔ m a				
45_know-1_45_know			n ə h a v a						n a w	
45_know-2_45_know		n e h w əː j		v i n i j			h a w i			
45_know-3_45_know	m u h s				m u ʃ	m u s				b u s
46_leaf-1_46_leaf	a j	aː j	aː h j	a j ə	ʔ a j ʔ	a j	a h j	a j	aː j	ʔ a j
47_lie-2_47_lie		k o ʔ o k							k o ʔ o k j	
47_lie-7_47_lie					m o ŋ	m o ŋ + k ə t a k e				
48_liver-1_48_liver		h o t	n əː + h oː t	t ə ʔ s h o t ə		ts o k o ʔ j	h oː h t	ts oː g o j	h o h t	ts oː k o ʔ
48_liver-2_48_liver	p a ʔ t				p a ʔ t					
49_long-1_49_long			j ə n						j e n j	
49_long-3_49_long							j a g a ts	j a g a ts		j a ʔ a k a ʔ ts
49_long-5_49_long	p ə j				p ə h + i ʔ	p ə h i				
4_belly-1_4_belly			t iː n ts				t i n + tʃ a j			
4_belly-4_4_belly	ts e k				ts e k	ts e k				ts e k
50_louse-1_50_louse		aː d	əː ʔ ts							
50_louse-2_50_louse	a w a t			aː v a ʔ t	ʔ a w a t	a w a t	aː w a t	a ʔ a w a t	a ʔ a h t	a w a ʔ t
51_man-1_51_man		j e ʔ e j + d ə h k	j aː ʔ t j ə h k						h ə t j ə h k	
51_man-4_51_man	p ə n				p ə n	p ə n		p əː ʃ i ɲ		p əː ɲ
52_many-1_52_many		m a j	m a j				m a j		m æ j	
52_many-2_52_many				p a ʔ k o						
52_many-3_52_many	w ə w ə									
52_many-4_52_many										d a tʃ + k e
52_many-5_52_many								a g i		
52_many-6_52_many					ʃ ə h + ə ʔ	s ə h ə ʔ				
53_meat-1_53_meat		ts u ʔ u tʃ	ts u ʔ u ts	ts u ʔ tʃ i					ts u ʔ u tʃ j	
53_meat-2_53_meat	s i s				ʃ i ʃ	s i s	ʃ i ʃ			ʃ e ʃ
54_moon-1_54_moon	p o j a h	p o ʔ	p o ʔ o	p o ʔ a			p o ʔ	p oː j a	p o ʔ o	p oː j
54_moon-2_54_moon					ʃ e p e ʔ	s e p e ʔ				
55_mountain-1_55_mountain		k o ʔ o g o p	k o p k	k o p a ʔ k			k o p a k		k o k p	
55_mountain-2_55_mountain	k o ts ə k				k o ts ə k			k oː ts ə k		k o ts ə k
56_mouth-1_56_mouth		aː w a k	aː h	a v ə			a h w		aː	
56_mouth-3_56_mouth					h ə p	h ə p		h ə p		h ə p
