Cognate_ID,Diaocao,Mangdi,ProtoLalo,Qingyun,Shuizhuping,Xuzhang,Yangliu,Yijiacun
0_758_fly,b i/j ɔ ²⁴,b ə ⁵⁵,b j y ¹,b y ⁵⁵,b y ²⁴,b y ²⁴,b ɨ ³³,b ə ²⁴
1000_401_shrinetemple,k ɛ ⁵⁵ + p ei ⁵⁵ + x ei ⁵⁵,v a ²¹,n e ² + h e ¹,ŋ̩ ²¹ + h i ⁵⁵,n ɛ ²¹ + h ẽ ²⁴,n ɛi ²¹ + h ĩ ⁵⁵ + m o ³³,n ai ²¹ + h ei ³³,v a̠ ³¹
1001_403_graveyard,m u ⁴² + b ɛ ²⁴ + kʰ ə ⁵⁵,l i ŋ ²¹ + dʒ o ⁵⁵ + t i ⁵⁵,m o̠ H/¹,m o̠ ²¹ + b ɛ ⁵⁵ + kʰ y ⁵⁵,m v̩ ⁴⁴ + b a ³³ + t ɛ ³³,m o ²⁴ + b ɛ˞/ɛ ²⁴ + t y ²¹ + g ɨ ²⁴,,l i ²¹ + dz u ³³ + a ⁵⁵
1002_404_headwrap,ɕ u ³³ + tɕ i ⁵⁵ + m ɔ ³³,a ⁵⁵ + tʃ o ³³,,ˀm ɛ ⁵⁵ + n̩ ²¹ + ɕ ɛ ³³,ʂ ʅ ²¹ + b a ²¹,ɕ i ³⁵ + kʰ ɨ ⁵³,m̩ ²¹ + tʰ ə ⁵³,pʰ a ²⁴ + tɕ i ²¹
1003_405_headdress,ɕ u ³³ + tɕ i ⁵⁵ + z ɔ ²¹,a ²¹ + t a ²¹,,ˀm ɛ ⁵⁵ + n̩ ²¹ + ɕ ɛ ³³,n̩ ²¹ + ts ɿ ²¹ + l i/j a ŋ ²⁴ + m ao ⁴⁴,ɕ i ³⁵ + kʰ ɨ ⁵³ + s y ²¹ + ts ɿ ²¹,,ɛ ⁵⁵ + b ɛ ³³
1004_166_sorghum,,,ˀl u ²,ˀl ə ²¹,l v̩ ⁵³,k ao ⁵⁵ + l i/j a ŋ ⁵⁵,k ao ³³ + l i/j a ŋ ³³,k o ³³ + l ɛ ŋ ²¹
1005_188_persimmon,m̩ ²¹ + b ɛ ²⁴,,m u ² + b ɛ ¹,m̩ ²¹ + b ɛ ⁵⁵,m̩ ²¹ + b ɛ ²⁴,ʝ i ³⁵³ + b ɛ˞/ɛ ²⁴ + ʔ ø ³³,a ⁵⁵ + m̩ ²¹ + b ɛ˞/ɛ ³³,a ²⁴ + tʰ o ⁵⁵ + ɕ i ³³ + pʰ i ²¹
1006_410_clothing,pʰ i/j a ⁵⁵,l o ²¹ + pʰ a ⁵⁵,pʰ j a ¹,pʰ u ⁵⁵,pʰ u ²⁴,pʰ a ⁴⁵³,pʰ a ³³,l o ²¹ + pʰ a ²⁴
1007_411_collar,pʰ i/j a ⁵⁵ + kʰ ɛ ²¹ + ts ɿ ³³,pʰ a ⁵⁵ + l u ²¹ + kʰ u ⁵⁵,pʰ j a ¹ + kʰ j ɛ ²,pʰ u ⁵⁵ + kʰ ɛ ²¹,pʰ u ²⁴ + kʰ ɛ ²¹,pʰ a ³⁵ + kʰ ɛ˞/ɛ ²¹,pʰ a ³³ + kʰ ɛ˞/ɛ ²¹,l o ²¹ + pʰ a ²⁴ + l a ³³ + ts u/w ɛ ⁵⁵ + j o ³¹
1008_412_sleeve,l ei ⁴² + d i ²¹,pʰ a ⁵⁵ + l ɨ ²¹ + ɣ ɨ ²¹,pʰ j a ¹ + l e̠ ᶫ/³,pʰ u ⁵⁵ + l ɛ̠ ²¹,pʰ u ²⁴ + l e ⁵³,pʰ a ³⁵ + l ɛi ³³,pʰ a ³³ + n ai ⁵³,l o ²¹ + pʰ a ²⁴ + l i̠ ³¹
1009_414_palmbarkraincape,dʑ i ²⁴ + b ə ²⁴,ɕ i ⁵⁵ + kʰ u/w ai ⁵⁵,g a ¹ + b y ¹,g ɨ ⁵⁵ + b y ⁵⁵,ɣ a ²⁴ + b y ²⁴,g o ²¹ + b y ²⁴,g a ³³ + b ɨ ³³,ts u ²¹ + kʰ u/w ɛʲ/ɛi ²⁴
100_303_vulva,,b i ³³ + l a ²¹,b j e̠ ᶫ/³,,,t ɤ̪˞/ɤ ²¹ + b ɛ ³³,b ĩ ²¹ + ʈʂʰ ɛ ³³,d o ⁵⁵ + b i ³³
1010_204_stick,m ɛ ⁵⁵ + t ɤ̪/ɤ ⁵⁵,a ⁵⁵ + t ũ ⁵⁵,ˀm ɛ ¹ + t u ¹,ˀm ɛ ⁵⁵ + t ə ⁵⁵ + kʰ ɨ ⁵⁵,m ɛ ⁴⁴ + t u ⁴⁴,m ɛ˞/ɛ ⁴⁴ + t ɛ˞/ɛ ⁴⁴,k a ⁴⁴ + ts ɿ ³³,p a ²⁴ + tsʰ a ²¹
1011_416_belt,l ɔ ²¹ + kʰ u ⁵⁵ + s ɛ ²¹,l o ²¹ + p o ³³ + ts o ³³,,ˀl a̤ ²¹ + kʰ ɨ ⁵⁵ + ɕ ɛ ³³ + p ɛ ³³ + tɕ a ³³,l a ²¹ + kʰ v̩ ³³ + ʂ ʅ ⁴⁴ + p a ³³ + ʈʂ ã ³³,l o ²¹ + p ɛ˞/ɛ ³³ + ʂ ʅ ²¹,l a ²¹ + kʰ o ³³ + s ɛ˞/ɛ ²¹,l o̠ ʔ ²¹ + kʰ u ²⁴
1012_419_babysling,m ɛ ⁵⁵ + b u ³³,a ⁵⁵ + ts o ³³,,a ⁵⁵ + k ɨ ⁵⁵ + t i ³³,dz ɿ ²¹ + t i ³³,m ɛ˞/ɛ ³⁵ + dz ɿ ³³,ɛ˞/ɛ ⁵⁵ + v v̩ ⁵³,a ³³ + n i/j o ⁵³ + ɛ ⁵⁵ + b ɛ ³³
1013_221_body,g ə ²⁴ + tsʰ ɿ ⁵⁵,g ɨ ⁵⁵ + tsʰ ɿ ²¹,g u ¹ + tsʰ ɿ ²,g ɨ ⁵⁵ + ʈʂʰ ʅ ²¹,g v̩ ²⁴ + ʈʂʰ ʅ ²¹,g o ²⁴ + ʈʂʰ ʅ ²¹ + d y ²¹,g o ³³ + tsʰ ɿ ³³,ɛ ²¹ + t u ³³
1014_288_bladder,s a ²¹ + tʰ ɤ̪/ɤ ²¹,ɕ i ⁵⁵ + pʰ u ²¹,tsʰ i ² + pʰ u ²,s ɛ ²¹ + p i ²¹,tsʰ ɛ̃ n ²¹ + f v̩ ²¹,s a ŋ ²¹ + pʰ u ²¹ + l u ²¹,tsʰ a ²¹ + pʰ o ²¹ + l o ³³,ɛ ²¹ + tɕ i ³⁵ + pʰ v̩ ²¹
1015_426_porridge,dz ɔ ²⁴ + x a ²¹,dz o ⁵⁵ + m a ²¹ + n æ ³³,,dz a ⁵⁵ + h ə ²¹ + ɣ ɨ ²⁴,dz ã ⁴⁴ + h õ ²¹,dz o ²⁴ + h a ²¹,dz a ²¹ + f v̩ ²¹ + l a ⁵³,dz o ²⁴ + x a̠ ²¹ + n a ⁵⁵ + j o ³¹
1016_431_soup,j i ²⁴ + ts ɿ ⁵⁵,a ²¹ + tɕ ɛ ²¹ + ɣ ɨ ⁵⁵,ɣ a ŋ ² + ɣ i ¹,w u ²¹ + tɕ ɛ̠ ²¹ + ɣ ɨ ⁵⁵,w u ²¹ + tɕ i ⁵⁵ + ɣ ɨ ³³,ɣ a ²¹ + ɣ ɨ ²⁴,m̩ ²¹ + m̩ ³³,ɛ ²¹ + ɣ ɨ ²⁴
1017_434_sugar,,b ɨ ²¹ + tʃʰ ɿ ⁵⁵,ʃ a ¹ + b a ²,ʂ a ⁵⁵ + b a ²¹,,,,p ɨ ²¹ + tsʰ ɿ ²⁴
1018_434_sugar,s ɔ ⁵⁵ + t a ²¹,,ʃ a ¹ + d a ²,,ʂ a ⁵⁵ + d a ²¹,ʈʂʰ ʅ ³⁵ + m v̩˞/v̩ ²¹,,
1019_435_jaggery,x ɔ ²¹ + tʰ a ²¹,b ɨ ²¹ + tʃʰ ɿ ⁵⁵ + t ɛ ³³,ʃ a ¹ + d a ²,ʂ a ⁵⁵ + d a ⁵⁵,ʂ a ⁵⁵ + d a ²¹ + ĩ ⁴⁴,ʈʂʰ ʅ ³⁵ + m v̩˞/v̩ ²¹,,p ɨ ²¹ + tsʰ ɿ ²⁴ + n i ²⁴
101_303_vulva,t ɤ̪/ɤ ²¹,,t u ²,t ə ²¹,t v̩ ²¹,t ɤ̪˞/ɤ ²¹ + b ɛ ³³,,d o ⁵⁵ + b i ³³
