ID,Form_ID,Form,Cognateset_ID,Doubt,Cognate_Detection_Method,Source,Alignment,Alignment_Method,Alignment_Source
MiddleChinese-232_theaxe-1-1,MiddleChinese-232_theaxe-1,pjuX,1,False,expert,,,,
OldChinese-232_theaxe-1-1,OldChinese-232_theaxe-1,praʔ,1,False,expert,,,,
CogtseSitu-232_theaxe-1-1,CogtseSitu-232_theaxe-1,ʃa+rpâ,1,False,expert,,,,
BragbarSitu-232_theaxe-1-1,BragbarSitu-232_theaxe-1,ɕa+rpiɛ̂,1,False,expert,,,,
Japhug-232_theaxe-1-1,Japhug-232_theaxe-1,tɯ+rpa,1,False,expert,,,,
MiddleChinese-191_descend-1-1,MiddleChinese-191_descend-1,ɣæH,2,False,expert,,,,
OldChinese-191_descend-1-1,OldChinese-191_descend-1,mgˤraʔs,2,False,expert,,,,
CogtseSitu-191_descend-1-1,CogtseSitu-191_descend-1,kɐ+ŋgrɐ̂k,2,False,expert,,,,
BragbarSitu-191_descend-1-1,BragbarSitu-191_descend-1,kə+.griɛ̂,2,False,expert,,,,
Japhug-191_descend-1-1,Japhug-191_descend-1,ŋgra,2,False,expert,,,,
MiddleChinese-285_torevive-1-1,MiddleChinese-285_torevive-1,su,3,False,expert,,,,
OldChinese-285_torevive-1-1,OldChinese-285_torevive-1,sŋˤa,3,False,expert,,,,
CogtseSitu-285_torevive-1-1,CogtseSitu-285_torevive-1,kə+mə+sŋâr,3,False,expert,,,,
BragbarSitu-285_torevive-1-1,BragbarSitu-285_torevive-1,kə+mə+sŋiɛ̂r,3,False,expert,,,,
Japhug-285_torevive-1-1,Japhug-285_torevive-1,sŋa,3,False,expert,,,,
MiddleChinese-209_i-1-1,MiddleChinese-209_i-1,ŋu,4,False,expert,,,,
OldChinese-209_i-1-1,OldChinese-209_i-1,ŋˤa,4,False,expert,,,,
CogtseSitu-209_i-1-1,CogtseSitu-209_i-1,ŋā,4,False,expert,,,,
BragbarSitu-209_i-1-1,BragbarSitu-209_i-1,ŋā,4,False,expert,,,,
Japhug-209_i-1-1,Japhug-209_i-1,a+ʑo,4,False,expert,,,,
MiddleChinese-210_tochew-1-1,MiddleChinese-210_tochew-1,dzjoX,5,False,expert,,,,
OldChinese-210_tochew-1-1,OldChinese-210_tochew-1,dzaʔ,5,False,expert,,,,
CogtseSitu-210_tochew-1-1,CogtseSitu-210_tochew-1,ka+zā,5,False,expert,,,,
BragbarSitu-210_tochew-1-1,BragbarSitu-210_tochew-1,ka+ndziɛ̂,5,False,expert,,,,
Japhug-210_tochew-1-1,Japhug-210_tochew-1,ndza,5,False,expert,,,,
Tibetan-210_tochew-1-1,Tibetan-210_tochew-1,za+ba,5,False,expert,,,,
MiddleChinese-196_five-1-1,MiddleChinese-196_five-1,ŋuX,6,False,expert,,,,
OldChinese-196_five-1-1,OldChinese-196_five-1,Cŋˤaʔ,6,False,expert,,,,
CogtseSitu-196_five-1-1,CogtseSitu-196_five-1,kəmŋô,6,False,expert,,,,
BragbarSitu-196_five-1-1,BragbarSitu-196_five-1,kəmŋâj,6,False,expert,,,,
Japhug-196_five-1-1,Japhug-196_five-1,kɯmŋu,6,False,expert,,,,
Tibetan-196_five-1-1,Tibetan-196_five-1,lnga,6,False,expert,,,,
MiddleChinese-214_thenight-1-1,MiddleChinese-214_thenight-1,jæH,7,False,expert,,,,
OldChinese-214_thenight-1-1,OldChinese-214_thenight-1,ɢAks,7,False,expert,,,,
BragbarSitu-214_thenight-1-1,BragbarSitu-214_thenight-1,rə+ɟāk,7,False,expert,,,,
Japhug-214_thenight-1-1,Japhug-214_thenight-1,tɤ+rʑaʁ,7,False,expert,,,,
Tibetan-214_thenight-1-1,Tibetan-214_thenight-1,zhag,7,False,expert,,,,
MiddleChinese-198_thechild-1-1,MiddleChinese-198_thechild-1,ɲe,8,False,expert,,,,
OldChinese-198_thechild-1-1,OldChinese-198_thechild-1,ŋe,8,False,expert,,,,
CogtseSitu-198_thechild-1-1,CogtseSitu-198_thechild-1,kʰo+lŋâ,8,False,expert,,,,
BragbarSitu-198_thechild-1-1,BragbarSitu-198_thechild-1,tapə+rŋiɛ̂,8,False,expert,,,,
Japhug-198_thechild-1-1,Japhug-198_thechild-1,nɤ+rŋi,8,False,expert,,,,
MiddleChinese-306_thethighbone-1-1,MiddleChinese-306_thethighbone-1,bejX,9,False,expert,,,,
OldChinese-306_thethighbone-1-1,OldChinese-306_thethighbone-1,mpˤeʔ,9,False,expert,,,,
