Cognate_ID,BragbarSitu,CogtseSitu,Japhug,MiddleChinese,OldChinese,Tibetan,Zbu
189_seven,k ə ɕ n ɐ̄ s,k ə ʃ n ə̄ s,k ɯ ɕ n ɯ z,tsʰ i t,tsʰ i t,,
190_three,k ə s ə̂ m,k ə s â m,χ s ɯ m,s a m,s r u m,g s u m,
191_descend,k ə + g r i ɛ̂,k ɐ + ŋ g r ɐ̂ k,ŋ g r a,ɣ æ H/⁵¹,m gˤ r a ʔ s,,
192_your,n ə + ɟ ə̂,n ō,n ɤ + ʑ o,n o j X/¹⁵,nˤ ə ŋ ʔ,,
193_nine,k ə ŋ û,k ə ŋ û,n g ɯ t,k j u w X/¹⁵,k u ʔ,d g u,
194_thebreast,t ə + n ū,t ə + n ū,t ɯ + n ɯ,ɲ u X/¹⁵,n o ʔ,n u + m a,
195_two,k ə n ə̂ s,k ə n ê s,ʁ n ɯ z,ɲ i j H/⁵¹,n i j s,g ɲ i s,
196_five,k ə m ŋ â j,k ə m ŋ ô,k ɯ m ŋ u,ŋ u X/¹⁵,ŋˤ a ʔ,l ŋ a,
197_toprotect,u + p û + k a + v i ɛ̂,,ɯ + p ɯ + k ɤ + p a,p a w X/¹⁵,pˤ u ʔ,,
198_thechild,t a p ə + r ŋ i ɛ̂,kʰ o + l ŋ â,n ɤ + r ŋ i,ɲ e,ŋ e,,
199_therabbithare,k a + l i ɛ̄,k a + l ā,q a + l a,tʰ u H/⁵¹,l̥ˤ a s,,
200_eight,k ə r c ē t,w u r j a t,k ɯ r c a t,p ɛ t,pˤ r e t,b r g j a d,
201_six,k ə + ʈʂ ō k,k ə + ʈʂ ō k,k ɯ ʈʂ ɤ ɣ,l j u w k,k r u k,d r u g,
202_theice,t a + r p â m,t a + r p â m,t ɤ + j p ɣ o m,p i ŋ,p r ə ŋ,,
203_toscrape,k a + kʰ r ə̄ t,k a + kʰ r ō t,qʰ r ɯ t,kʷ æ t,kʷˤ r a t,,
204_behard,,k ə + r k ô,r k o,k a ŋ,kˤ a ŋ,m kʰ r a ŋ + p o,
205_theroot,t a + s r â m,t ɐ + s r ɐ̂ m,t ɤ + z r ɤ m,ʂ i m,s r u m,,
206_tocommand,k ə + o kʰ ō,k a + ŋ a + kʰ ō,a kʰ u,ɣ a w H/⁵¹,gˤ a w s,,
207_thename,t ə + r m i ê,t ə + r m ê,t ɤ + r m i,m j i e ŋ,m e ŋ,m i ŋ,
208_thesovereignqueen,t a + w ô,t a + k ō,t ɯ + k u,ɣ u w X/¹⁵,ɢˤ r o ʔ,m g o,
209_i,ŋ ā,ŋ ā,a + ʑ o,ŋ u,ŋˤ a,,
210_tochew,k a + n d z i ɛ̂,k a + z ā,n d z a,d z j o X/¹⁵,d z a ʔ,z a + b a,
211_topeck,t ə + n t ɐ̄ k,t ə + n t ô k,,t r æ w k,m ə tˤ r o k,,
212_tovomit,,,q i o ʁ,ʔ u w X/¹⁵,qˤ r o ʔ,s c u g,
213_tosit,,,a + m d z ɯ,d z w a X/¹⁵,d zˤ o j ʔ,,
214_thenight,r ə + ɟ ā k,,t ɤ + r ʑ a ʁ,j æ H/⁵¹,ɢ ɑ k s,ʑ a g,
215_thedream,t a + r m ô k,t a + r m ô,t ɯ + j m ŋ o,m j u w ŋ,m ə ŋ s,r m a ŋ + l a m,
216_tolose,,k a + ʃ l ə̂ k,l ɯ ɣ,ɕ i t,l̥ i t,,
217_thedeadmother,t a + w î,t a + w î,t ɤ + w i,p j i j X/¹⁵,p i j ʔ s,pʰ y i + m o,
218_theson,t a + ts a + p u,,t ɯ + f ts a,ts i X/¹⁵,ts ə ʔ,tsʰ a + p o,
219_beeldestgreatest,k ə + m b r ô,t ə + n m a k,t ɤ + n m a ʁ,m æ ŋ H/⁵¹,m̥ˤ r a ŋ s,m a g + p a,
220_berich,p i ā k,p ā k,p a ʁ,p j u w H/⁵¹,p ə k s,pʰ a g,
221_thetail,t a + j m î,t a + j m î,t ɤ + j m e,m j ɨ j X/¹⁵,m ə j ʔ,,
222_becurved,,,ŋ g ɤ ɣ,g j o w k,N/n kʰ r o k,,
223_theexcrement,,,t ɯ + q e,ɕ i j X/¹⁵,qʰ i j ʔ,,
224_thehat,t a + j m ō k,t ɐ + j m o k,t ɤ + j m ɤ ɣ,m a w H/⁵¹,mˤ u k s,r m o g,
225_after,m ə + ŋ kʰ ū,m ə + ŋ kʰ ū,m a + qʰ u,ɣ u w X/¹⁵,ɢˤ r o ʔ,,
226_tothink,k a + s ə s ō,k a + s ə s ō,s ɯ s o,s j a ŋ X/¹⁵,s a ŋ ʔ,,
227_beevil,k ə + n â k,k ə + n ɐ̄ k,ɲ a ʁ,tʰ o k,n̥ˤ ə k,n a g + p o,
228_todigoutearth,k a + s ə k ū,k a + s ə k ū,s k ɯ,g j u t,g o t,r k o,
229_tostrike,,,ʁ n d ɯ,ɖ æ w ŋ H/⁵¹,N/n tˤ r o ŋ s,r d u ŋ + b a,
230_toopposedisturb,k a + n ô,k a + n ô,n o,ɲ a ŋ X/¹⁵,n a ŋ ʔ,,
231_todefeat,k a + p r ā t,k ɐ + p r ɐ̂ t,p r ɤ t,p æ j H/⁵¹,pˤ r a ts,,
232_theaxe,ɕ a + r p i ɛ̂,ʃ a + r p â,t ɯ + r p a,p j u X/¹⁵,p r a ʔ,,
233_benew,k ə + ɕ ə̄ k,k ə + ʃ ī k,ɕ ɤ ɣ,s i n,s tsʰ i n,,
234_beduskdark,,,t ɯ r m ɯ,x w o n,m̥ˤ u n,m u n + p o,
235_belate,t ə + m ɐ̄ r,t ə + m ō r,t ɯ + ɣ m ɯ r,m j o n X/¹⁵,m o r ʔ,,
236_tobend,,,k ɤ ɣ,kʰ j o w k,kʰ r o k,,
237_pillow,t ə + m k ə̂ m,,t ɤ + m k ɯ m,tɕ i m X/¹⁵,t k ə m ʔ,,
238_theowl,p a + tɕ û,p k a + tʃ û,p ɣ ɤ + tɕ ɯ,k e w,ˤk/kˤ i w,,
239_todie,k ə + ɕ î,k a + ʃ î,s i,s i j X/¹⁵,s i j ʔ,ɕ i,
240_tokill,k a + s i ɛ̄ t,k a + s ā t,s a t,ʂ ɛ t,s r a t,b s a d,
241_theshell,t ə + r kʰ ō,t ə + r kʰ ō,ɯ + r qʰ u,kʰ æ w k,kʰˤ r o k,s k o g s + p a,
